CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0.0,10.0,317.0,4.0,0.0,1.0,0.0,15.0,2.0,25.0,0.0,14.0,2.0,9.0,162.0,1.0,9.0,14.0,38.0,0.0,7.0,5.0,9.0,46.0,14.0,9.0,27.0,111.0,36.0,1.46,44.0,63.0,4.0,48.0,1.0,9.0,2.0,65.0,4.0,0.0,10.0,2.0,8.0,3.55555555555556,1.0,10.0,4.22222222222222,1.0,4.0,1.55555555555556,1.0,3.0,0.909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.73186119873817,0.0,0.0,2.0,0.0,4.0
2.0,12.0,249.0,14.0,0.0,2.0,0.0,27.0,3.0,18.0,2.0,5.0,3.0,10.0,79.0,2.0,10.0,25.0,49.0,0.0,1.0,16.0,8.0,71.0,25.0,16.0,47.0,138.0,55.0,0.57,32.0,102.0,14.0,76.0,1.0,8.0,3.0,77.0,1.0,0.0,5.0,2.0,4.0,2.3,0.0,24.0,4.2,1.0,112.0,12.3,1.0,2.0,0.692307692307692,0.0,1.0,1.0,1.0,3.0,8.0,0.755020080321285,1.0,0.0,2.0,1.0,2.0
0.0,9.0,407.0,8.0,1.0,1.0,5.0,24.0,2.0,23.0,0.0,12.0,1.0,13.0,194.0,1.0,13.0,19.0,54.0,1.0,0.0,9.0,11.0,85.0,23.0,17.0,50.0,156.0,46.0,1.24,58.0,96.0,4.0,78.0,1.0,13.0,2.0,92.0,2.0,6.0,21.0,1.0,18.0,4.15384615384615,1.0,29.0,4.07692307692308,0.0,10.0,1.92307692307692,1.0,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.982800982800983,0.0,0.0,1.0,0.0,1.0
4.0,16.0,699.0,4.0,0.0,1.0,3.0,36.0,1.0,20.0,21.0,3.0,1.0,31.0,142.0,2.0,31.0,36.0,99.0,1.0,0.0,4.0,26.0,409.0,36.0,31.0,95.0,498.0,354.0,0.29,59.0,449.0,4.0,412.0,0.0,10.0,1.0,88.0,4.0,0.0,8.0,2.0,4.0,0.903225806451613,0.0,9.0,4.51612903225806,1.0,8.0,1.29032258064516,1.0,1.0,0.147058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.97997138769671,0.0,0.0,1.0,0.0,1.0
0.0,26.0,97.0,7.0,0.0,1.0,0.0,13.0,4.0,31.0,2.0,5.0,4.0,2.0,29.0,1.0,2.0,8.0,22.0,0.0,0.0,12.0,2.0,33.0,8.0,2.0,20.0,59.0,18.0,0.49,11.0,38.0,7.0,29.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,12.0,6.0,0.0,10.0,5.5,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.680412371134021,0.0,0.0,2.0,0.0,0.0
0.0,1.0,52.0,1.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,13.0,1.0,1.0,43.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0,8.6,4.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.0,1.0,50.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,1.0,31.0,1.0,1.0,1.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,10.0,0.0,3.1,9.0,6.0,1.0,5.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,2.0,0.0,0.0
1.0,14.0,174.0,4.0,0.0,2.0,4.0,12.0,2.0,22.0,2.0,6.0,2.0,6.0,50.0,2.0,6.0,12.0,46.0,1.0,0.0,4.0,4.0,75.0,12.0,10.0,45.0,103.0,40.0,0.49,21.0,85.0,4.0,76.0,1.0,4.0,2.0,80.0,4.0,0.0,10.0,2.0,3.0,1.83333333333333,1.0,16.0,7.33333333333333,1.0,5.0,2.33333333333333,1.0,2.0,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.775862068965517,0.0,0.0,2.0,0.0,0.0
0.0,20.0,409.0,7.0,0.0,1.0,0.0,31.0,3.0,37.0,9.0,14.0,3.0,9.0,154.0,1.0,9.0,31.0,59.0,0.0,0.0,7.0,9.0,86.0,31.0,9.0,45.0,202.0,71.0,0.76,53.0,116.0,7.0,85.0,3.0,0.0,3.0,0.0,1.0,0.0,14.0,1.0,7.0,5.55555555555556,3.0,9.0,3.11111111111111,1.0,9.0,3.88888888888889,1.0,5.0,2.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.660146699266504,0.0,0.0,2.0,0.0,1.0
1.5143744487104942,9.47604258548251,154.63895300420145,7.942502205158023,0.49520851709650193,1.9904170341930039,0.5047914829034981,18.95208517096502,2.9808340683860077,12.961668136772015,0.5047914829034981,1.495208517096502,2.9808340683860077,8.533540380324487,33.51437444871049,1.0,8.533540380324487,18.95208517096502,32.55270631193848,1.504791482903498,1.4856255512895058,7.942502205158023,5.019165931613992,53.08624669226296,18.95208517096502,13.485625551289505,31.04791482903498,90.10541262387696,45.990417034193,0.37971251102579007,32.009582965807,77.03833186322798,7.942502205158023,57.08624669226296,1.4856255512895058,8.02874889742099,2.9808340683860077,68.14374448710494,2.514374448710494,0.49520851709650193,8.0,1.495208517096502,5.485625551289505,2.794997039251932,0.9904170341930039,11.990417034193005,5.059639158408201,1.504791482903498,12.894587376123042,4.9467583471699665,1.0,1.9904170341930039,0.9931550244235722,0.0,0.0,0.0,0.0,0.0,0.0,0.9598249237950756,0.0,0.0,1.0,0.0,1.495208517096502
