CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0,4,120,1,0,1,0,3,1,6,0,0,1,2,71,1,2,3,23,0,10,1,2,6,3,2,20,31,3,2.32375,18,23,1,20,0,2,1,53,1,0,1,1,12,5.982142857142856,0,2,1.5669642857142863,0,1,1.0535714285714293,1,1,0.4083333333333333,0,2,2,1,16,35,0.9590909090909091,1.0,0,1,1,0
0,5,261,7,0,1,0,42,1,7,0,0,1,25,39,1,25,39,68,4,14,10,20,88,39,25,69,179,66,0.22153846153846157,42,135,7,97,0,24,1,88,1,1,8,1,14,2.6617592933382426,0,19,2.722488038277511,1,37,3.719175561280821,1,2,0.48717948717948745,0,3,3,1,238,195,0.8473105841526893,0.8205128205128209,0,1,1,0
0,48,239,33,0,1,9,50,11,55,0,0,11,3,17,1,3,39,37,1,0,44,1,153,39,4,40,194,121,0.11833333333333332,27,162,33,124,6,3,16,29,2,0,1,1,12,6.75,1,22,10.541666666666664,2,187001,60345.20833333333,1,5,2.0595238095238084,0,2,2,1,139,140,0.9958333333333336,1.0,0,1,1,0
0,3,35,1,0,1,0,3,1,3,0,0,1,3,16,1,3,3,6,0,1,1,3,3,3,3,6,13,3,1.1742857142857142,5,9,1,5,0,3,1,0,1,0,0,1,3,1.8412698412698403,1,2,1.3333333333333293,1,1,1.0,1,0,0.0,0,1,1,1,1,2,0.7754046062869591,1.0,0,2,1,0
0,2,92,1,0,1,0,11,1,2,0,0,1,11,18,1,11,11,32,0,5,1,11,10,11,11,23,54,10,0.33000000000000007,20,33,1,21,0,11,1,81,1,0,0,1,6,2.09090909090909,1,1,1.0,1,1,1.0,1,1,0.0714285714285714,0,1,1,1,44,43,1.0,1.0,0,1,1,0
0,7,328,11,0,1,1,52,2,9,0,1,2,24,72,2,24,44,67,0,6,13,24,121,49,28,69,222,88,0.33679999999999993,33,157,6,104,0,24,2,64,1,0,6,2,8,3.3506410256410226,0,8,2.7543589743589774,0,20,2.5482051282051295,1,2,0.6657142857142861,0,5,5,1,150,142,0.5087418703745235,1.0,0,2,1,0
0,3,115,1,0,1,0,7,1,9,0,4,1,7,61,1,7,7,17,0,0,1,7,8,7,7,17,32,7,1.9099999999999973,22,24,1,16,1,7,1,0,3,0,4,1,4,2.571428571428576,0,2,1.226708074534163,1,1,1.0,1,0,0.0,0,2,2,1,5,4,0.5456521739130428,1.0,0,3,1,0
0,13,87,3,0,1,0,5,2,22,0,5,2,2,30,1,2,5,18,1,2,3,0,22,5,2,19,43,18,0.7042857142857143,13,37,3,31,3,2,2,9,2,2,3,1,11,6.657596371882085,2,18,10.160997732426305,2,6,4.061224489795918,1,0,0.7830687830687829,0,3,3,1,93,6,0.9189463019250256,0.8095238095238091,0,1,1,0
21,9,762,16,33,1,2,167,2,10,0,0,2,60,67,2,62,150,173,1,10,20,7,409,150,70,181,628,297,0.11000000000000001,68,478,16,324,0,62,3,100,1,0,5,1,12,4.193548387096769,0,29,4.112903225806449,1,324,7.967741935483869,0,6,0.969230769230769,0,5,5,2,455,439,0.493438320209974,0.7999999999999999,0,3,2,0
0,4,129,1,0,1,0,7,1,11,0,4,1,7,61,1,7,7,22,0,0,1,7,17,7,7,22,41,11,1.4899999999999998,27,33,1,25,1,7,1,0,3,4,4,1,8,5.428571428571429,0,3,2.28571428571429,1,1,1.0,1,0,0.0,0,2,2,1,5,4,0.9186046511627907,1.0,0,1,1,0
0,1,44,1,8,1,0,8,1,1,0,0,1,8,20,1,8,8,13,0,0,1,0,0,8,8,13,14,0,1.4775,9,13,1,12,0,8,1,0,0,2,0,0,3,2.166666666666665,1,1,0.6517857142857149,0,1,1.0,1,0,0.0,0,1,1,1,1,2,0.9690315315315317,1.0,0,1,1,0
0,10,648,9,0,1,4,108,2,13,0,1,2,39,83,1,39,95,126,1,15,9,38,297,95,42,125,457,209,0.17999999999999997,109,334,9,242,1,39,3,88,1,0,10,2,17,6.692307692307691,1,28,4.12820512820513,1,28,3.5128205128205097,1,4,1.0487804878048799,0,3,3,1,366,337,0.6990740740740741,1.0,0,2,1,2
0,10,234,5,0,1,0,39,2,11,0,0,2,16,17,2,16,35,39,0,2,5,16,118,35,16,42,189,97,0.08933333333333332,27,140,5,99,0,16,2,59,3,0,2,1,6,3.3105882352941185,0,15,5.779607843137252,1,11,3.1571241830065326,1,2,0.9529411764705881,0,2,2,1,21,22,0.9017329633055811,1.0,0,2,1,0
0,3,112,3,0,1,4,18,1,4,0,0,1,13,32,1,13,17,29,1,2,3,12,28,18,13,31,62,16,0.52,21,47,2,35,0,13,1,82,1,2,2,1,17,4.15384615384615,1,4,1.46153846153846,0,2,1.30769230769231,1,1,0.39999999999999997,0,5,5,2,44,39,0.49107142857142894,0.7999999999999999,0,3,2,1
0,27,597,16,0,1,0,108,5,29,0,1,5,19,48,1,19,101,76,10,2,18,7,420,101,20,83,512,356,0.11523809523809525,58,439,16,341,1,19,6,80,3,1,0,1,4,2.4861678004535155,0,17,6.682086167800448,0,13758,644.1752834467115,1,3,1.3476178350127908,0,2,2,1,439,472,0.9728752260397829,1.0,0,1,1,0
