CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0,1,37,1,0,1,1,6,1,1,0,0,1,6,16,1,6,6,14,0,2,1,6,3,6,6,14,16,0,1.0380645161290325,4,14,1,13,0,6,1,100,1,0,0,1,0,0.0,0,0,0.6958525345622116,0,1,1.0,1,0,0.0,0,1,1,1,37,0,1.0,1.0,0,1,1,0
13,62,2725,70,7,2,86,440,12,84,23,13,12,28,508,1,28,360,395,1,5,87,6,1330,360,49,394,1986,984,0.2575,308,1378,70,1023,8,5,15,90,1,0,23,1,39,10.631231671554215,1,74,15.82184750733135,1,999999999,95914816.85117298,1,5,2.39093137254902,0,0,0,0,5,0,0.7730355954387442,0.75,0,1,0,6
0,92,1618,44,0,4,0,148,13,147,0,34,13,10,402,1,10,131,135,2,6,59,8,604,131,35,108,966,301,0.42000000000000004,255,409,44,282,21,10,15,53,1,0,29,2,19,9.799999999999997,1,44,18.900000000000002,1,291133764,29117974.199999996,1,6,3.25,0,0,0,0,0,0,0.9833127317676137,0.0,0,1,0,4
4,46,4091,43,0,1,16,339,5,61,0,5,5,61,490,1,61,302,638,54,9,45,3,2168,309,91,654,2868,1618,0.16999999999999998,782,2272,43,1927,10,61,6,86,2,0,30,1,56,7.3934426229508174,1,82,15.426229508196704,1,999999999,16393524.852459008,1,7,2.1587301587301595,0,1,1,1,2,2,0.9828892691273532,1.0,0,1,1,2
2,72,606,47,3,1,37,97,15,84,6,8,15,6,89,1,6,88,147,0,0,50,1,346,88,6,140,495,240,0.17999999999999997,47,380,47,291,4,0,16,70,1,0,7,1,12,8.333333333333329,4,38,17.3333333333333,6,999999999,166666768.0,4,4,2.875,1,1,1,1,2,0,0.9158415841584159,1.0,0,2,1,1
0,1,53,1,0,1,0,3,1,5,0,4,1,3,33,1,3,3,7,0,0,1,3,0,3,3,7,9,0,3.6700000000000004,11,7,1,6,0,3,1,0,0,5,1,0,7,4.0,2,0,0.0,0,1,1.0,1,0,0.0,0,0,0,0,0,0,0.8867924528301888,0.0,0,2,0,0
2,66,1264,56,0,3,3,149,12,114,0,33,12,10,395,1,10,122,83,0,9,67,8,456,124,32,71,692,289,0.57,206,360,56,242,16,10,15,55,1,0,15,2,21,8.700000000000001,1,44,14.099999999999998,1,50913876,5112273.899999999,1,5,2.6666666666666705,0,0,0,0,0,0,0.869462025316456,0.0,0,2,0,2
0,22,140,5,0,2,0,9,4,42,0,16,4,2,58,1,2,8,16,0,3,5,1,36,8,4,16,58,17,1.004285714285714,23,33,5,26,3,2,4,0,1,0,8,1,11,8.214285714285712,5,11,8.714285714285712,5,4,3.4285714285714284,2,2,2.178571428571428,1,0,0,0,0,0,0.9573904356513054,0.0,0,1,0,1
0,0,314,0,0,0,0,0,0,0,0,0,0,0,212,1,0,0,41,0,39,0,0,39,0,0,41,42,0,5.064285714285714,60,41,0,40,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.598217485919099,0.0,0,4,0,3
2,14,147,6,0,2,2,13,3,20,1,5,3,4,62,2,4,13,18,0,0,6,2,35,13,9,15,69,20,0.9,16,35,6,23,1,3,3,75,1,0,3,2,7,2.75,0,7,3.25,1,16,6.0,1,2,1.1428571428571397,0,1,1,1,147,0,1.0,1.0,0,1,1,0
0,6,71,1,3,1,0,3,1,7,0,1,1,3,28,1,3,3,18,0,5,1,0,6,3,3,15,32,6,0.88,13,21,1,17,0,3,1,60,1,0,4,1,4,2.66666666666667,2,5,2.66666666666667,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.887323943661972,0.0,0,2,0,1
0,119,479,40,0,7,0,42,21,210,0,59,21,2,145,1,2,41,30,2,0,41,0,148,41,14,19,251,92,0.58,83,111,40,69,31,2,21,0,3,1,17,1,35,18.5,2,39,20.0,1,10553404,5276702.5,1,6,4.5,0,1,1,1,48,59,0.8768267223382048,1.0,0,2,1,3
3,121,3868,27,1,1,1,240,8,165,3,26,8,24,782,1,24,221,406,17,3,29,1,2030,222,43,308,2592,1088,0.26615384615384613,630,1397,27,1175,24,21,9,84,2,0,33,1,26,8.709790209790208,2,32,15.074592074592045,1,21138904,1473642.347319349,1,3,1.9543650793650786,0,0,0,0,0,2,0.991965667605531,0.6538461538461539,0,1,0,1
2,54,1088,51,6,2,0,83,7,95,0,32,7,10,382,1,10,70,161,0,12,64,2,356,70,21,141,598,197,0.6399999999999998,123,338,51,269,9,10,8,68,4,0,51,1,36,8.0,1,102,16.299999999999997,1,999999999,100000002.59999998,1,4,1.6666666666666696,0,0,0,0,0,0,0.622242647058823,0.0,0,3,0,2
0,5,713,1,0,1,3,26,1,24,0,17,1,25,607,1,25,26,51,0,0,1,25,13,26,25,40,62,7,10.112727272727277,43,47,1,44,1,25,1,81,1,0,8,0,2,1.8181818181818188,1,5,3.4009972539384377,0,2,1.5454545454545454,1,0,0.38181818181818183,0,0,0,0,0,0,0.943083003952569,0.0,0,1,0,0
0,7,276,6,4,1,0,27,2,15,1,8,2,14,139,1,14,25,36,0,0,7,10,44,25,19,37,115,36,1.2099999999999997,27,73,6,47,0,13,2,0,2,1,4,2,7,1.85714285714286,0,8,2.85714285714286,1,7,2.0,1,3,0.875,0,0,0,0,0,0,0.938405797101449,0.0,0,1,0,4
2,12,430,5,1,1,0,32,2,26,0,13,2,12,218,1,12,30,38,6,5,5,2,98,30,13,31,165,62,1.3299999999999998,50,94,5,62,1,12,3,65,1,0,7,1,11,4.7291666666666705,1,10,3.4374999999999964,1,7,3.3333333333333326,1,2,1.2142857142857117,0,0,0,0,0,0,0.7405537822998818,0.0,0,1,0,0
7,33,1165,24,0,1,7,81,5,39,2,2,5,16,58,2,16,77,523,2,0,25,7,857,79,19,112,1007,362,0.060000000000000026,104,474,24,417,4,14,5,94,4,0,9,2,16,4.125,0,16,5.1875,1,1298,88.3125,1,4,1.4736842105263195,0,0,0,0,0,0,0.9854077253218879,0.0,0,1,0,2
14,21,1318,10,2,1,6,101,3,42,1,17,3,28,573,1,28,87,181,1,4,17,9,396,87,38,122,633,219,0.9044444444444439,116,342,10,257,2,27,3,88,4,0,29,1,13,4.606763285024152,0,25,6.968052585728994,1,23,5.8730973311158605,1,4,1.3459955682177915,0,0,0,0,11,3,0.8220516426387706,0.3333333333333333,0,2,0,2
9,25,1120,7,0,1,11,82,3,37,1,9,3,27,270,1,27,82,262,0,0,7,18,561,82,27,244,714,320,0.37999999999999995,139,564,7,481,3,26,3,92,4,0,6,1,17,5.7037037037037,1,12,8.48148148148148,1,64,8.037037037037038,1,1,0.8275862068965518,0,0,0,0,0,0,1.0,0.0,0,1,0,0
10,34,2979,35,13,2,2,319,5,53,6,13,5,53,824,1,53,279,412,1,7,50,26,1160,282,142,336,1777,773,0.44166666666666704,406,1109,35,829,6,47,5,70,2,0,30,1,18,4.899321637426901,0,36,7.824678362573099,0,3928477,101750.46543859654,1,4,1.5707679607129235,0,0,0,0,9,0,0.8255344045711365,0.4666666666666667,0,2,0,3
0,4,45,1,0,1,0,2,1,5,0,0,1,2,25,1,2,2,7,0,0,1,1,5,2,2,6,16,3,1.612708333333334,4,9,1,6,0,1,1,0,3,0,1,1,3,2.9270833333333326,1,3,2.8541666666666665,2,1,1.0104166666666665,1,0,0.015624999999999993,0,0,0,0,0,0,0.9974489795918366,0.0,0,1,0,0
2,56,795,24,1,1,1,56,6,81,2,18,6,12,209,1,12,55,90,2,1,24,6,366,55,14,72,498,278,0.38212121212121225,91,351,24,295,7,9,6,72,2,0,15,1,16,5.208450553278138,0,37,13.83002438174853,1,290324,52522.51166840822,1,4,2.0558712121212124,0,0,0,0,0,0,0.9890128508109836,0.0,0,1,0,1
0,7,151,5,0,1,0,18,2,12,0,2,2,8,47,1,8,17,19,0,2,5,8,37,17,14,18,76,35,0.6299999999999999,30,53,5,34,0,8,2,32,1,0,0,2,6,3.540909090909091,0,2,2.252272727272727,1,5,2.2643939393939405,1,1,0.5051282051282051,0,0,0,0,0,0,0.9134725634725634,0.0,0,1,0,1
4,22,996,35,6,2,0,104,4,37,0,10,4,22,314,2,22,97,104,0,10,40,12,328,97,38,99,516,225,0.6100000000000001,167,324,35,213,5,22,5,78,1,0,21,2,19,4.909090909090908,1,36,6.13636363636364,1,417028,18978.5454545455,1,5,1.64,0,0,0,0,0,0,1.0,0.0,0,1,0,0
0,32,567,30,0,1,0,59,4,45,0,8,4,11,138,1,11,56,65,0,2,33,10,224,56,18,62,341,166,0.39421052631578934,90,228,30,171,4,11,5,62,1,0,12,1,14,4.073009446693656,0,31,5.878542510121454,1,657106,63093.62550607285,1,4,1.4174148606811154,0,0,0,0,0,0,0.5290059529755636,0.0,0,3,0,2
3,33,1606,27,0,1,4,121,4,59,2,18,4,33,589,1,33,110,185,6,11,27,22,454,114,52,112,803,252,0.7637499999999996,222,364,26,257,6,30,4,85,1,1,22,1,22,6.729761904761905,0,28,5.464880952380948,0,96783,3941.4071428571465,1,5,1.5271915584415576,0,0,0,0,0,0,0.9224180063534774,0.0,0,1,0,5
0,19,407,26,8,1,20,61,4,20,9,0,4,13,48,1,13,56,74,0,1,29,5,244,58,25,75,320,186,0.19272727272727277,42,262,25,205,0,3,4,65,2,0,8,1,19,4.310606060606057,0,23,5.889393939393942,0,16758,1318.1992424242396,1,4,1.573737373737374,0,0,0,0,10,0,0.8904069597711216,0.09090909090909091,0,1,0,0
0,0,44,0,0,0,11,0,0,0,0,0,0,0,20,1,0,0,14,0,0,0,0,11,0,0,3,16,0,1.25,8,3,0,2,0,0,0,0,1,0,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.863636363636364,0.0,0,2,0,0
1,42,1106,20,0,1,16,110,6,58,0,6,6,17,145,1,17,103,148,14,1,20,2,545,103,21,160,754,421,0.18999999999999997,224,581,20,469,10,17,6,86,4,0,19,1,11,4.17647058823529,0,28,11.588235294117599,1,46657,3101.6470588235306,1,5,2.2631578947368394,0,0,0,0,0,0,1.0,0.0,0,1,0,0
0,1,83,1,2,1,1,2,1,11,0,9,1,2,40,1,2,2,25,0,0,1,0,1,2,2,13,27,0,1.48,16,13,1,12,1,2,1,100,2,1,7,1,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.9277108433734935,0.0,0,2,0,0
0,21,244,4,1,1,11,8,2,35,0,9,2,4,77,1,4,8,63,0,0,4,3,66,8,4,50,130,31,0.59,41,81,4,72,4,4,2,65,2,0,19,1,9,6.25,0,12,6.75,3,5,2.25,1,2,1.16666666666667,0,0,0,0,0,0,0.975409836065574,0.0,0,1,0,1
1,19,87,7,0,1,0,8,4,22,2,1,4,2,20,1,2,8,12,0,0,7,1,19,8,2,11,51,13,0.39000000000000007,16,24,7,15,2,0,4,0,1,0,5,1,2,1.0,0,9,5.0,1,16,8.5,1,2,1.5999999999999999,0,0,0,0,0,0,0.8604651162790697,0.0,0,3,0,0
0,1,62,1,1,1,0,2,1,10,0,9,1,2,46,1,2,2,5,0,0,1,1,0,2,2,5,6,0,7.470370370370368,9,5,1,4,0,2,1,0,1,0,0,0,1,1.1851851851851851,0,0,0.32098765432098747,0,1,1.0,1,0,0.0,0,0,0,0,0,0,0.9618055555555555,0.0,0,1,0,0
0,60,377,20,1,1,0,30,9,97,0,28,9,3,108,1,3,26,69,0,9,21,2,119,26,3,63,218,68,0.5,58,131,20,105,10,3,10,25,2,0,23,1,26,14.6666666666667,3,36,16.6666666666667,2,38400,12802.3333333333,2,3,2.3999999999999995,1,1,1,1,11,1,0.843501326259947,1.0,0,2,1,4
2,8,131,2,0,1,0,8,1,17,1,6,1,5,48,1,5,6,33,0,0,4,3,31,6,5,27,55,13,0.8699999999999998,28,40,2,33,2,4,2,0,4,0,4,1,3,1.5999999999999999,0,9,3.799999999999999,1,2,1.1999999999999997,1,1,0.4285714285714289,0,0,0,0,0,0,0.793893129770992,0.0,0,2,0,1
2,32,851,24,3,1,0,85,5,52,0,13,5,16,225,2,16,73,120,2,7,30,7,312,74,25,96,495,217,0.45314814814814786,140,313,24,238,5,16,6,68,2,0,17,1,19,5.514528619528616,1,35,8.120902677569337,0,166945,12365.10887045052,1,3,1.6121461672536943,0,0,0,0,2,10,0.9244889286288492,0.40740740740740733,0,1,0,2
0,0,100,0,0,0,35,0,0,0,0,0,0,0,32,1,0,0,37,0,0,0,0,35,0,0,37,39,0,0.8299999999999996,30,37,0,36,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.8990384615384615,0.0,0,2,0,0
0,20,298,9,0,1,1,23,3,27,0,4,3,7,81,2,7,22,42,0,9,9,7,100,22,11,39,183,65,0.4482352941176472,35,104,8,83,1,7,3,64,1,0,8,2,15,5.899159663865547,1,17,7.117647058823529,1,12,3.3697478991596648,1,2,1.0915032679738566,0,0,0,0,0,0,0.9222041757879622,0.0,0,1,0,3
41,10,1585,10,0,1,67,135,2,16,2,3,2,68,476,2,68,113,376,0,17,10,27,533,132,91,329,872,266,0.5507142857142858,239,595,10,480,1,66,2,97,1,0,10,1,32,6.399697227042805,0,22,4.026437248458445,0,18,2.3154192666986653,1,2,0.4584415584415589,0,0,0,0,0,0,0.984337454468527,0.0,0,1,0,2
