CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0,5,70,0,0,0,0,2,0,6,0,0,0,2,40,0,2,2,7,0,0,0,2,7,2,2,7,16,5,2.594067796610168,13,12,0,9,0,2,0,2,3,0,2,0,3,1.8079096045197733,0,4,3.539548022598869,2,0,0.9999999999999997,0,0,0.11299435028248583,0,0,0,0,0,1,0.9041064173127937,0.06779661016949153,0,1,0,0
0,5,221,5,0,1,0,39,2,6,0,0,2,24,44,1,24,39,41,3,3,5,21,74,39,27,45,147,64,0.2999999999999999,30,109,5,72,0,24,2,77,2,1,5,2,7,2.208333333333329,0,9,2.9583333333333286,1,6,1.708333333333329,1,3,0.6923076923076916,0,0,0,0,0,0,0.9279279279279283,0.0,0,2,0,2
263,5,3582,94,0,1,1,887,2,5,522,0,2,526,1,1,526,885,607,0,70,94,262,1557,885,531,608,3043,1291,0.0043999999999999985,537,1899,94,1013,0,4,2,97,1,0,5,1,6,3.5050048392300233,1,71,2.7131024841380786,1,960018431,1755581.20788687,1,2,0.5198877566090687,0,1,1,1,3576,3,0.9992421052631579,0.9876923076923074,0,1,1,0
11,9,490,22,0,1,1,97,2,11,1,0,2,34,62,1,34,90,97,0,3,24,23,243,90,49,110,367,194,0.17999999999999988,60,305,22,218,0,33,2,91,1,0,9,1,11,3.9489931107578142,1,31,4.431173820879697,1,423680,12692.647257551642,1,2,0.7300184800184806,0,12,12,3,324,98,0.928628557799332,0.684615384615384,0,1,3,2
0,4,53,2,0,1,1,6,1,4,0,0,1,4,14,1,4,6,12,0,1,2,4,13,6,4,12,30,10,0.5139603960396034,7,22,2,15,0,4,1,60,2,1,1,1,4,2.334229137199432,0,4,2.205233380480906,0,2,1.265016501650165,1,0,0.36886688668866857,0,0,0,0,0,2,0.834597628586437,0.31683168316831684,0,1,0,0
8,10,609,7,0,2,2,98,2,12,2,0,2,38,71,4,38,90,120,4,9,7,26,292,90,66,124,449,232,0.1600000000000001,93,356,7,268,1,36,3,93,3,0,10,3,22,4.473684210526319,0,28,4.631578947368421,1,16,2.6578947368421098,1,5,1.02325581395349,0,10,10,3,552,170,0.9638752052545164,0.6999999999999995,0,1,3,2
0,4,108,2,0,1,0,10,1,8,0,4,1,8,57,1,8,10,12,0,2,2,8,15,10,8,12,41,13,1.3900000000000003,10,25,2,14,0,8,1,50,2,0,0,1,35,6.375,0,3,1.875,1,2,1.25,1,1,0.4545454545454549,0,0,0,0,0,0,0.6203703703703702,0.0,0,3,0,2
3,12,663,116,0,1,0,240,6,13,10,0,2,41,65,1,41,112,91,16,1,119,21,413,221,55,97,546,463,0.10999999999999993,54,560,10,449,0,30,6,69,1,1,6,2,124,9.415066026410589,1,114,7.111344537815119,0,116,5.751800720288113,1,4,1.0106209150326777,0,0,0,0,0,0,0.6695961155437177,0.5,0,2,0,4
0,5,65,1,0,1,0,1,1,5,0,0,1,1,40,1,1,1,5,0,0,1,1,3,1,1,5,11,2,3.784945054945052,13,7,1,5,0,1,1,0,2,0,0,1,0,0.42582417582417587,0,2,2.1016483516483513,2,1,1.1538461538461535,1,0,0.15384615384615388,0,0,0,0,0,0,0.9588646521189792,0.0,0,1,0,0
5,10,505,23,1,1,3,93,3,13,2,1,3,32,125,4,32,82,81,0,8,29,25,197,83,48,85,318,161,0.44499999999999973,62,246,22,164,0,30,3,65,1,2,9,1,14,4.632137592137591,0,24,3.583759213759214,0,8739,499.7107862407865,1,3,0.9519109922335719,0,7,7,2,105,118,0.6090448798152722,0.7797202797202799,0,3,2,0
