CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0,14,336,4,0,1,5,18,1,22,0,5,1,13,98,4,13,18,76,0,1,4,13,152,18,13,71,198,80,0.49000000000000005,40,151,4,132,2,13,1,86,2,0,11,2,5,1.38461538461538,0,15,5.07692307692308,0,8,1.6923076923076898,1,1,0.277777777777778,0,1,1,1,5,0,0.9404761904761899,1.0,0,2,1,1
0,20,320,3,0,1,7,14,1,23,2,1,1,9,32,2,9,14,84,0,2,3,8,175,14,10,76,244,114,0.1306666666666667,43,191,3,173,2,7,1,59,1,0,11,2,8,4.568253968253971,1,19,7.376719576719579,1,5,1.5830687830687817,1,2,0.6137254901960785,0,2,2,1,17,327,0.9409087583229677,0.5666666666666665,0,1,1,0
2,18,827,42,1,2,4,125,4,30,0,9,4,27,234,4,27,109,172,0,10,50,23,343,115,62,161,527,241,0.5157142857142856,71,403,42,281,0,27,4,81,1,0,12,2,8,3.027161654135334,0,40,5.7960526315789505,0,189056352,9948846.984774398,0,3,1.0558292282430237,0,5,5,4,114,70,0.9015745656370648,0.3571428571428569,0,1,4,2
4,15,806,23,0,1,9,150,3,17,3,0,3,43,45,4,44,122,171,0,27,33,39,441,138,70,146,670,304,0.07000000000000002,103,451,23,324,1,41,3,85,2,0,10,2,20,4.397174922600619,0,28,5.672213622291023,0,132036,2649.0304179566588,0,4,0.9281829673398612,0,6,6,2,322,185,0.6964405704046585,0.5980392156862746,0,2,2,1
6,4,116,1,0,1,5,10,1,4,0,0,1,10,19,1,10,10,39,0,2,1,4,35,10,10,33,76,19,0.24750000000000003,21,53,1,42,0,10,1,82,2,0,4,1,7,2.25,0,7,3.3874999999999993,2,1,1.0,1,0,0.0,0,1,1,1,5,0,0.9310659186535769,1.0,0,1,1,2
0,97,346,15,0,1,1,25,13,137,0,26,13,2,79,1,2,25,48,0,1,15,2,167,25,2,43,230,155,0.3399999999999999,37,198,15,172,14,2,13,75,2,0,12,1,15,12.0,9,13,7.5,2,16384,8448.0,512,1,1.0,1,6,6,4,58,16,0.760115606936416,0.3333333333333329,0,3,4,3
43,6,9624,18,39,1,113,2028,2,7,66,0,2,919,788,114,950,1804,1863,20,161,32,846,4394,1904,1258,1619,7699,3597,0.07631578947368423,1243,5216,17,3382,0,883,2,98,2,10,22,3,16,2.3604427532145773,0,30,2.9141531639412475,0,4635,41.38773850194059,0,3,0.4517806553965654,0,1,1,1,2017,866,0.7633136094674555,1.0,0,1,1,0
0,14,76,2,0,1,0,3,2,20,0,3,2,1,29,1,1,3,25,0,0,2,1,18,3,1,21,38,8,0.7606666666666664,9,29,2,24,1,1,2,0,2,0,5,1,3,2.433333333333333,1,13,8.233333333333333,2,3,2.3,1,1,0.9166666666666665,0,0,0,0,0,0,0.993548387096774,0.0,0,1,0,0
21,6,1258,9,12,1,12,256,2,6,34,0,2,158,20,8,158,253,354,8,17,9,117,599,256,174,226,1152,464,0.019999999999999997,86,690,9,444,0,124,2,95,2,2,7,2,14,2.2721518987341796,0,17,3.3291139240506302,0,13,1.6645569620253196,1,3,0.544910179640719,0,0,0,0,0,0,0.5035856573705181,0.0,0,2,0,0
14,9,1673,19,23,1,21,365,2,10,20,0,2,181,74,7,182,332,381,5,36,30,139,846,352,223,303,1478,686,0.07173913043478262,130,990,18,675,0,161,3,93,2,0,7,2,17,3.5809253758214035,0,34,4.0526149968494,0,6407,123.925150778648,0,3,0.616446634982103,0,2,2,1,284,195,0.7753229268850442,0.9652173913043475,0,1,1,0
