CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0,3,69,1,0,1,0,6,1,4,0,0,1,5,22,1,5,6,19,0,3,1,5,9,6,5,18,36,9,0.6226315789473684,9,27,1,19,0,5,1,33,1,0,1,2,3,2.1578947368421084,1,3,1.7236842105263195,1,1,1.0263157894736836,1,0,0.035087719298245626,0,0,0,0,0,0,0.9991776315789469,0.0,0,1,0,0
2,27,364,26,0,2,2,55,6,35,0,5,6,8,69,1,8,48,89,1,0,31,5,165,48,17,84,264,100,0.2599999999999998,34,184,26,133,2,8,7,87,2,0,24,2,11,3.125,0,70,11.875,0,24969,3124.25,1,6,2.7000000000000015,0,0,0,0,0,0,0.5604395604395596,0.0,0,3,0,8
7,24,494,39,0,3,1,74,5,29,0,2,5,14,60,5,14,69,157,0,2,41,7,247,69,41,146,390,138,0.14999999999999994,44,284,39,208,1,14,5,100,1,0,21,2,8,2.714285714285709,0,50,7.285714285714285,1,55634,3976.0714285714307,1,6,1.5714285714285694,0,0,0,0,0,0,0.9149797570850202,0.0,0,2,0,0
0,22,1089,42,0,3,0,202,5,26,0,0,4,35,76,2,0,142,212,0,0,46,0,534,187,125,171,815,489,0.09435897435897443,167,662,27,476,3,0,6,33,0,1,0,0,13,4.522957662492545,0,33,6.902736367852644,0,68,8.492369531129212,0,3,1.0109890109890127,0,0,0,0,8,5,0.992555831265508,0.4871794871794869,0,0,0,0
2,13,297,14,0,1,2,31,3,19,0,4,3,12,78,2,12,30,84,0,3,15,10,124,30,15,80,193,70,0.40000000000000013,34,150,14,117,1,12,3,100,1,0,13,3,7,2.6666666666666714,0,46,5.75,1,55,6.0,1,7,1.6000000000000005,0,0,0,0,0,0,0.5791245791245786,0.0,0,2,0,2
0,15,676,20,8,1,2,110,4,18,3,1,4,26,94,8,28,94,155,2,25,22,18,323,94,35,144,501,207,0.19000000000000017,86,351,20,256,1,25,4,100,2,2,18,2,29,4.321428571428573,0,63,6.428571428571422,0,2538,98.03571428571422,0,4,1.054054054054049,0,0,0,0,0,0,0.3985185185185178,0.0,0,5,0,2
6,42,3121,32,0,4,4,677,10,44,5,1,8,68,88,1,68,537,224,1,15,32,61,1963,675,244,223,2945,1493,0.03000000000000002,90,1716,23,1212,0,63,10,84,1,0,55,3,44,8.514705882352933,0,23,8.029411764705882,0,132,43.57352941176471,1,4,2.2714285714285705,0,0,0,0,0,0,0.6372957385453379,0.0,0,2,0,0
1,4,271,7,0,1,2,42,1,5,0,0,1,31,35,2,31,42,85,0,12,7,30,67,42,33,71,183,51,0.1900000000000001,53,122,7,76,0,31,1,86,1,0,4,2,15,3.290322580645158,1,14,1.7096774193548403,1,9,1.4838709677419408,1,5,0.617647058823529,0,1,1,1,2,2,0.5129151291512919,1.0,0,3,1,2
1,39,402,22,3,2,5,32,5,53,5,7,5,6,67,1,6,31,133,0,0,22,2,200,31,14,132,285,109,0.24000000000000013,52,241,22,203,6,1,5,66,1,0,32,1,11,6.333333333333337,0,81,15.0,1,22401,3735.0,1,3,1.375,0,2,2,2,3,2,0.6268656716417912,0.5,0,2,2,2
0,3,50,1,0,0,0,6,1,3,0,0,1,3,20,0,3,6,15,0,0,1,3,3,6,3,10,24,3,0.8300000000000024,6,14,1,9,0,3,1,0,3,0,2,1,1,1.2500000000000002,0,3,2.5000000000000004,1,0,0.9999999999999998,0,0,0.0,0,0,0,0,0,0,0.9000000000000036,0.0,0,1,0,0
