CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0,5,94,1,0,0,1,6,0,9,0,3,0,5,43,1,5,6,15,1,0,1,4,13,6,5,15,40,8,1.1486363636363643,9,24,1,17,0,5,0,94,4,0,3,1,2,1.4989486703772419,0,3,2.035930735930737,0,1,1.0773654916512059,0,0,0.20482374768089073,0,1,1,1,95,1,0.938657541978766,0.8896103896103895,0,1,1,0
0,3,37,1,0,1,0,2,1,3,0,0,1,2,16,1,2,2,10,1,0,1,1,2,2,2,10,15,2,1.07,6,12,1,9,0,2,1,0,3,0,6,1,1,0.5,0,3,2.5,2,1,1.0,1,0,0.0,0,2,2,2,74,0,0.43243243243243185,0.5,0,3,2,0
2,11,746,22,4,1,0,94,2,16,0,4,2,38,190,2,38,93,114,1,17,22,29,249,93,48,119,503,192,0.38435897435897415,52,312,22,220,0,38,2,78,2,0,4,1,18,4.03532510849584,0,23,3.1733469782250268,1,29103,809.256107036594,1,5,0.8675213675213673,0,3,3,3,1516,5,0.6267979987492177,0.3931623931623926,0,2,3,0
2,7,499,6,0,1,0,61,2,13,0,5,2,31,216,1,31,53,44,0,3,8,29,81,53,41,45,229,72,0.9399999999999997,54,117,6,64,0,31,2,66,1,0,11,1,21,5.7741935483871005,1,8,3.1612903225806495,1,8,1.7741935483870996,1,3,0.6666666666666672,0,10,10,7,1200,193,0.81563126252505,0.4000000000000001,0,3,7,4
0,3,92,1,0,1,1,6,1,7,0,3,1,6,52,1,6,6,12,1,1,1,5,6,6,6,12,31,5,1.6799999999999997,9,17,1,10,0,6,1,83,5,0,0,1,2,1.3333333333333293,1,2,1.6666666666666703,1,1,1.0,1,0,0.0,0,2,2,2,184,0,0.6521739130434779,0.5,0,3,2,0
0,1,38,1,1,1,0,1,1,9,0,8,1,1,30,1,1,1,4,0,0,1,0,0,1,1,4,6,0,5.017765957446803,2,4,1,3,0,1,1,0,0,2,1,0,0,0.925531914893617,0,0,0.5,0,1,1.0,1,0,0.0,0,2,2,2,77,0,0.5150636561064554,0.4875886524822695,0,3,2,0
3,22,1243,17,1,3,16,187,5,31,25,8,4,34,351,6,34,151,132,4,3,26,26,395,162,109,125,810,279,0.4299999999999999,85,404,17,263,0,9,6,90,2,2,11,2,15,5.411764705882349,0,15,5.147058823529408,1,2052,64.91176470588229,1,5,1.4878048780487803,0,13,13,8,2523,35,0.35076427996782006,0.23076923076923092,0,4,8,4
0,1,60,1,1,1,0,1,1,5,0,4,1,1,50,1,1,1,5,0,0,1,0,0,1,1,5,7,0,7.20147058823529,3,5,1,4,0,1,1,0,3,0,0,1,1,1.7941176470588236,1,1,0.6029411764705881,0,1,1.0,1,0,0.1029411764705882,0,2,2,2,120,0,0.8094719515844773,0.5,0,2,2,2
2,6,415,5,0,1,3,33,1,13,7,6,1,21,223,1,21,32,36,0,1,6,19,54,32,27,36,159,45,1.4080263157894737,32,81,5,47,0,14,1,89,2,0,1,0,9,3.7760309865573034,0,7,2.893227386648437,0,6,1.516233766233766,0,3,0.4955263157894734,0,2,2,2,832,0,0.9440603295626488,0.43201754385964874,0,0,2,3
0,7,127,2,0,1,1,7,1,15,0,7,1,5,76,1,5,6,15,0,0,2,3,12,6,5,15,40,8,1.9414173228346505,10,24,2,16,0,5,1,89,3,0,3,1,5,2.6377952755905514,0,4,2.9370078740157504,1,2,1.5649606299212602,1,0,0.6692913385826773,0,2,2,2,255,0,0.7759733659002201,0.4658792650918638,0,2,2,0
0,9,1044,5,0,1,1,70,2,26,33,16,2,34,657,1,34,70,74,0,0,5,34,134,70,38,73,344,98,1.9099999999999986,43,171,5,100,0,1,2,94,1,0,1,1,3,2.0882352941176507,0,4,2.294117647058819,1,12,2.4705882352941213,1,2,1.0,0,2,2,2,2088,0,0.6331417624521068,0.5,0,2,2,2
0,4,226,1,0,0,0,14,0,10,0,5,0,12,114,1,12,14,26,0,4,2,11,25,14,12,26,79,21,1.4654929577464775,33,47,1,33,0,12,0,79,3,1,3,0,7,2.3706572769953063,0,6,2.4546948356807494,0,1,1.1056338028169022,0,1,0.29358372456963977,0,3,3,2,456,2,0.7631847294450969,0.3849765258215957,0,2,2,1
2,11,1827,10,2,2,3,155,3,30,2,18,3,56,1071,1,56,142,124,0,2,11,52,324,142,84,123,674,263,1.5900000000000007,83,386,10,245,0,54,3,74,1,0,0,3,72,8.303571428571434,1,7,2.9821428571428603,1,21,4.035714285714291,1,4,0.8448275862068968,0,2,2,2,3656,0,0.931072210065646,0.5,0,1,2,4
0,31,275,11,0,1,1,25,6,53,0,19,6,3,102,1,3,22,47,1,4,12,2,81,22,6,53,150,56,0.6823999999999998,35,110,11,89,4,3,7,50,3,0,8,1,7,6.093333333333333,4,17,8.946666666666665,1,121,43.54666666666666,1,4,2.7040000000000033,0,4,4,3,557,273,0.8387275392955782,0.5,0,2,3,1
1,9,375,6,0,1,8,27,2,18,0,7,2,14,171,1,14,26,43,0,8,6,13,80,26,14,42,163,51,1.0500000000000005,41,93,6,67,0,14,2,87,1,0,4,2,15,3.5,0,5,2.7142857142857086,1,32,3.7142857142857086,1,2,0.625,0,3,3,2,753,3,0.5306666666666668,0.6666666666666673,0,3,2,1
