CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
4,7,463,9,0,1,2,77,2,10,0,2,2,36,103,3,36,65,90,1,13,13,31,177,65,49,93,316,138,0.33,45,231,9,155,0,36,2,89,2,0,27,2,8,3.08333333333333,0,18,4.55555555555556,0,23,2.33333333333333,1,5,0.825,0,8,8,2,232,203,0.468682505399568,0.5,0,3,2,1
0,9,103,2,0,1,0,6,1,12,2,1,1,5,23,1,5,6,29,0,3,2,5,34,6,5,29,61,24,0.38,19,53,2,46,1,3,1,80,6,0,7,1,4,1.8,0,16,4.8,2,2,1.2,1,1,0.428571428571429,0,4,4,2,24,31,0.514563106796116,0.75,0,4,2,0
1,16,317,3,0,1,13,18,2,21,0,1,2,11,41,4,11,18,108,0,5,3,10,161,18,11,100,234,101,0.18,54,201,3,180,3,11,2,83,2,0,14,2,14,4.36363636363636,0,24,7.27272727272727,0,3,1.63636363636364,1,3,0.941176470588235,0,8,8,3,380,412,0.65615141955836,0.5,0,3,3,0
1,16,433,3,0,1,8,26,2,21,0,0,2,16,28,6,16,26,103,0,7,3,15,213,26,16,110,301,160,0.09,106,270,3,238,4,16,2,70,2,0,15,2,9,4.75,0,22,9.0625,0,3,1.625,1,2,0.739130434782609,0,8,8,3,801,805,0.787528868360277,0.5,0,2,3,0
1,22,210,19,0,1,0,33,4,24,0,0,4,7,23,1,7,30,32,3,1,19,3,131,30,9,35,170,115,0.14,20,150,19,120,1,7,5,57,3,0,1,1,5,2.14285714285714,1,29,6.42857142857143,1,186,28.1428571428571,1,4,1.88888888888889,0,3,3,2,167,173,1.0,0.666666666666667,0,1,2,0
0,6,65,1,0,1,0,4,1,6,0,0,1,4,19,1,4,4,23,4,0,1,0,18,4,4,23,39,11,0.49,7,34,1,29,0,4,1,0,3,0,4,1,2,1.75,1,5,4.25,4,1,1.0,1,0,0.0,0,3,3,1,25,24,0.615384615384615,1.0,0,2,1,0
1,18,230,7,0,1,0,12,2,26,0,6,2,6,81,1,6,12,33,0,2,7,5,74,12,6,33,124,59,0.65,27,92,7,79,2,6,2,83,3,0,0,1,11,2.0,0,22,4.66666666666667,1,19,4.0,1,3,1.125,0,1,1,1,230,0,1.0,1.0,0,1,1,0
0,9,892,8,0,1,1,138,2,11,0,1,2,57,239,1,57,124,181,12,1,9,45,394,124,74,181,585,286,0.41,68,467,8,358,0,57,2,90,2,0,12,2,44,3.78947368421053,0,15,5.29824561403509,0,10,2.05263157894737,1,4,1.01694915254237,0,7,7,2,348,332,0.635650224215247,0.714285714285714,0,2,2,0
1,5,625,5,1,1,2,149,2,6,2,0,2,76,45,12,76,133,133,5,1,15,69,274,133,82,143,497,198,0.09,83,341,5,210,0,74,2,96,3,10,12,2,19,5.56578947368421,0,7,2.88157894736842,0,12,1.96052631578947,1,3,0.662921348314607,0,5,5,2,142,137,0.6768,0.8,0,2,2,2
0,5,150,2,0,1,0,17,1,6,0,0,1,13,27,1,13,17,52,5,4,2,8,47,17,13,52,100,29,0.27,23,81,2,63,0,13,1,82,2,0,0,1,5,2.23076923076923,0,10,2.84615384615385,0,2,1.30769230769231,1,1,0.4,0,2,2,1,20,24,0.826666666666667,1.0,0,2,1,0
0,7,91,3,0,1,0,10,2,8,0,0,2,6,23,1,6,10,20,3,3,3,3,31,10,6,20,56,22,0.41,13,42,3,31,0,6,2,44,3,1,2,1,5,2.83333333333333,1,6,4.16666666666667,2,3,1.66666666666667,1,2,1.0,0,3,3,2,18,21,0.802197802197802,0.666666666666667,0,3,2,0
0,3,280,2,0,1,0,55,1,3,0,0,1,54,23,1,54,55,81,0,2,2,54,59,55,54,81,197,58,0.12,60,139,2,81,0,54,1,94,1,3,25,2,54,3.16666666666667,0,3,2.37037037037037,1,2,1.01851851851852,1,1,0.0535714285714286,0,6,6,2,89,67,0.446428571428571,0.666666666666667,0,3,2,1
2,9,142,9,0,1,2,20,3,11,0,0,3,8,16,1,8,20,31,2,2,9,4,54,20,8,33,97,40,0.16,29,73,9,53,1,8,3,59,2,0,5,1,7,2.75,0,10,4.0,0,18,3.75,1,4,1.5,0,3,3,2,46,48,1.0,0.666666666666667,0,1,2,0
10,9,306,6,10,2,1,49,2,10,0,0,2,24,32,1,24,48,82,0,5,6,4,159,48,39,85,244,105,0.13,30,190,6,134,0,24,2,78,1,0,4,1,7,2.91666666666667,0,10,3.5,0,12,2.33333333333333,1,5,1.14814814814815,0,7,7,3,240,234,0.526143790849673,0.571428571428571,0,3,3,0
0,8,84,5,0,1,1,10,2,11,0,1,2,4,26,1,4,9,21,1,0,6,3,22,9,4,20,48,16,0.54,10,36,5,26,0,4,3,75,2,1,13,1,7,5.25,3,10,4.25,1,8,3.0,1,3,1.66666666666667,0,6,6,2,56,55,0.55952380952381,0.666666666666667,0,3,2,1
0,10,94,6,4,2,0,17,3,11,0,1,3,5,25,1,5,15,22,1,3,7,0,33,15,8,22,61,22,0.41,8,44,6,28,0,5,3,40,1,0,5,1,6,3.6,1,7,2.8,1,6,3.0,1,4,2.28571428571429,0,4,4,2,139,45,0.712765957446808,0.75,0,2,2,0
0,4,222,4,0,1,0,44,1,5,0,0,1,26,35,1,26,35,52,0,15,6,26,67,35,28,52,152,61,0.23,35,113,4,76,0,26,2,86,1,0,7,2,8,1.84615384615385,0,21,2.42307692307692,1,4,1.34615384615385,1,3,0.5,0,4,4,2,72,72,0.554054054054054,0.75,0,2,2,1
1,4,824,7,0,1,5,111,1,7,1,2,1,81,247,2,81,109,158,7,29,7,73,222,109,83,158,458,180,0.54,120,338,7,230,0,80,1,97,2,3,18,6,111,6.7037037037037,0,38,2.49382716049383,1,16,1.62962962962963,1,3,0.238095238095238,0,10,10,3,268,223,0.595873786407767,0.5,0,3,3,2
0,3,86,1,0,1,1,10,1,4,0,1,1,10,33,1,10,10,17,0,3,1,10,11,10,10,17,38,10,0.87,15,27,1,16,0,10,1,77,2,0,4,1,14,7.6,1,2,1.1,1,1,1.0,1,0,0.0,0,4,4,3,24,14,0.546511627906977,0.5,0,4,3,1
1,7,356,5,0,1,0,69,2,13,0,5,2,23,138,1,23,53,40,0,4,7,22,107,53,26,42,192,93,0.72,26,135,5,81,0,23,3,58,1,0,4,2,8,2.91304347826087,0,7,2.8695652173913,1,8,2.91304347826087,1,3,1.12,0,6,6,2,191,173,0.862359550561798,0.5,0,2,2,0
1,11,561,17,2,1,1,113,2,13,0,0,2,42,49,3,42,102,108,1,22,21,38,249,102,53,120,432,202,0.11,80,322,17,213,1,42,3,92,1,0,11,2,17,2.57142857142857,0,23,3.30952380952381,1,156,8.28571428571429,1,6,1.22916666666667,0,9,9,2,262,250,0.497326203208556,0.777777777777778,0,3,2,2
0,8,157,5,0,1,0,25,2,10,0,1,2,11,31,3,11,25,39,2,4,5,9,56,25,14,41,110,40,0.28,16,81,5,57,0,11,2,61,2,0,19,2,6,2.63636363636364,1,13,4.27272727272727,1,6,2.63636363636364,1,2,1.06666666666667,0,4,4,2,116,118,0.643312101910828,0.5,0,2,2,0
0,14,535,14,0,1,1,75,3,18,0,1,3,26,45,4,26,71,142,14,17,14,12,260,71,30,147,388,172,0.12,102,319,14,248,3,26,3,89,1,0,44,2,17,6.26923076923077,2,27,8.15384615384615,1,36,4.69230769230769,1,2,0.774193548387097,0,7,7,2,338,305,0.865420560747664,0.857142857142857,0,2,2,2
1,9,96,3,0,1,0,6,2,12,0,0,2,4,19,1,4,6,26,2,5,3,1,26,6,4,26,53,19,0.36,24,45,3,38,3,4,2,50,2,0,8,1,8,2.5,0,13,6.25,1,4,1.75,1,1,0.5,0,3,3,2,30,40,1.0,0.666666666666667,0,1,2,0
4,18,1148,19,0,3,1,177,5,27,0,8,5,35,384,1,35,176,86,1,4,19,30,469,176,114,86,675,380,0.57,89,466,19,311,0,35,5,75,4,0,7,2,28,11.0285714285714,0,20,6.91428571428571,0,30,6.94285714285714,1,3,1.32432432432432,0,4,4,2,172,245,0.758710801393728,0.75,0,3,2,2
0,1,41,1,1,1,0,1,1,10,0,9,1,1,31,1,1,1,6,0,0,1,0,0,1,1,6,7,0,4.43,3,6,1,5,0,1,1,0,0,3,3,0,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,0,3,3,1,21,18,0.536585365853659,1.0,0,2,1,0
0,4,74,2,4,1,1,9,1,4,0,0,1,7,16,1,7,9,21,0,4,2,3,19,9,7,21,48,16,0.33,10,37,2,27,0,7,1,68,1,0,3,2,6,2.57142857142857,0,6,2.71428571428571,1,2,1.28571428571429,1,1,0.444444444444444,0,4,4,2,50,47,0.527027027027027,0.75,0,2,2,0
2,10,201,5,2,1,1,28,2,11,0,0,2,13,28,5,13,28,36,0,9,5,9,91,28,16,36,148,67,0.19,25,103,5,70,0,13,2,74,2,0,3,2,7,3.84615384615385,0,8,3.53846153846154,1,5,2.23076923076923,1,3,0.947368421052632,0,10,10,3,212,192,0.786069651741294,0.7,0,2,3,2
