CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
19,33,3519,16,0,1,10,304,4,43,5,6,4,77,527,1,77,294,618,1,0,16,57,2159,294,106,561,2623,1506,0.2,391,2067,16,1796,3,72,4,96,4,1,20,1,35,3.18181818181818,0,26,12.6883116883117,2,2306,60.1688311688312,1,5,1.74683544303797,0,1,1,1,1,1,0.867291844273941,1.0,0,2,1,7
0,4,832,7,1,1,0,92,1,8,0,3,1,75,288,1,75,90,130,0,5,9,74,125,90,75,124,408,119,0.71,137,243,7,151,0,75,1,80,1,0,33,2,7,1.52,1,30,2.08,1,27,1.46666666666667,1,2,0.194805194805195,0,0,0,0,0,0,0.768028846153846,0.0,0,2,0,3
5,7,790,10,0,1,0,72,2,14,6,6,2,44,357,10,44,67,147,13,7,10,26,170,67,53,121,369,121,0.97,66,242,10,166,0,38,2,74,5,3,17,1,5,2.20454545454545,0,11,3.15909090909091,0,10,1.54545454545455,1,2,0.418181818181818,0,0,0,0,0,0,0.944303797468354,0.0,0,1,0,3
1,17,537,20,0,1,0,48,3,31,0,11,3,13,194,1,13,38,75,0,18,27,12,156,41,18,58,265,86,0.73,81,144,20,105,2,13,4,71,4,0,22,1,23,6.53846153846154,1,36,7.30769230769231,1,17280,1330.69230769231,1,5,1.33333333333333,0,5,5,1,24,5,0.653631284916201,1.0,0,3,1,2
7,19,576,17,0,1,3,89,3,25,4,5,3,18,174,3,18,52,83,2,8,17,9,266,55,21,86,354,184,0.49,52,270,14,217,0,14,5,78,4,0,8,2,6,3.38888888888889,0,11,5.05555555555556,1,30,4.83333333333333,1,4,1.36363636363636,0,0,0,0,0,0,0.5,0.0,0,2,0,0
1,8,491,6,10,1,0,49,2,14,0,5,2,26,197,1,26,48,90,12,32,7,3,125,48,26,84,271,92,0.73,52,176,6,128,0,26,2,93,1,1,12,1,10,4.11538461538461,1,11,3.80769230769231,1,18,2.38461538461538,1,3,0.821428571428571,0,1,1,1,14,4,0.54786150712831,1.0,0,4,1,3
2,9,286,5,0,1,0,34,2,14,9,5,2,16,109,8,16,33,38,0,0,5,14,86,33,18,40,147,52,0.74,30,92,5,60,0,7,2,0,1,0,1,2,10,3.1875,1,6,2.5625,1,6,2.375,1,3,0.6,0,0,0,0,0,0,0.695804195804196,0.0,0,3,0,0
5,22,1213,14,0,2,4,128,4,36,0,11,4,28,397,1,28,112,125,0,19,15,23,387,115,53,103,669,293,0.59,148,396,14,285,3,28,5,80,3,0,19,2,16,6.96428571428571,1,21,7.60714285714286,1,84,11.5,1,3,1.43333333333333,0,1,1,1,14,5,0.682605111294312,1.0,0,2,1,7
0,9,178,5,2,1,0,22,2,14,0,3,2,8,50,1,8,15,25,0,0,5,6,41,19,10,24,92,26,0.54,36,50,3,34,1,8,3,0,2,0,7,1,4,1.75,0,5,2.875,1,5,2.375,1,2,1.0,0,0,0,0,0,0,0.966292134831461,0.0,0,1,0,1
1,14,1105,10,6,1,0,63,2,41,0,25,2,24,649,1,24,57,110,2,7,10,15,191,57,33,79,364,123,1.78,105,202,10,146,2,24,3,89,5,2,32,1,10,4.04166666666667,0,24,5.45833333333333,1,36,4.41666666666667,1,3,0.923076923076923,0,0,0,0,0,0,0.464253393665158,0.0,0,3,0,6
