CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
2,8,133,4,0,1,1,15,2,10,2,1,2,7,51,1,7,15,28,1,0,4,4,39,15,7,30,69,24,0.74,13,54,4,36,0,5,2,71,2,0,7,1,4,2.57142857142857,2,8,4.71428571428571,3,5,2.28571428571429,1,2,1.22222222222222,0,6,6,1,63,48,0.661654135338346,1.0,0,2,1,1
1,3,82,3,0,1,0,14,1,4,0,0,1,10,24,1,10,14,19,0,3,3,9,18,14,10,21,46,15,0.52,12,36,3,23,0,10,1,73,2,6,2,1,13,6.4,0,8,2.1,1,3,1.4,1,7,1.15384615384615,0,1,1,1,14,35,0.585365853658537,1.0,0,4,1,1
5,11,135,7,0,2,0,32,4,12,0,0,4,8,23,1,8,31,28,1,1,8,2,64,31,16,35,100,58,0.23,12,93,7,61,0,8,4,75,3,0,3,1,4,2.875,1,9,4.125,1,7,3.875,1,3,2.1,0,3,3,2,272,271,1.0,0.666666666666667,0,1,2,0
0,9,60,2,0,1,3,12,2,9,0,0,2,5,7,2,5,8,20,0,0,5,5,27,8,5,21,47,13,0.15,6,34,2,25,0,5,2,83,6,0,5,2,5,2.6,1,6,3.0,1,2,1.6,1,1,0.625,0,2,2,1,61,1,1.0,1.0,0,1,1,0
0,3,57,1,0,1,0,4,1,6,0,3,1,4,34,1,4,4,7,0,1,1,4,5,4,4,7,17,5,2.0,6,12,1,7,0,4,1,25,4,0,3,1,8,4.75,1,3,2.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.666666666666667,0.0,0,3,0,1
59,15,4626,44,2,1,58,794,3,19,12,1,3,221,490,26,221,627,873,50,34,44,110,2715,692,309,907,3538,1856,0.14,634,2763,18,2165,1,209,4,97,4,0,96,2,54,6.12669683257919,0,45,7.59276018099547,0,390,9.38009049773756,1,4,0.870967741935484,0,48,48,3,1552,562,0.290162162162162,0.520833333333333,0,4,3,5
0,4,20,2,0,1,0,4,1,4,0,0,1,3,0,1,3,4,6,0,0,2,3,6,4,3,6,16,5,0.0,4,11,2,6,0,3,1,0,3,0,2,1,3,2.33333333333333,2,3,2.33333333333333,2,2,1.33333333333333,1,1,0.6,0,3,3,1,25,5,1.0,1.0,0,1,1,0
3,11,305,10,0,1,4,41,3,14,1,2,3,16,67,1,16,40,64,0,5,11,13,122,40,21,69,201,84,0.33,37,153,10,112,1,15,3,86,1,0,19,2,9,3.0,1,17,4.8125,1,13,2.75,1,5,1.5,0,15,15,3,533,480,0.462295081967213,0.733333333333333,0,6,3,3
2,5,759,9,0,1,4,177,2,5,91,0,2,91,124,1,91,168,135,0,0,11,89,266,168,118,151,505,249,0.25,130,400,9,249,0,0,2,96,1,0,24,1,16,3.85714285714286,1,10,3.24175824175824,1,18,1.98901098901099,1,3,0.473118279569892,0,19,19,4,342,404,0.395256916996047,0.421052631578947,0,4,4,6
1,9,350,8,0,1,1,37,2,12,2,2,2,21,69,2,21,36,78,10,8,9,10,132,36,23,80,230,97,0.3,53,177,8,140,1,19,2,83,3,0,3,2,10,3.23809523809524,0,16,5.52380952380952,0,13,2.19047619047619,1,3,0.583333333333333,0,9,9,3,230,91,0.32,0.555555555555556,0,5,3,2
