CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0,10,178,5,0,1,3,14,2,11,2,1,2,8,34,4,8,14,68,0,4,5,8,58,14,8,50,124,33,0.27,20,83,5,66,0,6,2,58,3,0,15,2,6,2.375,0,24,5.25,0,9,2.25,1,2,0.769230769230769,0,5,5,2,76,17,0.960674157303371,0.8,0,1,2,2
0,8,66,1,0,1,0,2,1,14,0,5,1,2,31,1,2,2,18,0,0,1,2,13,2,2,15,29,8,1.07,6,23,1,20,0,2,1,0,1,0,2,1,0,0.0,0,7,6.0,5,1,1.0,1,0,0.0,0,2,2,2,66,0,0.742424242424242,0.5,0,2,2,0
0,29,99,5,0,3,1,5,5,53,0,15,5,1,34,1,1,5,28,0,1,5,1,25,5,3,27,49,17,0.69,16,44,5,37,9,1,5,100,1,0,7,1,0,0.0,0,19,19.0,19,12,12.0,12,2,2.0,2,1,1,1,99,0,1.0,1.0,0,1,1,0
0,10,126,4,1,1,1,11,2,15,2,4,2,5,44,1,5,10,32,3,1,5,1,36,10,5,28,66,16,0.67,16,44,4,33,1,3,2,70,2,1,5,1,8,4.8,1,7,4.2,1,4,2.2,1,2,1.0,0,3,3,2,12,6,0.920634920634921,0.666666666666667,0,2,2,1
3,19,146,3,0,1,1,7,2,21,0,1,2,4,23,1,4,7,53,0,1,3,1,67,7,4,47,108,38,0.21,16,85,3,75,1,4,2,87,1,0,17,1,4,2.5,1,36,11.25,1,3,1.75,1,2,1.16666666666667,0,7,7,2,25,8,0.924657534246575,0.571428571428571,0,2,2,0
3,16,474,19,6,2,1,60,3,24,4,7,3,16,146,2,16,53,97,0,6,24,7,183,53,33,69,298,118,0.49,33,187,19,133,0,12,4,76,2,1,19,2,12,4.8125,1,41,7.5625,1,1164,74.9375,1,5,1.42105263157895,0,12,12,3,99,55,0.548523206751055,0.5,0,3,3,2
3,14,261,5,0,1,4,20,2,18,2,3,2,9,51,2,9,20,84,1,2,5,5,100,20,11,73,177,68,0.29,33,141,5,117,1,7,2,70,3,0,19,1,5,2.55555555555556,1,38,8.0,1,16,3.44444444444444,1,2,1.08333333333333,0,2,2,1,264,1,1.0,1.0,0,1,1,0
0,14,173,2,0,1,5,5,1,21,1,4,1,4,40,1,4,5,50,0,1,2,4,59,5,4,43,108,43,0.37,25,86,2,80,3,3,1,58,1,0,17,1,6,2.5,1,27,10.25,1,2,1.25,1,1,0.5,0,4,4,2,10,4,0.838150289017341,0.5,0,2,2,1
1,13,268,3,0,1,1,17,2,17,0,2,2,10,49,3,10,17,92,0,4,3,9,110,17,10,77,182,52,0.27,38,129,3,107,1,10,2,50,2,0,22,1,7,3.4,0,26,8.7,0,3,1.7,1,2,1.0,0,15,15,3,97,49,0.694029850746269,0.8,0,4,3,5
6,17,371,8,0,1,13,28,3,22,0,2,3,10,59,1,10,25,144,0,7,8,4,168,25,10,118,263,74,0.22,52,192,8,164,2,10,3,85,1,0,22,1,17,6.8,0,23,8.8,3,14,3.0,1,4,1.41666666666667,0,14,14,4,52,32,0.919137466307278,0.571428571428571,0,1,4,5
