CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
1,20,98,2,0,1,0,3,2,29,0,4,2,2,30,1,2,3,27,0,0,2,1,35,3,2,22,53,13,0.57,15,35,2,31,4,2,2,0,2,0,8,1,7,4.5,2,9,6.0,3,2,1.5,1,1,0.75,0,0,0,0,0,0,0.683673469387755,0.0,0,2,0,0
11,15,568,4,0,1,5,39,2,19,2,0,2,21,41,1,21,39,165,1,7,4,9,307,39,21,129,425,158,0.1,103,287,4,236,3,19,2,87,2,0,33,1,14,5.85714285714286,0,21,10.2857142857143,2,8,2.04761904761905,1,1,0.782608695652174,0,0,0,0,0,0,0.508802816901408,0.0,0,2,0,7
0,4,170,7,0,1,0,28,1,4,0,0,1,19,10,2,0,28,63,0,0,7,0,31,28,28,59,116,31,0.09,39,90,7,59,0,0,1,74,1,0,4,1,16,2.63157894736842,1,8,2.10526315789474,1,7,1.47368421052632,1,3,0.36,0,0,0,0,0,0,0.523529411764706,0.0,0,3,0,0
5,5,975,5,5,1,5,72,1,6,20,0,1,50,194,2,52,72,452,0,276,5,42,220,72,54,109,678,144,0.29,127,253,5,175,0,32,1,98,2,1,3,1,62,9.82692307692308,0,15,3.26923076923077,1,16,1.55769230769231,0,3,0.428571428571429,0,28,28,6,282,105,0.241025641025641,0.357142857142857,1,4,5,13
61,25,2229,55,1,1,2,343,5,30,3,2,4,67,218,2,67,259,581,0,3,55,5,1313,333,72,510,1802,774,0.12,213,1284,15,1016,2,64,5,97,2,0,86,1,60,8.74626865671642,0,52,14.2835820895522,1,1944,42.134328358209,1,5,1.78571428571429,0,8,8,3,192,47,0.380439659039928,0.625,0,5,3,10
1,4,53,6,0,1,0,10,3,5,1,1,1,3,12,1,5,6,14,0,6,6,4,15,10,5,9,34,9,0.35,7,18,2,14,0,4,3,76,1,0,0,2,7,2.0,0,2,1.2,1,6,1.6,0,1,0.428571428571429,0,0,0,0,0,0,0.962264150943396,0.0,0,1,0,1
37,6,6021,8,18,1,73,1270,2,6,55,0,2,652,374,62,688,1209,1239,19,93,16,614,2531,1204,882,1113,4719,2059,0.08,981,3172,8,1937,0,633,2,100,3,13,22,4,13,1.92005813953488,0,14,2.2281976744186,0,13,1.88372093023256,0,4,0.551181102362205,0,0,0,0,0,0,0.325195150307258,0.0,0,6,0,0
12,7,1221,14,1,1,2,164,2,10,1,3,2,93,338,2,93,158,306,0,11,17,80,336,158,95,195,765,254,0.44,118,449,14,284,0,92,2,90,1,0,37,2,19,5.35483870967742,1,30,2.83870967741935,1,400,6.16129032258065,1,4,0.520833333333333,0,7,7,3,119,91,0.238329238329238,0.714285714285714,0,6,3,7
1,30,385,7,0,1,0,28,3,35,1,2,3,9,44,1,9,28,69,2,2,7,6,241,28,9,67,307,163,0.14,35,230,7,200,2,8,3,33,2,0,14,1,16,5.22222222222222,0,43,15.0,3,33,7.66666666666667,1,2,1.27272727272727,0,2,2,2,9,9,0.592207792207792,0.5,0,3,2,6
0,9,80,4,0,1,0,6,2,10,0,0,2,3,31,1,3,6,15,0,2,4,3,18,6,3,14,39,13,0.79,10,27,4,20,0,3,2,66,5,0,5,1,6,3.0,1,7,3.66666666666667,2,8,3.33333333333333,1,1,0.6,0,2,2,1,85,5,1.0,1.0,0,1,1,0
2,9,624,14,1,2,7,159,3,9,3,0,3,48,39,2,50,128,107,0,11,30,47,313,143,80,100,520,255,0.07,78,355,14,226,0,47,3,87,1,0,2,4,13,3.56,0,16,2.72,0,250,10.76,0,4,0.716981132075472,0,0,0,0,0,0,0.3125,0.0,0,4,0,0
2,16,1004,18,2,2,5,150,3,22,38,4,3,39,211,2,39,135,206,0,0,21,35,470,135,64,188,710,292,0.3,85,480,18,337,1,1,4,94,1,0,23,2,19,4.97435897435897,1,25,7.15384615384615,1,11520,318.076923076923,1,4,1.3953488372093,0,5,5,2,45,34,0.329681274900398,0.6,0,4,2,9
0,5,111,4,0,2,1,15,2,5,0,0,2,10,21,1,10,15,33,0,1,4,10,30,15,15,25,73,20,0.29,17,45,4,29,0,10,2,65,2,0,9,2,14,4.5,0,7,3.0,1,4,1.5,1,1,0.333333333333333,0,0,0,0,0,0,0.351351351351351,0.0,0,4,0,2
2,6,316,5,1,1,4,63,2,7,3,0,2,30,26,2,32,59,71,0,5,9,29,124,59,44,64,242,101,0.11,51,165,5,105,0,29,2,87,2,0,1,4,68,13.3125,0,8,2.125,0,7,1.875,0,3,0.771428571428571,0,0,0,0,0,0,0.879746835443038,0.0,0,2,0,0
8,18,1000,26,0,2,1,132,4,25,11,5,4,32,213,6,32,113,284,0,5,28,24,430,113,59,261,669,262,0.32,120,523,26,389,2,21,4,88,1,0,48,2,8,3.03125,0,66,7.90625,1,399168,12549.0,1,5,1.23076923076923,0,3,3,3,16,4,0.536,0.333333333333333,0,2,3,3
2,7,404,8,1,2,6,84,2,8,3,0,2,35,31,2,37,73,84,0,8,14,34,183,78,55,75,320,148,0.1,59,223,8,149,0,34,2,86,1,0,1,4,8,2.72972972972973,0,11,2.51351351351351,0,11,2.40540540540541,0,3,0.675,0,0,0,0,0,0,0.878712871287129,0.0,0,2,0,0
1,13,207,9,0,1,0,17,2,17,3,2,2,8,46,4,8,17,72,0,0,9,7,78,17,11,69,144,42,0.32,17,111,9,90,0,5,2,0,1,0,27,2,5,1.875,0,30,6.625,1,57,8.125,1,3,0.846153846153846,0,0,0,0,0,0,0.502415458937198,0.0,0,2,0,0
0,11,473,7,0,0,0,43,1,15,0,2,1,26,102,0,0,43,39,0,0,0,0,262,43,26,39,301,202,0.34,70,241,7,0,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,12,2.25925925925926,1,4,0.62962962962963,0,4,4,1,473,0,1.0,1.0,0,1,1,0
2,6,316,5,1,1,4,63,2,7,3,0,2,30,26,2,32,59,71,0,5,9,29,124,59,44,64,242,101,0.11,51,165,5,105,0,29,2,87,2,0,1,4,7,2.09375,0,8,2.125,0,7,1.875,0,3,0.771428571428571,0,0,0,0,0,0,0.879746835443038,0.0,0,2,0,0
2,14,269,10,0,2,1,39,4,19,0,4,4,8,64,2,10,35,63,1,3,11,7,103,35,19,53,178,74,0.36,27,127,10,91,1,10,5,100,3,0,13,2,21,5.1,0,21,6.3,1,33,7.0,0,6,2.30769230769231,0,2,2,2,10,8,0.535315985130111,0.5,0,3,2,4
0,15,1096,23,0,0,0,221,4,15,0,0,4,49,109,12,0,221,65,0,0,0,0,878,221,70,65,943,663,0.12,89,728,23,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0.0,0,865,52.0,1,4,1.19354838709677,0,0,0,0,0,0,0.840328467153285,0.0,0,3,0,2
11,19,930,20,0,2,3,145,4,23,2,1,4,31,136,2,31,122,212,6,32,28,14,448,122,66,197,681,335,0.2,124,532,20,404,2,29,5,88,2,2,16,2,35,7.29032258064516,0,46,7.09677419354839,1,52,7.83870967741935,1,7,1.58333333333333,0,2,2,2,13,1,0.530172413793103,0.5,0,3,2,1
0,15,116,5,0,2,0,9,3,17,0,0,3,3,23,1,3,9,42,0,3,5,3,35,9,5,32,80,23,0.29,13,55,5,45,2,3,3,44,2,0,14,1,5,3.66666666666667,2,12,7.33333333333333,1,12,5.33333333333333,1,2,1.4,0,1,1,1,116,0,1.0,1.0,0,1,1,0
5,17,1193,9,0,1,4,137,3,21,4,2,3,46,128,3,46,125,274,0,24,11,41,615,125,57,281,889,394,0.14,176,675,9,530,2,42,3,90,1,2,34,2,12,4.43478260869565,1,28,7.84782608695652,1,26,4.34782608695652,1,5,1.28,0,7,7,4,116,133,0.248952221290863,0.428571428571429,0,5,4,6
14,26,691,6,0,1,0,32,2,32,0,1,2,19,48,1,19,32,231,0,0,6,5,426,32,19,174,530,204,0.09,113,378,6,345,4,19,2,0,2,0,9,1,8,3.89473684210526,1,14,6.52631578947368,2,9,1.84210526315789,1,3,0.761904761904762,0,2,2,1,545,9,0.78726483357453,1.0,0,3,1,1
0,3,89,3,1,1,1,10,1,5,0,1,1,8,33,1,8,10,18,0,1,3,7,14,10,10,14,42,11,0.79,14,25,3,14,0,8,1,68,2,0,2,2,12,2.5,0,3,1.625,1,3,1.25,1,4,0.636363636363636,0,0,0,0,0,0,0.943820224719101,0.0,0,1,0,2
2,10,979,23,1,2,12,236,3,11,3,0,3,67,68,2,69,182,166,0,18,47,66,526,212,117,156,823,420,0.08,114,576,23,391,0,66,3,90,1,0,3,4,18,3.47826086956522,0,28,3.17391304347826,0,2048,46.1449275362319,0,4,0.541666666666667,0,0,0,0,0,0,0.579162410623085,0.0,0,3,0,0
12,17,592,12,0,2,2,111,4,20,0,1,4,23,63,1,23,98,142,2,13,14,9,303,98,53,135,467,220,0.13,63,355,12,243,1,23,5,84,4,0,17,2,16,4.69565217391304,0,20,6.56521739130435,1,120,15.6086956521739,1,3,1.56,0,2,2,2,21,30,0.890202702702703,0.5,0,2,2,2
2,6,316,5,1,1,4,63,2,7,3,0,2,30,26,2,32,59,71,0,5,9,29,124,59,44,64,242,101,0.11,51,165,5,105,0,29,2,87,2,0,1,4,30,6.59375,0,8,2.125,0,7,1.875,0,3,0.771428571428571,0,0,0,0,0,0,0.449367088607595,0.0,0,4,0,0
0,9,375,15,0,2,2,51,2,9,0,0,2,22,50,12,22,41,95,0,31,15,22,141,51,48,77,283,105,0.18,42,182,5,130,0,22,2,40,1,0,19,2,18,3.77272727272727,1,24,4.68181818181818,2,14,2.27272727272727,1,2,0.628571428571429,0,1,1,1,5,1,0.570666666666667,1.0,0,4,1,1
0,24,138,8,0,3,0,19,6,26,0,0,5,3,27,1,3,16,36,0,2,9,3,58,17,8,30,100,37,0.27,11,67,8,50,1,3,6,50,2,0,11,1,8,5.0,2,10,7.0,3,16,9.66666666666667,2,5,3.8,1,1,1,1,42,11,0.58695652173913,1.0,0,3,1,0
2,6,316,5,1,1,4,63,2,7,3,0,2,30,26,2,32,59,71,0,5,9,29,124,59,44,64,242,101,0.11,51,165,5,105,0,29,2,87,2,0,1,4,7,2.125,0,8,2.125,0,7,1.875,0,3,0.771428571428571,0,0,0,0,0,0,0.879746835443038,0.0,0,2,0,0
2,8,492,11,1,2,7,111,2,9,3,0,2,40,35,2,42,91,95,0,10,21,39,239,101,66,84,399,193,0.09,67,277,11,185,0,39,3,87,2,0,1,4,17,4.28571428571429,0,12,2.5952380952381,0,23,3.45238095238095,0,3,0.622222222222222,0,0,0,0,0,0,0.349593495934959,0.0,0,4,0,0
0,9,80,4,0,1,0,6,2,10,0,0,2,3,31,1,3,6,15,0,2,4,3,18,6,3,14,39,13,0.79,10,27,4,20,0,3,2,66,5,0,4,1,6,3.0,1,7,3.66666666666667,2,8,3.33333333333333,1,1,0.6,0,2,2,1,85,5,1.0,1.0,0,1,1,0
2,9,675,17,1,2,10,159,3,10,3,0,2,50,55,2,52,123,118,0,14,33,49,350,143,88,103,552,282,0.1,83,385,17,261,0,49,3,88,1,0,2,4,17,3.73076923076923,0,17,2.84615384615385,0,128,8.46153846153846,0,3,0.527272727272727,0,0,0,0,0,0,0.89037037037037,0.0,0,2,0,0
0,7,103,3,0,1,2,8,2,10,1,3,2,5,42,1,5,8,22,0,0,3,5,23,8,5,19,51,17,0.82,10,36,3,27,0,4,2,90,4,0,3,1,6,3.4,2,6,3.6,1,4,1.8,1,1,0.571428571428571,0,1,1,1,1,0,0.990291262135922,1.0,0,1,1,1
2,10,853,20,1,2,11,200,3,11,3,0,3,59,63,2,61,155,149,0,16,40,58,452,180,103,138,709,359,0.09,103,497,20,339,0,58,3,89,1,0,2,4,16,3.42622950819672,0,22,3.0655737704918,0,512,18.0,0,4,0.578125,0,0,0,0,0,0,0.560375146541618,0.0,0,3,0,0
