CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0,11,275,4,1,1,0,31,2,13,1,0,2,17,31,3,17,29,90,1,3,4,15,117,29,17,86,196,65,0.16,48,151,4,123,1,16,2,75,3,0,18,2,8,3.17647058823529,0,18,6.23529411764706,1,8,2.0,1,2,0.619047619047619,0,8,8,3,43,22,0.647272727272727,0.375,0,3,3,1
0,7,590,7,0,1,1,120,3,10,5,2,2,44,140,2,44,85,116,1,1,9,43,222,111,53,87,387,136,0.36,64,223,7,142,0,39,3,62,3,0,18,2,62,5.72727272727273,0,17,4.88636363636364,1,7,1.90909090909091,1,2,0.638297872340426,0,14,14,6,164,112,0.532203389830509,0.285714285714286,0,4,6,6
0,3,78,2,0,1,0,6,1,5,0,1,1,5,42,1,5,6,14,0,1,2,5,9,6,5,14,28,9,1.5,8,23,2,16,0,5,1,19,3,0,4,2,16,5.0,1,3,2.0,1,2,1.2,1,1,0.428571428571429,0,1,1,1,1,1,0.538461538461538,1.0,0,4,1,2
1,7,721,8,0,2,6,143,2,9,7,1,2,57,155,2,57,127,144,0,1,9,56,246,127,102,113,465,200,0.33,104,313,8,188,0,50,3,88,4,0,18,2,55,5.52631578947368,0,14,3.96491228070175,1,10,2.28070175438596,1,3,0.8,0,17,17,5,126,111,0.438280166435506,0.470588235294118,0,4,5,5
4,7,708,21,0,1,2,137,2,8,2,0,2,61,43,2,61,124,172,2,7,23,55,306,126,76,120,538,264,0.08,127,384,19,260,1,59,2,87,2,0,18,2,10,2.49180327868852,0,19,5.29508196721311,1,374,8.27868852459016,1,4,0.671875,0,15,15,5,185,147,0.823446327683616,0.466666666666667,0,2,5,3
0,11,530,5,0,1,0,92,2,12,20,0,2,47,30,26,47,88,108,0,8,5,47,273,88,47,121,418,169,0.07,82,290,5,204,1,27,2,16,1,0,17,2,24,3.85106382978723,2,11,4.91489361702128,3,6,1.82978723404255,1,1,0.594594594594595,0,15,15,4,73,93,0.615094339622641,0.533333333333333,0,4,4,0
0,5,240,6,0,1,11,34,2,10,0,5,2,14,131,1,14,22,31,0,1,7,14,48,22,14,30,88,31,1.49,22,61,6,38,0,14,2,82,1,0,2,2,22,6.64285714285714,1,4,1.71428571428571,1,24,2.85714285714286,1,1,0.375,0,2,2,1,480,240,1.0,1.0,0,1,1,0
8,9,549,9,1,1,0,100,3,11,12,1,3,36,81,7,36,90,136,0,21,11,27,246,92,51,136,407,185,0.2,61,321,9,231,0,24,3,76,2,0,11,2,11,3.63888888888889,0,17,4.83333333333333,0,256,10.0,1,4,0.886363636363636,0,23,23,6,447,236,0.493624772313297,0.304347826086957,2,3,4,3
92,14,2185,99,0,3,0,472,4,18,105,0,3,105,128,1,105,312,511,0,0,99,13,1149,438,324,516,1673,708,0.08,387,1224,32,925,2,0,4,0,1,0,146,1,153,7.75238095238095,2,102,8.68571428571429,2,98,5.87619047619048,1,6,1.13084112149533,0,49,49,6,306,211,0.732723112128146,0.510204081632653,1,3,5,4
1,7,177,3,0,1,1,21,2,9,7,0,2,13,38,4,13,21,43,0,3,3,12,62,21,13,37,110,47,0.35,29,84,3,63,1,6,2,77,2,0,11,2,5,3.23076923076923,2,9,5.92307692307692,2,4,1.69230769230769,1,1,0.444444444444444,0,10,10,4,35,39,0.548022598870056,0.5,0,4,4,1
