CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0,12,383,5,0,1,2,22,2,23,0,9,2,11,187,1,11,22,44,2,4,5,9,72,22,13,38,161,52,1.16,35,90,5,67,1,11,2,87,5,17,10,2,18,4.45454545454545,1,14,4.09090909090909,1,8,2.36363636363636,1,4,0.714285714285714,0,7,7,6,970,233,0.475195822454308,0.285714285714286,0,5,6,3
7,32,513,18,0,3,1,64,6,41,0,8,5,11,119,1,11,58,48,0,3,18,4,204,64,36,48,370,137,0.32,24,185,18,128,0,11,6,70,1,0,6,1,13,5.0,1,17,6.54545454545455,1,24,7.18181818181818,1,6,2.69230769230769,0,3,3,2,1031,3,0.503891050583658,0.666666666666667,0,3,2,3
0,21,142,5,0,1,1,8,2,34,0,7,2,3,44,2,3,7,25,0,0,6,3,38,7,3,28,77,25,0.57,21,53,5,45,5,3,3,100,3,0,12,2,2,0.666666666666667,0,28,10.3333333333333,1,12,4.66666666666667,1,2,1.0,0,5,5,5,288,4,0.485915492957746,0.2,0,3,5,3
0,16,1033,10,0,2,10,113,3,26,1,9,3,32,363,4,32,101,166,10,4,13,22,283,101,48,155,578,178,0.63,92,333,10,237,1,31,4,92,1,1,29,3,11,3.3125,1,23,6.15625,1,72,7.6875,1,4,1.2972972972973,0,26,26,9,2546,359,0.348499515972894,0.346153846153846,3,5,6,3
0,29,113,3,0,1,0,4,2,38,0,4,2,2,27,1,2,4,23,0,0,3,2,45,4,2,21,71,26,0.38,15,47,3,42,5,2,2,0,3,0,15,1,2,1.5,1,23,12.5,2,4,2.5,1,1,0.75,0,6,6,5,233,7,0.761061946902655,0.333333333333333,0,3,5,0
3,11,209,6,0,2,2,25,3,14,0,2,3,10,44,1,10,25,43,3,3,6,4,62,25,18,45,136,44,0.32,29,89,6,63,0,10,3,82,9,1,5,1,4,2.2,0,12,5.3,1,8,2.7,1,3,1.5,0,4,4,3,421,3,0.937799043062201,0.5,0,1,3,3
0,5,341,3,0,1,4,26,1,11,0,5,1,23,154,4,23,26,54,5,1,3,18,52,26,25,57,153,37,1.01,34,94,3,67,0,23,1,100,6,1,6,2,32,2.91304347826087,0,7,2.73913043478261,1,3,1.1304347826087,1,2,0.25,0,3,3,3,691,9,0.392961876832845,0.333333333333333,0,4,3,2
1,4,273,4,1,1,8,23,1,8,2,3,1,20,103,2,20,23,50,0,7,4,18,45,23,22,49,135,33,0.76,35,82,4,57,0,18,1,91,3,0,1,2,5,2.15,1,8,1.8,1,6,1.25,1,2,0.260869565217391,0,2,2,2,546,0,0.864468864468865,0.5,0,2,2,3
3,7,433,6,0,1,2,29,1,14,0,6,1,18,244,2,18,26,42,5,7,7,10,57,26,18,40,144,44,1.69,45,84,6,56,0,18,2,84,6,1,6,1,6,2.38888888888889,0,13,2.77777777777778,1,24,2.44444444444444,1,1,0.285714285714286,0,5,5,4,892,30,0.290322580645161,0.4,0,5,4,2
0,17,207,6,0,1,1,13,3,23,0,4,3,4,99,1,4,13,25,0,2,6,4,36,13,4,24,89,21,1.11,19,45,6,31,2,4,3,58,1,0,1,2,5,2.5,0,9,4.5,0,16,6.0,1,3,1.66666666666667,0,7,7,4,453,38,0.893719806763285,0.428571428571429,0,2,4,2
0,4,140,2,0,1,0,14,1,7,0,3,1,12,59,1,12,14,20,0,1,2,12,18,14,12,19,64,14,0.92,17,33,2,19,0,12,1,0,1,0,4,2,2,1.25,1,5,3.41666666666667,2,2,1.08333333333333,1,1,0.214285714285714,0,2,2,2,280,0,0.792857142857143,0.5,0,3,2,0
