CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0.0,-0.5,-0.24918032786885247,-0.375,0.0,0.0,0.0,-0.21052631578947367,-0.5,-0.46153846153846156,0.0,0.0,-0.5,-0.16666666666666666,-0.2802547770700637,0.0,-0.125,-0.19889502762430938,-0.23776223776223776,0.0,0.16666666666666666,-0.35,-0.07692307692307693,-0.2642857142857143,-0.21164021164021163,-0.17857142857142858,-0.23809523809523808,-0.22869955156950672,-0.23404255319148937,0.4503097520189926,-0.2682926829268293,-0.22006472491909385,-0.42857142857142855,-0.2100656455142232,0.0,-0.07692307692307693,-0.5,-0.37209302325581395,0.0,0.0,-0.2,1.0,-0.5,-0.3716322740857194,1.0,-0.3333333333333333,-0.38549411413428036,0.0,-0.2608695652173913,-0.26707284897134326,0.0,-1.0,-0.7087018545598732,0.0,0.0,0.0,0.0,0.0,0.0,0.5927099678536124,0.0,0.0,-0.5,0.0,0.0
1.0,1.9,0.7180327868852459,2.75,0.0,1.0,1.0,0.7272727272727273,2.0,1.9230769230769231,0.0,2.5,2.0,0.0,0.9171974522292994,0.0,0.0625,0.7292817679558011,0.7412587412587412,1.0,-0.3333333333333333,2.65,-0.07692307692307693,0.85,0.6772486772486772,0.25,0.8095238095238095,0.7937219730941704,0.7340425531914894,-0.18499224253461716,0.34146341463414637,0.7961165048543689,3.142857142857143,0.787746170678337,2.0,0.15384615384615385,2.5,0.2558139534883721,1.0,0.0,2.1,1.0,0.3,-0.04215074830722621,0.0,4.133333333333334,2.0478416897596894,-1.0,1085.304347826087,643.2907596333233,0.0,2.0,1.9330603959344776,0.0,0.0,0.0,0.0,0.0,0.0,-0.46542762806636917,0.0,0.0,0.5,0.0,8.0
3.5,1.6,1.1442622950819672,4.375,0.0,2.0,0.5,1.0909090909090908,1.5,1.4615384615384615,0.0,1.0,1.5,0.3333333333333333,0.6878980891719745,4.0,0.4375,1.1933701657458564,1.6923076923076923,0.0,0.0,3.65,0.07692307692307693,1.4357142857142857,1.1216931216931216,1.1071428571428572,1.7936507936507937,1.358744394618834,1.1382978723404256,-0.37770358776205437,0.5853658536585366,1.4433656957928802,5.0,1.4442013129102844,1.0,0.6153846153846154,1.5,0.4069767441860465,0.0,0.0,1.8,1.0,0.0,-0.18207633311306085,0.0,2.8,0.9477603333654425,0.0,2418.5652173913045,818.8133630910298,0.0,2.0,0.8142928407782571,0.0,0.0,0.0,0.0,0.0,0.0,0.38964362289931065,0.0,0.0,0.0,0.0,0.0
0.0,1.4,3.095081967213115,4.75,0.0,2.0,0.0,3.54066985645933,1.5,1.2307692307692308,0.0,0.0,1.0,1.5,1.0955414012738853,1.0,-0.4375,2.8066298342541436,2.4615384615384617,0.0,-0.3333333333333333,4.15,-0.46153846153846156,3.4857142857142858,3.619047619047619,4.107142857142857,2.1904761904761907,3.2645739910313902,4.872340425531915,-0.4751822868631122,3.5853658536585367,3.8899676375404533,3.2857142857142856,3.789934354485777,3.0,-0.46153846153846156,2.0,-0.37209302325581395,-1.0,1.0,-0.3,-1.0,0.5,0.4341171835906699,0.0,1.6666666666666667,0.8559580587677166,-1.0,2.652173913043478,1.271349578940893,-1.0,0.5,0.25872180559844526,0.0,0.0,0.0,0.0,0.6530612244897959,5.0,0.5767396741288668,0.9743589743589738,0.0,-1.0,0.0,0.0
1.0,0.5,0.49836065573770494,1.25,0.0,0.0,1.0,0.2679425837320574,0.5,0.6923076923076923,0.0,2.0,0.5,0.2222222222222222,1.1464968152866242,1.0,0.3125,0.3314917127071823,0.6713286713286714,0.0,0.16666666666666666,1.05,0.3076923076923077,0.5571428571428572,0.2962962962962963,0.17857142857142858,0.746031746031746,0.47533632286995514,0.4148936170212766,0.06027674230030366,0.34146341463414637,0.5760517799352751,1.4285714285714286,0.6477024070021882,1.0,0.46153846153846156,0.5,0.4069767441860465,0.0,0.0,1.0,2.0,-0.1,-0.1982995893224294,0.0,2.533333333333333,0.5796397238327375,0.0,2.0869565217391304,0.7577827981472606,0.0,2.5,0.8426160700227207,0.0,0.0,0.0,0.0,0.0,0.0,-0.42036356353296644,0.0,0.0,0.0,0.0,2.0
0.0,0.7,1.740983606557377,2.0,8.0,0.0,1.0,1.7799043062200957,1.0,0.6153846153846154,3.0,0.5,1.0,1.0,1.5541401273885351,7.0,1.3125,1.7458563535911602,1.6643356643356644,2.0,3.8333333333333335,1.75,0.9230769230769231,1.9785714285714286,1.6507936507936507,0.8928571428571429,1.7619047619047619,1.8565022421524664,1.872340425531915,-0.30762673495207676,1.6097560975609757,1.8770226537216828,2.2857142857142856,1.864332603938731,1.0,1.4615384615384615,1.0,0.4069767441860465,1.0,2.0,1.5,1.0,2.1,0.36545856395324394,0.0,3.6666666666666665,0.7422976675797452,-1.0,110.04347826086956,19.72226014125692,-1.0,1.0,0.30141274364882187,0.0,0.0,0.0,0.0,0.0,0.0,-0.8559447800934077,0.0,0.0,1.5,0.0,2.0
3.0,3.4,9.757377049180327,3.5,0.0,3.0,2.0,12.631578947368421,4.0,2.6153846153846154,5.0,0.5,3.0,3.3333333333333335,1.4012738853503184,0.0,3.8125,11.535911602209945,2.629370629370629,1.0,2.1666666666666665,2.75,4.230769230769231,13.692857142857143,13.947089947089948,8.357142857142858,3.015873015873016,12.816143497757848,15.553191489361701,-0.5879341461919859,1.7073170731707317,10.711974110032363,2.7142857142857144,10.231947483588621,0.0,4.384615384615385,4.0,0.22093023255813954,0.0,0.0,5.2,2.0,3.6,1.7940594195667565,0.0,1.0,1.1260294110324436,-1.0,5.434782608695652,8.500020175889654,0.0,1.0,1.5082119572675574,0.0,0.0,0.0,0.0,0.0,0.0,-0.28006780433087786,0.0,0.0,0.0,0.0,0.0
0.5,-0.4,0.4131147540983607,0.375,0.0,0.0,1.0,0.4784688995215311,-0.5,-0.38461538461538464,0.0,0.0,-0.5,1.2777777777777777,0.050955414012738856,1.0,1.5,0.5966850828729282,0.6853146853146853,0.0,1.6666666666666667,0.25,1.8461538461538463,0.15,0.5502645502645502,0.8214285714285714,0.6031746031746031,0.4304932735426009,0.2127659574468085,-0.30762673495207676,0.8048780487804879,0.3948220064724919,0.42857142857142855,0.2888402625820569,0.0,1.9230769230769231,-0.5,0.2441860465116279,0.0,0.0,0.1,1.0,0.7,0.014172733935793718,1.0,0.4,-0.38885163222967534,0.0,0.08695652173913043,-0.17279102719340597,0.0,1.5,-0.13120319429419564,0.0,1.0,1.0,1.0,0.16326530612244897,2.0,-0.5800458724786614,2.0,0.0,0.5,1.0,2.0
0.5,3.1,0.8426229508196721,2.25,3.0,1.0,2.5,0.28708133971291866,1.5,3.3076923076923075,5.0,3.5,1.5,-0.1111111111111111,0.8662420382165605,0.0,-0.0625,0.35359116022099446,1.3566433566433567,0.0,-0.3333333333333333,1.75,-0.3076923076923077,1.1,0.31746031746031744,0.14285714285714285,1.5714285714285714,0.8878923766816144,0.8297872340425532,-0.22003066893960524,0.7804878048780488,1.1650485436893203,2.5714285714285716,1.400437636761488,6.0,-0.38461538461538464,1.5,0.011627906976744186,0.0,0.0,2.9,0.0,0.3,1.0508911387992084,0.0,4.866666666666666,2.7969243254367058,0.0,973.6521739130435,769.1392373378319,0.0,0.5,0.6195706397225885,0.0,2.0,2.0,2.0,0.24489795918367346,2.0,-0.30522278094355765,1.0,0.0,0.0,2.0,2.0
0.0,-0.5,-0.3114754098360656,-0.375,0.0,-1.0,0.0,-0.21052631578947367,-0.5,-0.5384615384615384,0.0,0.0,-0.5,-0.2777777777777778,-0.33121019108280253,-1.0,-0.25,-0.19889502762430938,-0.2937062937062937,0.0,-0.3333333333333333,-0.35,-0.23076923076923078,-0.30714285714285716,-0.21164021164021163,-0.25,-0.36507936507936506,-0.2825112107623318,-0.2978723404255319,0.813602910007563,-0.34146341463414637,-0.3042071197411003,-0.42857142857142855,-0.2975929978118162,0.0,-0.23076923076923078,-0.5,-0.7558139534883721,2.0,0.0,-0.1,0.0,-0.7,-0.6809414615512457,0.0,-0.3333333333333333,-0.19940621727135924,0.0,-0.30434782608695654,-0.2724953656227644,-1.0,-1.0,-0.7434847676671062,0.0,0.0,0.0,0.0,0.0,0.0,0.35351581637401586,0.0,0.0,-0.5,0.0,0.0
0.0,8.4,4.098360655737705,7.125,0.0,20.0,0.0,4.842105263157895,11.0,8.076923076923077,0.0,5.5,11.0,0.16666666666666666,3.4140127388535033,-1.0,-0.4375,5.5911602209944755,3.8461538461538463,0.0,-0.3333333333333333,5.65,-0.46153846153846156,3.1785714285714284,5.333333333333333,8.071428571428571,4.285714285714286,4.165919282511211,13.46808510638298,-0.3601843745595597,3.317073170731707,11.333333333333334,8.142857142857142,13.321663019693654,12.0,-0.46153846153846156,11.5,-0.7558139534883721,-1.0,0.0,-0.3,-1.0,0.1,0.9373283453336038,0.0,1.0,2.295719943747352,0.0,21.956521739130434,13.570696689396296,0.0,-0.5,0.16521883725935724,0.0,0.0,0.0,0.0,0.0,0.0,0.5946933356104929,0.0,0.0,-0.5,0.0,0.0
0.0,-0.5,7.534426229508196,-0.375,0.0,0.0,0.0,3.674641148325359,-0.5,-0.46153846153846156,0.0,0.5,-0.5,11.166666666666666,32.71337579617835,0.0,12.625,4.287292817679558,3.5104895104895104,0.0,-0.3333333333333333,-0.35,15.615384615384615,1.1571428571428573,4.084656084656085,7.107142857142857,3.1746031746031744,2.7713004484304933,1.8829787234042554,2.635601083066966,9.78048780487805,2.459546925566343,-0.42857142857142855,1.6455142231947484,0.0,15.615384615384615,-0.5,-0.7558139534883721,0.0,0.0,-0.2,1.0,-0.8,-1.1068019370472588,0.0,-0.4,-0.6885679307507814,-1.0,-0.2608695652173913,-0.27249536562276433,0.0,-1.0,-0.7434847676671062,0.0,0.0,0.0,0.0,0.0,0.0,-0.1536184105264538,0.0,0.0,0.0,0.0,2.0
