CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
1.0,1.1818181818181819,-0.09667194928684628,-0.2222222222222222,0.0,0.0,0.0,-0.24,0.0,1.5384615384615385,0.0,2.0,0.0,-0.29411764705882354,-0.027777777777777776,0.0,-0.2857142857142857,-0.2222222222222222,-0.05460750853242321,0.0,-0.3333333333333333,-0.2,-0.36363636363636365,-0.006980802792321117,-0.23404255319148937,-0.27722772277227725,-0.07662835249042145,-0.10514786418400876,-0.12339331619537275,0.2704688962882678,-0.04878048780487805,-0.1125,-0.25,-0.034408602150537634,4.0,-0.25,0.0,-0.6744186046511628,1.0,0.0,0.5555555555555556,0.0,0.0,0.476461147017222,2.0,0.14285714285714285,0.7561166750758684,2.0,-0.08695652173913043,-0.0844445802183878,0.0,-0.3333333333333333,0.04724910112192615,0.0,0.0,0.0,0.0,0.0,0.0,-0.18650628068150657,0.0,0.0,0.0,0.0,0.0
11.0,0.7272727272727273,1.393026941362916,0.0,0.0,0.0,2.5,0.48,0.0,0.7692307692307693,2.0,0.0,0.0,0.8235294117647058,0.2777777777777778,0.0,1.0714285714285714,0.5777777777777777,1.8293515358361774,1.0,0.8333333333333334,0.0,0.36363636363636365,1.8917975567190226,0.5319148936170213,0.4752475247524752,1.5632183908045978,1.524644030668127,1.3676092544987146,-0.47729805227341404,2.097560975609756,1.4625,0.0,1.729032258064516,3.0,1.1666666666666667,0.0,0.3372093023255814,1.0,0.0,3.3333333333333335,0.0,0.6363636363636364,0.9075450419375667,0.0,1.0,1.8128364800371888,1.0,0.17391304347826086,0.032792362137120834,0.0,-0.3333333333333333,0.07442301416540445,0.0,0.0,0.0,0.0,0.0,0.0,-0.5679858030388798,0.0,0.0,0.0,0.0,7.0
0.0,-0.2727272727272727,0.13153724247226625,0.3333333333333333,0.0,0.0,0.0,0.26,-0.5,-0.38461538461538464,0.0,0.0,-0.5,0.7058823529411765,-0.5833333333333334,1.0,-0.42857142857142855,0.3333333333333333,0.43686006825938567,0.0,-0.3333333333333333,0.3,-0.45454545454545453,-0.034904013961605584,0.2978723404255319,0.7524752475247525,0.4904214559386973,0.17086527929901424,0.061696658097686374,-0.4932079873491945,0.5365853658536586,0.23125,0.375,0.2064516129032258,0.0,-0.4166666666666667,-0.5,0.18604651162790697,0.0,0.0,0.1111111111111111,0.0,0.8181818181818182,-0.1170255448814233,1.0,0.07142857142857142,-0.20420062136266062,0.0,0.13043478260869565,-0.09007839209359439,0.0,0.3333333333333333,-0.27775089887807386,0.0,0.0,0.0,0.0,0.0,0.0,-0.5358598042247559,0.0,0.0,0.5,0.0,0.0
5.0,-0.18181818181818182,2.683042789223455,0.1111111111111111,5.0,0.0,2.5,1.14,-0.5,-0.23076923076923078,20.0,0.0,-0.5,2.5294117647058822,4.527777777777778,1.0,3.2857142857142856,1.3111111111111111,5.747440273037543,0.0,45.666666666666664,0.1,3.3636363636363638,1.2844677137870855,1.2340425531914894,1.7821782178217822,1.2567049808429118,2.633077765607886,1.2236503856041132,-0.1750092858335852,2.682926829268293,1.25,0.125,1.2043010752688172,0.0,2.25,-0.5,0.46511627906976744,1.0,1.0,0.0,0.0,5.0,2.1685090665527422,0.0,0.5714285714285714,0.08279649165820925,0.0,0.5217391304347826,-0.07209353110735553,-1.0,0.3333333333333333,-0.22060804173521636,0.0,28.0,28.0,6.0,31.333333333333332,105.0,-1.1521404779307656,0.714285714285714,1.0,1.0,5.0,13.0
61.0,1.6363636363636365,6.657686212361331,5.666666666666667,1.0,0.0,1.0,6.56,1.5,1.6153846153846154,3.0,1.0,1.0,3.5294117647058822,5.194444444444445,1.0,4.357142857142857,5.466666666666667,7.508532423208191,0.0,0.16666666666666666,5.1,0.0,8.914485165794066,6.787234042553192,2.495049504950495,7.402298850574713,7.5575027382256295,7.701799485861183,-0.4454781821218531,4.780487804878049,7.69375,1.375,8.438709677419356,2.0,4.916666666666667,1.5,0.45348837209302323,1.0,0.0,9.222222222222221,0.0,4.818181818181818,1.825249170165478,0.0,3.2142857142857144,2.798582566754822,0.0,84.34782608695652,8.614749562312817,0.0,1.0,0.9103443392171678,0.0,8.0,8.0,3.0,21.333333333333332,47.0,-0.8480094402418388,1.25,0.0,1.5,3.0,10.0
1.0,-0.2727272727272727,-0.2393026941362916,0.2222222222222222,0.0,0.0,0.0,-0.1,0.5,-0.3076923076923077,1.0,0.5,-0.5,-0.23529411764705882,-0.5277777777777778,0.0,-0.07142857142857142,-0.15555555555555556,-0.23208191126279865,0.0,0.6666666666666666,0.2,-0.09090909090909091,-0.14659685863874344,-0.0851063829787234,-0.15841584158415842,-0.27586206896551724,-0.18838992332968238,-0.16452442159383032,-0.0795496753789024,-0.24390243902439024,-0.21875,-0.25,-0.18064516129032257,0.0,-0.08333333333333333,0.5,0.20930232558139536,0.0,0.0,-0.3333333333333333,1.0,0.0,-0.317640764678148,0.0,-0.35714285714285715,-0.4274095064808061,0.0,0.08695652173913043,-0.06303609509259935,-1.0,-0.3333333333333333,-0.22060804173521636,0.0,0.0,0.0,0.0,0.0,0.0,0.4212380070076962,0.0,0.0,-0.5,0.0,1.0
37.0,-0.09090909090909091,18.676703645007922,0.4444444444444444,18.0,0.0,36.5,25.1,0.0,-0.23076923076923078,55.0,0.0,0.0,37.94117647058823,9.527777777777779,61.0,48.714285714285715,26.57777777777778,16.49146757679181,19.0,15.166666666666666,1.2,55.36363636363637,17.41710296684119,25.319148936170212,34.57425742574257,16.64367816091954,20.337349397590362,20.91516709511568,-0.5091179224249749,23.51219512195122,19.49375,0.5,16.361290322580643,0.0,52.333333333333336,0.0,0.4883720930232558,2.0,13.0,2.111111111111111,3.0,0.5454545454545454,-0.3430335583660825,0.0,0.5,-0.1738889090870356,-1.0,0.391304347826087,-0.002295741945013185,-1.0,0.6666666666666666,-0.11843331357623638,0.0,0.0,0.0,0.0,0.0,0.0,-0.9685250814003922,0.0,0.0,2.0,0.0,0.0
12.0,0.0,3.462757527733756,1.1111111111111112,1.0,0.0,1.0,2.98,0.0,0.07692307692307693,1.0,1.5,0.0,5.0588235294117645,8.527777777777779,1.0,6.214285714285714,3.2222222222222223,3.7542662116040955,0.0,1.5,1.3,6.818181818181818,2.094240837696335,3.0638297872340425,3.405940594059406,2.574712643678161,3.014238773274918,2.354755784061697,0.06363974030312183,2.4634146341463414,2.475,1.25,2.141935483870968,0.0,7.25,0.0,0.37209302325581395,0.0,0.0,3.7777777777777777,1.0,1.0909090909090908,0.747992768435639,1.0,1.6428571428571428,-0.023356213314953328,0.0,17.217391304347824,0.9134670651611064,0.0,0.6666666666666666,-0.14372312110029634,0.0,7.0,7.0,3.0,13.222222222222221,91.0,-1.158022667984281,1.428571428571428,0.0,2.0,3.0,7.0
1.0,2.090909090909091,0.8129952456418383,0.3333333333333333,0.0,0.0,0.0,0.26,0.5,2.0,1.0,1.0,0.5,0.11764705882352941,0.3611111111111111,0.0,0.21428571428571427,0.3333333333333333,0.5187713310580204,2.0,0.0,0.3,0.09090909090909091,1.431064572425829,0.2978723404255319,0.0,0.6130268199233716,1.0076670317634173,1.4190231362467867,-0.4136583119702921,0.43902439024390244,1.10625,0.375,1.4193548387096775,2.0,0.25,0.5,-0.29069767441860467,1.0,0.0,1.2222222222222223,0.0,0.8181818181818182,0.7058683659514391,0.0,2.5714285714285716,2.975228265494633,2.0,1.2608695652173914,1.2357453358718997,0.0,0.0,0.48285516172798454,0.0,2.0,2.0,2.0,1.0,9.0,-0.3860382338514658,1.0,0.0,0.5,2.0,6.0
0.0,0.18181818181818182,-0.1537242472266244,0.0,0.0,0.0,0.0,-0.18,0.0,0.07692307692307693,0.0,0.0,0.0,-0.23529411764705882,0.0,0.0,-0.21428571428571427,-0.15555555555555556,-0.21843003412969283,0.0,0.0,0.0,-0.18181818181818182,-0.1256544502617801,-0.1702127659574468,-0.2376237623762376,-0.19923371647509577,-0.1664841182913472,-0.12339331619537275,0.6204874679554382,-0.17073170731707318,-0.1625,0.0,-0.12903225806451613,0.0,-0.16666666666666666,0.0,0.09302325581395349,4.0,0.0,0.2222222222222222,0.0,-0.09090909090909091,0.0,1.0,0.0,0.1807914479302636,1.0,0.17391304347826086,0.30804431375439945,0.0,-0.3333333333333333,-0.07775089887807388,0.0,2.0,2.0,1.0,9.444444444444445,5.0,0.5035585877866073,2.0,0.0,-0.5,1.0,0.0
