CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
0.0,0.2,0.3979591836734694,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,1.6666666666666667,0.0,0.125,1.4545454545454546,0.0,0.125,0.0,0.08695652173913043,0.0,-0.3333333333333333,-0.3333333333333333,0.5,0.2631578947368421,0.0,0.1111111111111111,0.08333333333333333,0.14184397163120568,0.3,0.3037974683544303,0.5882352941176471,0.18181818181818182,-0.3333333333333333,0.24390243902439024,1.0,0.125,0.0,-0.625,0.5,0.0,1.0,0.0,0.0,0.11219147344801893,0.0,0.25,0.6210095076138193,0.0,-0.3333333333333333,-0.09230769230769635,0.0,-0.5,-0.307692307692308,0.0,0.0,0.0,0.0,0.0975609756097561,0.2857142857142857,0.5275109995533607,0.0,0.0,-0.5,0.0,1.0
0.0,6.6,0.45918367346938777,5.333333333333333,0.0,0.0,17.0,2.0714285714285716,9.0,5.714285714285714,0.0,0.0,9.0,-0.5,-0.5,0.0,-0.5,0.8571428571428571,0.30434782608695654,0.0,-0.3333333333333333,11.0,-0.3333333333333333,1.4210526315789473,0.8571428571428571,-0.4444444444444444,0.2916666666666667,0.8226950354609929,1.3333333333333333,-0.5147679324894514,0.6470588235294118,0.8363636363636363,5.333333333333333,0.8292682926829268,8.0,-0.5,17.0,0.0,-0.5,0.0,0.0,1.0,3.0,3.612565445026183,1.0,2.125,3.2497487825616447,2.0,43690.0,78642.50769230802,0.0,3.0,2.3589743589743586,0.0,0.0,0.0,0.0,-0.2926829268292683,-0.3142857142857143,0.6224092127799196,0.0,0.0,-0.5,0.0,1.0
4.0,0.4,3.7551020408163267,2.3333333333333335,0.0,0.0,2.0,5.0,1.0,0.42857142857142855,0.0,0.6666666666666666,1.0,3.75,3.4545454545454546,2.0,3.75,4.142857142857143,3.0434782608695654,0.6666666666666666,4.0,3.6666666666666665,4.5,4.184210526315789,4.142857142857143,4.777777777777778,3.0416666666666665,3.8865248226950353,4.166666666666667,-0.3713080168776371,1.8823529411764706,3.581818181818182,2.3333333333333335,3.1463414634146343,0.0,3.75,1.0,0.4875,0.0,0.0,6.25,1.0,0.8,0.3534031413612569,0.0,1.625,0.5674164540980663,-1.0,7.0,1.507692307692306,0.0,2.0,0.7923076923076918,0.0,6.0,6.0,1.0,5.2682926829268295,5.371428571428571,-0.6993799047716969,-0.5,0.0,0.5,1.0,1.0
0.0,0.0,0.3469387755102041,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,1.6666666666666667,0.0,0.125,1.4545454545454546,0.0,0.125,0.0,0.08695652173913043,0.0,-0.3333333333333333,-0.3333333333333333,0.5,0.13157894736842105,0.0,0.1111111111111111,0.08333333333333333,0.07092198581560284,0.13333333333333333,0.41350210970464135,0.5882352941176471,0.09090909090909091,-0.3333333333333333,0.12195121951219512,1.0,0.125,0.0,-0.625,0.5,0.0,0.75,0.0,0.0,0.11219147344801893,0.0,0.125,0.4280745149570987,0.0,-0.3333333333333333,-0.09230769230769635,0.0,-0.5,-0.307692307692308,0.0,0.0,0.0,0.0,0.04878048780487805,0.22857142857142856,0.6404210549503991,0.0,0.0,-0.5,0.0,0.0
0.0,0.8,0.08163265306122448,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.7142857142857143,2.0,0.3333333333333333,0.0,-0.125,-0.18181818181818182,0.0,-0.125,-0.07142857142857142,0.391304347826087,0.0,0.6666666666666666,0.0,0.16666666666666666,0.42105263157894735,-0.07142857142857142,-0.1111111111111111,0.375,0.2695035460992908,0.36666666666666664,-0.3291139240506329,0.35294117647058826,0.34545454545454546,0.0,0.4878048780487805,1.0,-0.375,0.0,0.375,2.0,0.0,1.25,0.0,0.0,-0.25130890052355886,0.0,1.375,0.6499497565123289,1.0,0.0,0.14769230769230457,0.0,0.0,0.26373626373626397,0.0,2.0,2.0,1.0,0.1951219512195122,0.45714285714285713,-0.5836847236259111,-0.25,0.0,1.0,1.0,0.0
0.0,-0.4,-0.3673469387755102,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.5714285714285714,0.0,0.0,0.0,0.125,-0.36363636363636365,0.0,0.125,0.0,-0.21739130434782608,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.2894736842105263,0.0,0.1111111111111111,-0.20833333333333334,-0.1702127659574468,-0.2,-0.11814345991561181,-0.17647058823529413,-0.21818181818181817,-0.3333333333333333,-0.2926829268292683,0.0,0.125,0.0,-0.625,0.0,0.0,-0.25,1.0,0.2,0.24682124158564264,0.0,-0.25,-0.15073046301306275,1.0,-0.3333333333333333,-0.09230769230769635,0.0,-0.5,-0.307692307692308,0.0,0.0,0.0,0.0,-0.3170731707317073,-0.3142857142857143,-0.12889830555145798,0.0,0.0,0.5,0.0,0.0
0.0,-0.8,-0.6428571428571429,-0.3333333333333333,2.0,0.0,0.0,-0.35714285714285715,0.0,-0.8571428571428571,0.0,0.0,0.0,-0.5,-0.2727272727272727,0.0,-0.5,-0.35714285714285715,-0.6521739130434783,0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-0.47368421052631576,-0.35714285714285715,-0.4444444444444444,-0.625,-0.5106382978723404,-0.43333333333333335,2.3037974683544302,-0.47058823529411764,-0.5272727272727272,-0.3333333333333333,-0.5365853658536586,0.0,-0.5,0.0,-0.625,-1.0,2.0,-0.25,-1.0,0.0,0.5497382198952901,3.0,-0.625,-0.9707041818041275,-1.0,-0.3333333333333333,-0.09230769230769635,0.0,-0.5,-0.307692307692308,0.0,0.0,0.0,0.0,-0.21951219512195122,-0.22857142857142856,-0.06879523051224995,0.0,0.0,0.0,0.0,0.0
0.0,-0.8,-0.41836734693877553,-0.3333333333333333,8.0,0.0,0.0,0.07142857142857142,0.0,-0.8571428571428571,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.07142857142857142,-0.08695652173913043,0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-0.47368421052631576,0.07142857142857142,0.2222222222222222,-0.08333333333333333,-0.3262411347517731,-0.43333333333333335,0.5485232067510547,-0.29411764705882354,-0.2909090909090909,-0.3333333333333333,-0.21951219512195122,0.0,0.25,0.0,-0.625,0.0,1.0,-0.25,0.0,-0.6,-0.6871727748691091,0.0,-0.5,-0.6330679446548658,0.0,-0.3333333333333333,-0.09230769230769635,0.0,-0.5,-0.307692307692308,0.0,1.0,1.0,1.0,1.024390243902439,-0.3142857142857143,0.45363158058986636,-0.33333333333333304,0.0,0.0,1.0,0.0
0.0,4.8,1.489795918367347,5.0,0.0,3.0,5.0,1.5714285714285714,8.0,6.571428571428571,0.0,5.0,8.0,-0.375,1.8181818181818181,0.0,-0.375,1.3571428571428572,0.6956521739130435,2.0,1.3333333333333333,6.0,-0.6666666666666666,2.3157894736842106,1.3571428571428572,0.6666666666666666,0.6666666666666666,1.4326241134751774,1.3666666666666667,-0.25316455696202533,1.2941176470588236,1.018181818181818,5.0,0.926829268292683,8.0,-0.375,9.0,0.0375,0.5,0.0,0.5,0.0,1.8,2.3560209424083793,1.0,1.375,2.40565818968849,0.0,5.0,9.90769230769234,0.0,1.0,2.8923076923076922,0.0,-1.0,-1.0,0.0,1.4634146341463414,1.7428571428571429,0.6404210549503991,0.0,0.0,-0.5,0.0,0.0
0.0,0.8,-0.46938775510204084,0.0,0.0,0.0,1.0,-0.35714285714285715,1.0,1.1428571428571428,0.0,1.0,1.0,-0.625,-0.09090909090909091,0.0,-0.625,-0.35714285714285715,-0.4782608695652174,0.6666666666666666,-0.3333333333333333,0.0,-0.6666666666666666,-0.2894736842105263,-0.35714285714285715,-0.5555555555555556,-0.4583333333333333,-0.36879432624113473,-0.3,0.6666666666666666,-0.29411764705882354,-0.38181818181818183,0.0,-0.3902439024390244,3.0,-0.625,1.0,0.625,1.0,0.0,0.0,0.0,-0.8,-1.0994764397905754,0.0,0.125,1.055113241091443,5.0,0.0,1.1076923076923086,1.0,0.0,1.0256410256410253,1.0,0.0,0.0,0.0,-0.1951219512195122,-0.14285714285714285,-0.5432142876811427,0.0,0.0,0.0,0.0,0.0
