OWN_COMMIT,MAJOR_COMMIT,DDEV,Added_lines,CountStmtDecl,CountLineCode,Del_lines,CountLineCodeDecl,ADEV,CountSemicolon,CountStmt,CountLine,COMM,SumCyclomatic,CountOutput_Mean,CountPath_Mean,CountClassCoupled,OWN_LINE,CountStmtExe,AvgLine
1.0,1,1,16,20,31,35,23,2,20,23,120,2,3,1.5669642857142865,1.0535714285714293,1,0.9590909090909092,3,6
0.8205128205128209,1,1,238,69,179,195,68,3,97,135,261,3,39,2.722488038277511,3.719175561280821,8,0.8473105841526893,66,7
1.0,1,1,139,40,194,140,37,2,124,162,239,2,39,10.541666666666664,60345.20833333333,1,0.9958333333333336,121,55
1.0,1,1,1,6,13,2,6,1,5,9,35,1,3,1.3333333333333293,1.0,0,0.7754046062869591,3,3
1.0,1,1,44,23,54,43,32,1,21,33,92,1,11,1.0,1.0,0,1.0,10,2
1.0,1,1,150,69,222,142,67,5,104,157,328,5,49,2.754358974358978,2.5482051282051295,6,0.5087418703745235,88,9
1.0,1,1,5,17,32,4,17,2,16,24,115,2,7,1.226708074534163,1.0,4,0.5456521739130428,7,9
0.8095238095238091,1,1,93,19,43,6,18,3,31,37,87,3,5,10.160997732426305,4.061224489795918,3,0.9189463019250256,18,22
0.7999999999999999,2,2,455,181,628,439,173,5,324,478,762,5,150,4.112903225806449,7.967741935483869,5,0.493438320209974,297,10
1.0,1,1,5,22,41,4,22,2,25,33,129,2,7,2.28571428571429,1.0,4,0.9186046511627908,11,11
1.0,1,1,1,13,14,2,13,1,12,13,44,1,8,0.6517857142857149,1.0,0,0.9690315315315317,0,1
1.0,1,1,366,125,457,337,126,3,242,334,648,3,95,4.12820512820513,3.5128205128205097,10,0.6990740740740741,209,13
1.0,1,1,21,42,189,22,39,2,99,140,234,2,35,5.779607843137252,3.1571241830065326,2,0.9017329633055812,97,11
0.7999999999999999,2,2,44,31,62,39,29,5,35,47,112,5,18,1.46153846153846,1.30769230769231,2,0.4910714285714289,16,4
1.0,1,1,439,83,512,472,76,2,341,439,597,2,101,6.682086167800448,644.1752834467115,0,0.9728752260397828,356,29
0.8333333333333336,1,1,94,31,81,96,30,3,47,63,124,3,15,6.216666666666665,3.149999999999999,2,1.0,31,14
1.0,1,1,3,8,19,9,8,3,13,16,54,3,2,5.464285714285713,1.0,1,0.9620009620009616,8,7
1.0,1,1,3,12,24,4,12,1,11,17,83,1,5,1.4545454545454546,1.0757575757575772,1,0.8306810128213392,5,9
1.0,1,1,5,17,32,4,17,2,16,24,115,2,7,1.1428571428571392,1.0,4,0.5478260869565221,7,9
0.7142857142857139,2,2,197,89,292,187,85,7,147,214,417,7,53,4.444444444444439,2.85185185185185,15,0.5419664268585129,125,14
1.0,1,1,63,171,775,57,166,4,462,586,897,4,125,5.91228070175439,25.0526315789474,10,0.9108138238573018,415,13
1.0,1,1,4,9,21,9,9,3,15,18,56,3,2,6.0,1.0,1,1.0,9,8
1.0,1,1,28,32,78,28,32,4,42,59,137,4,16,1.75,1.4166666666666698,7,0.6131386861313871,27,7
1.0,1,1,12,51,116,19,46,2,69,96,204,2,27,3.7692307692307714,2.07692307692308,4,0.8382352941176467,45,10
1.0,1,1,340,63,152,309,63,3,66,109,386,3,42,1.681818181818182,1.1052631578947398,0,0.8933375202805252,46,7
0.9898989898989896,1,1,60,20,28,1,20,1,21,25,58,1,5,4.53846153846154,1.0,1,0.9977553310886644,4,6
1.0,1,1,133,126,450,132,127,5,156,271,634,5,115,1.8690476190476195,1.3571428571428603,0,0.8157480314960632,145,5
1.0,1,1,3,4,5,4,4,2,3,4,36,2,2,0.0,1.0,0,0.5,0,1
1.0,1,1,55,40,89,56,39,4,56,73,142,4,16,4.555555555555558,2.11111111111111,16,1.0,33,8
1.0,1,1,11,16,43,17,16,2,17,29,77,2,11,1.3923611111111098,1.336805555555555,1,0.7756680731364279,12,4
1.0,1,1,312,80,404,200,77,4,190,281,850,4,102,4.214285714285709,2.7619047619047596,7,0.6141176470588238,201,17
