COMM,ADEV,Added_lines,CountClassCoupled,CountLineCodeExe,MAJOR_COMMIT,Del_lines,CountLine,DDEV,OWN_LINE,CountSemicolon,CountLineCode,CountLineBlank,CountLineCodeDecl,CountStmt,RatioCommentToCode,AvgLine,CountStmtDecl,CountStmtExe,CountOutput_Mean
1,1,5,11,152,1,0,336,1,0.94047619047619,132,198,40,76,151,0.49,22,71,80,5.07692307692308
2,2,17,11,175,1,327,320,1,0.9409087583229676,173,244,43,84,191,0.1306666666666667,23,76,114,7.376719576719579
5,5,114,12,343,4,70,827,4,0.9015745656370648,281,527,71,172,403,0.5157142857142856,30,161,241,5.7960526315789505
6,6,322,10,441,2,185,806,2,0.6964405704046585,324,670,103,171,451,0.07,17,146,304,5.672213622291023
1,1,5,4,35,1,0,116,1,0.9310659186535768,42,76,21,39,53,0.2475,4,33,19,3.3874999999999993
6,6,58,12,167,4,16,346,4,0.760115606936416,172,230,37,48,198,0.3399999999999999,137,43,155,7.5
1,1,2017,22,4394,1,866,9624,1,0.7633136094674555,3382,7699,1243,1863,5216,0.0763157894736842,7,1619,3597,2.9141531639412475
0,0,0,5,18,0,0,76,0,0.993548387096774,24,38,9,25,29,0.7606666666666664,20,21,8,8.233333333333333
0,0,0,7,599,0,0,1258,0,0.5035856573705181,444,1152,86,354,690,0.0199999999999999,6,226,464,3.3291139240506302
2,2,284,7,846,1,195,1673,1,0.7753229268850442,675,1478,130,381,990,0.0717391304347826,10,303,686,4.0526149968494
15,15,271,19,209,6,135,557,6,0.2944344703770199,171,345,79,107,242,0.4,19,87,155,6.30434782608696
1,1,41,9,123,1,9,274,1,0.9425473574045006,122,204,23,84,153,0.2265384615384615,17,76,76,6.084188034188033
1,1,5,4,37,1,0,109,1,0.9082568807339448,40,60,18,27,46,0.5199999999999999,17,22,24,7.75
1,1,4,0,1,1,0,32,1,0.8824286824286819,4,8,2,5,5,2.470769230769231,2,4,1,1.4188034188034175
1,1,2,1,6,1,0,48,1,1.0,10,21,7,11,15,0.9499999999999996,3,10,5,2.0
0,0,0,2,21,0,0,136,0,0.8925538525269257,37,89,21,53,57,0.2885714285714287,3,39,17,1.4841269841269806
1,1,5,5,42,1,0,124,1,0.935483870967742,44,84,21,43,55,0.23,4,36,19,4.0
3,3,516,16,102,2,1,262,2,0.9961832061068698,128,206,32,94,168,0.12,8,90,78,4.473684210526321
3,3,366,2,56,2,4,180,2,1.0,60,111,28,46,81,0.3899999999999999,7,43,38,2.358333333333332
1,1,4,2,4,1,1,102,1,0.9175857377690524,13,22,11,16,16,3.647794117647057,7,14,2,1.5412815126050414
0,0,1,6,39,0,0,183,0,0.991969009826152,49,84,11,41,64,1.032142857142857,16,36,28,3.6047619047619026
1,1,693,3,219,1,0,693,1,1.0,212,383,71,126,295,0.6199999999999998,9,120,175,3.039999999999999
2,2,20,12,277,1,403,551,1,0.9624631977989992,229,418,59,119,305,0.2126315789473683,26,107,198,8.353383458646615
7,7,341,22,907,3,56,1678,3,0.625957302910957,627,1276,157,446,814,0.2096551724137931,34,265,548,7.601346261769657
5,5,378,15,194,1,13,364,1,0.9643835616438357,187,289,28,104,250,0.1699999999999999,17,111,139,6.3125
6,6,100,5,543,4,17,1655,4,0.6090634441087611,468,894,148,287,672,0.6899999999999997,14,275,397,2.424242424242419
4,4,12,1,38,3,9,113,3,0.903508771929825,30,61,7,19,44,0.75,17,19,25,3.0
5,5,67,19,307,2,11,612,2,0.7308759830639401,268,437,69,138,330,0.2432558139534885,22,129,200,8.364569083447341
3,3,74,6,50,2,24,210,2,0.8669628871911258,53,112,29,45,74,0.624285714285714,7,37,36,2.308270676691729
0,0,2,1,2,0,0,46,0,0.7498897279322356,5,13,5,8,8,2.496874999999999,5,6,1,1.6493055555555576
8,8,1601,7,290,3,507,546,3,1.0,185,397,63,98,240,0.23,35,74,166,5.9375
9,9,116,7,209,4,27,670,4,0.5264957236354348,190,356,50,112,268,0.7499999999999997,10,109,159,4.034138655462178
4,4,606,3,348,2,220,702,2,0.3632478632478629,272,576,94,134,404,0.08,9,118,286,3.05263157894737
1,1,142,3,145,1,61,385,1,0.874031007751938,127,294,61,93,201,0.11,6,84,117,2.261913229018493
1,1,4,3,12,1,0,58,1,0.8934751842130182,17,29,7,18,21,0.7624175824175818,9,14,6,5.323260073260071
1,1,65,17,348,1,32,725,1,1.0,279,565,68,153,382,0.1771428571428571,11,124,257,4.96047379098227
4,4,51,9,272,2,46,1012,2,0.6961323698396933,221,462,79,160,315,1.0676470588235292,19,130,184,5.003389915381091
1,1,5,4,45,1,0,104,1,0.980769230769231,51,75,12,50,58,0.23,9,40,18,5.166666666666671
1,1,5,0,4,1,0,49,1,0.8682711807509651,7,14,4,8,10,2.1038461538461517,5,7,3,1.3290598290598297
1,1,166,0,34,1,0,166,1,1.0,38,70,20,29,55,1.09,10,30,25,2.27272727272727
1,1,93,3,30,1,0,90,1,1.0,38,58,11,38,45,0.3361538461538459,11,31,13,4.184615384615387
1,1,0,5,62,1,164,164,1,1.0,50,116,12,45,74,0.31,13,36,38,6.0
3,3,16,2,21,2,2,94,2,0.6004407590019425,26,54,14,25,39,0.4913333333333331,4,23,16,2.3333333333333295
2,2,37,5,159,0,35,307,0,0.7339897039897041,165,225,40,56,198,0.164,81,59,139,20.000000000000018
2,2,14,3,54,2,9,136,2,0.7352941176470592,55,88,18,35,71,0.3399999999999999,26,35,36,6.5
2,2,327,0,0,1,63,264,1,1.0,1,1,16,1,1,247.0,0,1,0,0.0
1,1,177,4,433,0,61,885,0,0.8112204895896856,348,747,84,185,511,0.0861538461538461,7,156,354,3.3429217840982557
0,0,0,5,703,0,0,1425,0,0.5137034434293747,550,1297,96,401,821,0.02,6,282,539,3.25
3,3,67,3,91,1,3,227,1,0.709251101321586,76,155,19,50,107,0.3399999999999999,20,48,59,7.0
8,8,532,1,0,3,169,160,3,1.0,20,30,15,28,22,3.8299999999999983,7,22,0,0.7692307692307687
7,7,680,6,117,3,71,305,3,1.0,104,190,44,72,130,0.37,19,64,66,5.444444444444442
4,4,154,24,433,2,6,789,2,0.7885540916700343,429,561,101,156,493,0.2266666666666667,45,154,338,15.041666666666666
2,2,10,1,54,2,0,179,2,0.5195530726256979,60,129,27,54,85,0.19,4,36,49,2.33333333333333
6,6,1182,6,162,2,418,372,2,1.0,135,258,38,109,178,0.2936000000000001,22,96,82,6.939393939393932
1,1,10,1,15,1,1,110,1,0.8891417468492566,18,38,10,17,27,1.631086956521738,8,15,11,2.725879917184265
1,1,2,3,225,1,0,401,1,1.0,165,338,31,72,238,0.0899999999999999,12,66,172,3.34615384615385
