Del_lines,COMM,ADEV,CountLineCodeExe,DDEV,Added_lines,MAJOR_COMMIT,CountLineCode,CountOutput_Max,CountSemicolon,CountLineCodeDecl,CountStmtExe,CountLine,OWN_LINE,CountStmt,CountLineBlank,OWN_COMMIT,CountStmtDecl,CountOutput_Mean,CountInput_Mean
0,1,1,0,1,33,1,13,1,11,12,0,33,1.0,12,9,1.0,12,1.0,4.77777777777778
0,0,0,3,0,0,0,12,1,4,6,2,17,1.0,8,5,0.0,6,1.0,0.3333333333333326
1,0,0,6,0,1,0,27,3,14,14,6,79,0.5074002432093551,20,8,0.5918367346938775,14,1.8979591836734684,3.697959183673469
4,1,1,5,1,4,1,21,3,11,11,5,77,0.4994588744588744,16,7,1.0,11,1.8124999999999996,3.9166666666666665
0,0,0,3,0,0,0,11,2,6,6,3,17,1.0,9,6,0.0,6,1.5,2.5
1461,4,4,1807,1,1473,1,2620,174,1192,672,1016,3130,0.7739881666952503,1280,66,0.8142857142857146,264,12.297555385790652,4.730519480519482
177,24,24,545,5,420,4,803,26,455,220,391,1042,0.3646833013435699,623,101,0.4166666666666669,232,9.5625,4.395833333333329
2706,6,6,3066,1,4687,1,3133,6,1450,53,1429,3878,0.9805645312871644,1481,713,0.761764705882353,51,1.892301038062284,1.1163101604278056
10,5,5,12,4,12,4,32,4,15,15,9,69,0.942028985507246,22,10,0.4000000000000001,13,2.5,3.5
1269,25,25,551,2,1995,2,718,49,440,170,378,999,0.92992992992993,543,133,0.9200000000000002,165,9.428571428571429,8.142857142857139
11,3,3,108,2,290,2,170,13,95,40,89,279,0.9964157706093189,130,36,0.6666666666666673,41,3.388888888888891,4.388888888888889
21,7,7,48,1,38,1,89,13,51,24,48,143,0.9860139860139864,68,18,1.0,20,5.5,5.25
0,0,0,2,0,0,0,7,1,3,4,1,9,0.7777777777777782,5,2,0.0,4,1.0,7.0
0,1,1,0,1,12,1,13,1,11,12,0,14,0.935483870967743,12,1,0.4516129032258063,12,0.97926267281106,1.0138248847926263
17,6,6,11,1,19,1,27,8,11,13,5,68,0.7647058823529407,17,7,1.0,12,3.799999999999999,3.2000000000000006
