CountLineCodeDecl,CountStmtDecl,CountStmt,CountSemicolon,CountOutput_Max,Added_lines,CountLineCode,CountLineBlank,CountLineCodeExe,CountLine,Del_lines,CountPath_Mean,CountInput_Mean,COMM,CountPath_Max,CountDeclMethodProtected,CountOutput_Mean,OWN_LINE,RatioCommentToCode,OWN_COMMIT
15,15,24,17,3,95,40,9,13,94,1,1.077365491651206,1.498948670377242,1,1,1,2.035930735930737,0.938657541978766,1.1486363636363643,0.8896103896103895
10,10,12,9,3,74,15,6,2,37,0,1.0,0.5,2,1,1,2.5,0.4324324324324318,1.07,0.5
114,119,312,220,23,1516,503,52,249,746,5,809.256107036594,4.03532510849584,3,29103,1,3.1733469782250268,0.6267979987492177,0.3843589743589741,0.3931623931623926
44,45,117,64,8,1200,229,54,81,499,193,1.7741935483870996,5.7741935483871005,10,8,0,3.1612903225806495,0.81563126252505,0.9399999999999996,0.4000000000000001
12,12,17,10,2,184,31,9,6,92,0,1.0,1.3333333333333293,2,1,1,1.6666666666666703,0.6521739130434779,1.6799999999999995,0.5
4,4,4,3,0,77,6,2,0,38,0,1.0,0.925531914893617,2,1,0,0.5,0.5150636561064554,5.017765957446803,0.4875886524822695
132,125,404,263,15,2523,810,85,395,1243,35,64.91176470588229,5.411764705882349,13,2052,4,5.147058823529408,0.35076427996782,0.4299999999999999,0.2307692307692309
5,5,5,4,1,120,7,3,0,60,0,1.0,1.7941176470588236,2,1,0,0.6029411764705881,0.8094719515844773,7.20147058823529,0.5
36,36,81,47,7,832,159,32,54,415,0,1.516233766233766,3.7760309865573034,2,6,0,2.893227386648437,0.9440603295626488,1.4080263157894737,0.4320175438596487
15,15,24,16,4,255,40,10,12,127,0,1.5649606299212602,2.6377952755905514,2,2,0,2.9370078740157504,0.7759733659002201,1.9414173228346503,0.4658792650918638
74,73,171,100,4,2088,344,43,134,1044,0,2.4705882352941213,2.0882352941176507,2,12,0,2.294117647058819,0.6331417624521068,1.9099999999999984,0.5
26,26,47,33,6,456,79,33,25,226,2,1.1056338028169022,2.3706572769953063,3,1,0,2.4546948356807494,0.7631847294450969,1.4654929577464777,0.3849765258215957
124,123,386,245,7,3656,674,83,324,1827,0,4.035714285714291,8.303571428571434,2,21,0,2.9821428571428603,0.931072210065646,1.5900000000000007,0.5
47,53,110,89,17,557,150,35,81,275,273,43.54666666666666,6.093333333333333,4,121,1,8.946666666666665,0.8387275392955782,0.6823999999999998,0.5
43,42,93,67,5,753,163,41,80,375,3,3.7142857142857086,3.5,3,32,0,2.7142857142857086,0.5306666666666668,1.0500000000000005,0.6666666666666673
5,5,7,5,3,80,11,4,2,40,0,1.0,0.2077922077922078,2,1,0,3.272727272727273,0.680066275188226,2.1966233766233767,0.4935064935064935
20,24,39,30,8,1812,64,17,25,146,910,1.1428571428571397,1.5714285714285698,10,2,2,3.1428571428571397,0.7808219178082186,1.0199999999999996,0.2999999999999999
5,5,6,3,1,85,12,3,1,42,0,0.9999999999999996,1.1301369863013695,2,0,0,1.3378995433789953,0.5777435541594546,2.1742465753424627,0.4939117199391169
4,4,5,3,2,78,9,4,2,39,0,1.0,2.0,2,1,0,2.0,0.7450360245814792,2.5591735537190075,0.4696969696969698
