Added_lines,Del_lines,ADEV,COMM,OWN_COMMIT,CountClassCoupled,CountInput_Mean,MAJOR_COMMIT,CountPath_Mean,CountOutput_Mean,DDEV,CountStmtExe,MaxNesting_Mean,CountPath_Max,CountLineCode,CountStmt,CountLineCodeExe,CountOutput_Max,MaxCyclomaticModified,AvgLineCode
63,48,6,6,1.0,7,2.57142857142857,1,2.28571428571429,4.71428571428571,1,24,1.22222222222222,5,69,54,39,8,4,8
14,35,1,1,1.0,2,6.4,1,1.4,2.1,1,15,1.15384615384615,3,46,36,18,8,3,3
272,271,3,3,0.666666666666667,3,2.875,2,3.875,4.125,2,58,2.1,7,100,93,64,9,7,11
61,1,2,2,1.0,5,2.6,1,1.6,3.0,1,13,0.625,2,47,34,27,6,2,9
0,0,0,0,0.0,3,4.75,0,1.0,2.0,0,5,0.0,1,17,12,5,3,1,3
1552,562,48,48,0.520833333333333,96,6.12669683257919,3,9.38009049773756,7.59276018099547,3,1856,0.870967741935484,390,3538,2763,2715,45,18,15
25,5,3,3,1.0,2,2.33333333333333,1,1.33333333333333,2.33333333333333,1,5,0.6,2,16,11,6,3,2,4
533,480,15,15,0.733333333333333,19,3.0,3,2.75,4.8125,3,84,1.5,13,201,153,122,17,10,11
342,404,19,19,0.421052631578947,24,3.85714285714286,4,1.98901098901099,3.24175824175824,4,249,0.473118279569892,18,505,400,266,10,9,5
230,91,9,9,0.555555555555556,3,3.23809523809524,3,2.19047619047619,5.52380952380952,3,97,0.583333333333333,13,230,177,132,16,8,9
123,22,3,3,1.0,7,4.2,1,1.4,3.1,1,21,0.666666666666667,4,63,44,26,7,4,4
47,5,3,3,1.0,2,3.0,1,1.33333333333333,2.33333333333333,1,5,0.6,2,16,11,6,3,2,4
393,91,8,8,0.625,33,5.125,2,119.5,10.125,2,92,1.36363636363636,936,319,181,263,47,13,36
29,7,14,14,0.571428571428571,56,2.0,4,1.0,4.0,4,57,0.0,1,88,86,58,4,1,60
70,10,4,4,1.0,6,5.75,1,2.25,4.0,1,14,1.33333333333333,4,35,24,18,8,4,7
5972,2225,139,139,0.733812949640288,80,2.47551342812006,4,2.0347551342812,3.46287519747235,8,2040,0.638036809815951,30,4483,3401,2718,20,21,7
168,163,4,4,0.5,9,4.05263157894737,3,1.89473684210526,3.78947368421053,3,65,1.04,8,167,128,89,13,6,7
47,5,3,3,1.0,3,2.66666666666667,1,1.33333333333333,2.33333333333333,1,5,0.6,2,18,13,6,3,2,4
180,152,14,14,0.857142857142857,2,1.0,2,1.5,2.5,2,5,0.75,2,19,15,5,4,2,5
60,22,6,6,0.666666666666667,6,15.875,2,2.91666666666667,3.41666666666667,2,98,0.961538461538462,15,218,162,125,9,7,8
0,0,0,0,0.0,1,0.0,0,1.0,2.0,0,5,0.0,1,11,9,5,2,1,7
61,1,2,2,1.0,5,2.6,1,1.6,3.0,1,13,0.625,2,47,34,27,6,2,9
119,27,2,2,0.5,7,3.66666666666667,2,2.0,4.16666666666667,2,24,0.625,4,59,48,32,9,4,7
271,51,13,13,1.0,13,10.4736842105263,1,2.21052631578947,4.05263157894737,1,63,1.03846153846154,5,160,99,85,7,5,7
294,63,8,8,1.0,11,5.61904761904762,1,2.33333333333333,3.76190476190476,1,73,1.14285714285714,5,176,111,95,7,5,7
30,7,2,2,1.0,18,3.09090909090909,1,2.90909090909091,5.0,1,34,0.615384615384615,18,95,71,50,18,6,7
47,5,3,3,1.0,2,4.0,1,1.33333333333333,2.66666666666667,1,5,0.6,2,16,11,6,4,2,4
1435,1376,18,18,0.777777777777778,21,4.35483870967742,4,16.5161290322581,6.51612903225806,4,272,1.67647058823529,241,493,411,355,23,12,15
1111,573,9,9,1.0,24,3.69767441860465,1,3.30232558139535,3.51162790697674,1,210,1.05882352941176,36,420,349,267,20,18,8
40,8,3,3,1.0,4,4.0,1,1.33333333333333,3.33333333333333,1,6,0.6,2,20,14,8,4,2,4
146,245,4,4,0.5,19,5.0,3,3.06666666666667,6.33333333333333,3,80,1.27777777777778,13,173,131,110,18,13,10
244,90,21,21,0.380952380952381,92,8.34782608695652,3,34.9304347826087,8.34782608695652,4,1015,1.05084745762712,2560,2118,1590,1624,44,17,18
169,151,8,8,0.875,7,3.39130434782609,2,2.65217391304348,4.65217391304348,2,100,0.964285714285714,12,239,175,145,14,7,11
711,499,19,19,0.578947368421053,37,4.18367346938776,3,12.3061224489796,7.08163265306122,3,358,1.03174603174603,257,773,593,567,39,13,17
32,5,3,3,1.0,2,4.0,1,1.33333333333333,2.33333333333333,1,5,0.6,2,16,11,6,3,2,4
23,20,2,2,1.0,2,5.0,1,1.6875,1.25,1,34,0.444444444444444,9,105,72,59,3,3,5
45,30,5,5,1.0,2,1.66666666666667,1,1.33333333333333,4.66666666666667,1,17,0.6,2,41,38,24,8,2,9
28,16,4,4,0.75,6,3.70833333333333,2,21.1666666666667,3.41666666666667,2,130,1.2962962962963,416,260,199,161,11,11,11
1347,977,27,27,0.777777777777778,15,4.675,2,2.2,4.325,4,144,0.777777777777778,15,328,262,202,20,6,7
61,1,2,2,1.0,5,2.6,1,1.6,2.6,1,13,0.625,2,47,34,27,5,2,9
30,43,2,2,0.5,26,3.75862068965517,2,70.3793103448276,6.51724137931035,2,205,0.96875,1951,355,317,242,23,17,11
127,23,5,5,1.0,7,4.44444444444444,1,1.44444444444444,3.22222222222222,1,18,0.769230769230769,4,54,35,22,7,4,4
0,0,0,0,0.0,5,2.60869565217391,0,2.15217391304348,3.95652173913043,0,146,0.862745098039216,8,324,246,175,13,7,6
104,79,9,9,0.777777777777778,24,3.72151898734177,3,2.91139240506329,4.27848101265823,3,326,0.988636363636364,21,703,544,433,15,8,9
229,185,4,4,1.0,2,4.0,1,2.0,3.0,1,5,1.0,2,13,12,5,3,2,7
25,8,5,5,0.8,4,4.45,2,1.0,1.65,2,23,0.0,1,78,53,24,5,1,3
212,33,5,5,0.8,5,3.18518518518519,2,3.33333333333333,3.62962962962963,2,130,0.966666666666667,32,250,188,153,14,6,8
458,100,14,14,0.642857142857143,16,4.19230769230769,2,3.42307692307692,5.76923076923077,2,141,1.06896551724138,16,281,262,192,25,7,10
0,0,0,0,0.0,3,2.66666666666667,0,12.0,7.0,0,22,2.0,33,45,37,27,14,8,13
61,1,2,2,1.0,5,2.6,1,1.6,3.0,1,13,0.625,2,47,34,27,6,2,9
471,397,7,7,0.428571428571429,8,4.0,3,38.2,10.8,3,71,2.71428571428571,144,141,119,96,18,12,24
930,272,14,14,1.0,26,4.30379746835443,1,1.63291139240506,3.45569620253165,1,211,0.684782608695652,4,505,354,262,10,4,5
1354,808,51,51,0.470588235294118,77,4.53631284916201,3,42.1675977653631,4.7877094972067,3,1125,1.04878048780488,2739,2310,1806,1586,26,41,13
3,1,3,3,0.666666666666667,6,5.19047619047619,2,1.04761904761905,1.9047619047619,2,32,0.130434782608696,2,100,68,44,7,2,4
61,1,2,2,1.0,5,2.6,1,1.6,3.0,1,13,0.625,2,47,34,27,6,2,9
146,0,2,2,1.0,4,2.14285714285714,1,1.14285714285714,3.71428571428571,1,16,0.3,2,47,37,23,6,2,4
0,0,0,0,0.0,3,0.0,0,2.0,10.0,0,5,1.0,2,14,13,7,10,2,9
156,46,10,10,0.6,7,1.025,3,3.15,1.95,3,66,0.238095238095238,84,136,133,83,16,10,3
0,0,0,0,0.0,0,1.0,0,1.0,0.0,0,0,0.0,1,5,4,0,0,1,1
0,0,0,0,0.0,6,2.22222222222222,0,1.33333333333333,1.66666666666667,0,18,0.454545454545455,2,52,37,22,4,2,4
0,0,0,0,0.0,1,2.0,0,1.0,0.0045454545454545,0,0,0.0,1,228,227,4,1,1,1
8,2,1,1,1.0,1,9.5,1,1.875,2.375,1,20,0.7,4,50,34,23,4,3,5
16,126,2,2,1.0,2,3.4,1,1076.2,4.6,1,57,1.42857142857143,5376,97,76,70,15,22,18
62,0,1,1,1.0,1,3.75,1,1.75,2.5,1,10,0.666666666666667,3,35,20,19,4,3,7
2,2,2,2,0.5,1,0.0,2,1.0,2.0,2,1,0.0,1,7,5,1,2,1,3
5,10,2,2,1.0,3,2.125,1,1.375,2.375,1,13,0.3,4,42,29,16,4,4,4
0,0,0,0,0.0,8,2.33333333333333,0,4.75,4.08333333333333,0,56,1.14285714285714,21,124,108,70,10,7,8
0,0,0,0,0.0,0,0.0,0,1.0,1.0,0,1,0.25,1,7,5,1,1,1,3
1,1,1,1,1.0,1,4.0,1,2.36363636363636,7.45454545454545,1,80,0.9375,5,157,129,109,22,4,12
405,137,16,16,0.5625,13,5.42857142857143,3,3.47619047619048,6.47619047619048,3,131,1.73913043478261,12,280,225,175,17,5,12
0,0,0,0,0.0,3,1.66666666666667,0,1.33333333333333,2.66666666666667,0,15,0.6,2,34,30,23,3,2,10
1,1,1,1,1.0,1,3.56521739130435,1,2.30434782608696,3.30434782608696,1,97,0.961538461538462,8,208,178,134,9,8,8
0,0,0,0,0.0,3,0.0,0,1.0,0.5,0,0,0.0,1,14,13,0,1,1,1
7,1,1,1,1.0,1,3.125,1,2.0625,1.6875,1,49,0.5,9,128,84,64,6,9,6
0,0,0,0,0.0,4,2.8,0,1.0,2.6,0,6,0.0,1,22,16,7,7,1,3
3,3,1,1,1.0,21,2.4375,1,1.5625,4.875,1,43,0.555555555555556,6,108,93,52,11,5,5
0,0,0,0,0.0,4,2.85714285714286,0,1.0,1.42857142857143,0,8,0.2,1,31,23,8,3,1,3
75,9,8,8,0.75,3,1.0,2,1.0,0.25,2,0,0.0,1,9,8,0,1,1,1
0,0,0,0,0.0,1,5.28571428571429,0,2.28571428571429,3.14285714285714,0,43,0.666666666666667,5,81,66,49,9,6,10
0,0,0,0,0.0,1,2.0,0,6.5,8.5,0,15,3.25,10,43,35,22,11,6,16
6,6,2,2,0.5,6,3.2,2,2.35,3.95,2,85,0.923076923076923,11,206,143,118,12,8,8
0,0,0,0,0.0,1,5.0,0,1.0,2.0,0,2,0.0,1,10,7,2,2,1,3
0,0,0,0,0.0,1,2.0,0,2.0,4.0,0,4,1.0,2,15,10,6,4,2,10
3,3,1,1,1.0,31,5.0,1,1.33333333333333,2.66666666666667,1,59,0.344827586206897,6,152,128,70,10,5,4
1,1,1,1,1.0,0,2.0,1,1.0,3.0,1,1,0.0,1,6,4,1,3,1,3
