Added_lines,Del_lines,COMM,OWN_COMMIT,ADEV,AvgLine,CountClassCoupled,OWN_LINE,CountLineCodeExe,CountStmt,CountSemicolon,CountOutput_Max,CountOutput_Mean,CountStmtDecl,CountLine,CountLineCode,RatioCommentToCode,CountLineCodeDecl,AvgLineCode,CountStmtExe
76,17,5,0.8,5,11,15,0.960674157303371,58,83,66,24,5.25,50,178,124,0.27,68,10,33
66,0,2,0.5,2,14,2,0.742424242424242,13,23,20,7,6.0,15,66,29,1.07,18,8,8
99,0,1,1.0,1,53,7,1.0,25,44,37,19,19.0,27,99,49,0.69,28,29,17
12,6,3,0.666666666666667,3,15,5,0.920634920634921,36,44,33,7,4.2,28,126,66,0.67,32,10,16
25,8,7,0.571428571428571,7,21,17,0.924657534246575,67,85,75,36,11.25,47,146,108,0.21,53,19,38
99,55,12,0.5,12,24,19,0.548523206751055,183,187,133,41,7.5625,69,474,298,0.49,97,16,118
264,1,2,1.0,2,18,19,1.0,100,141,117,38,8.0,73,261,177,0.29,84,14,68
10,4,4,0.5,4,21,17,0.838150289017341,59,86,80,27,10.25,43,173,108,0.37,50,14,43
97,49,15,0.8,15,17,22,0.694029850746269,110,129,107,26,8.7,77,268,182,0.27,92,13,52
52,32,14,0.571428571428571,14,22,22,0.919137466307278,168,192,164,23,8.8,118,371,263,0.22,144,17,74
62,61,7,0.285714285714286,7,22,26,0.410488245931284,275,290,239,60,8.90476190476191,108,553,375,0.27,104,15,182
1323,639,61,0.295081967213115,61,15,78,0.571347678369196,702,815,573,50,5.58510638297872,302,1766,1210,0.32,389,11,513
43,5,4,0.75,4,15,25,0.417633410672854,192,235,190,25,8.2,118,431,322,0.16,142,13,117
112,39,10,0.8,10,10,22,0.962616822429907,191,241,189,34,3.95,146,535,375,0.27,202,7,95
8,6,2,1.0,2,6,0,0.6875,0,6,5,1,1.0,6,47,6,6.5,6,1,0
10,10,3,0.666666666666667,3,24,10,0.96218487394958,110,135,123,20,10.5714285714286,65,238,157,0.28,69,18,70
3,0,1,1.0,1,0,0,1.0,0,2,2,1,1.0,2,29,6,3.17,5,0,0
34,16,4,0.75,4,13,7,0.84070796460177,52,65,59,19,4.6,25,113,82,0.23,32,13,40
235,1215,4,0.75,4,17,26,0.804003336113428,656,684,589,31,4.93421052631579,275,1199,914,0.13,316,14,409
403,174,15,0.466666666666667,15,16,14,0.80276134122288,277,311,273,19,8.28,119,507,399,0.1,141,13,192
20,14,3,0.333333333333333,3,25,14,0.891608391608392,125,149,118,18,9.5,70,286,206,0.28,81,20,79
603,253,11,0.454545454545455,11,13,9,0.398479913137894,301,358,259,34,4.37254901960784,138,921,488,0.72,156,8,220
50,41,10,0.4,10,18,21,0.722433460076046,215,247,181,23,6.91304347826087,95,526,348,0.41,104,13,152
260,120,15,0.533333333333333,15,20,21,0.824304538799414,618,660,468,39,6.37037037037037,259,1366,952,0.32,300,15,401
45,23,5,0.4,5,22,20,0.853960396039604,348,394,290,32,7.31034482758621,144,808,564,0.35,152,17,250
89,632,9,0.444444444444444,9,9,20,0.384984025559105,1,82,81,1,0.708333333333333,82,626,131,3.36,130,1,0
295,208,6,0.666666666666667,6,19,22,0.470588235294118,204,254,222,16,6.10526315789474,98,459,310,0.29,115,13,156
26,15,6,0.666666666666667,6,17,18,0.493288590604027,128,143,124,19,5.75,76,298,199,0.27,94,12,67
16,5,5,0.6,5,16,21,0.948012232415902,110,154,110,17,5.73333333333333,77,327,206,0.51,93,11,77
251,47,8,0.5,8,19,14,0.5,125,150,128,15,6.90909090909091,75,302,198,0.4,92,14,75
8,2,5,0.6,5,56,37,0.986973947895792,628,483,432,32,12.2,173,998,772,0.19,346,45,310
6,1,2,0.5,2,17,8,0.911764705882353,34,45,41,18,6.66666666666667,23,102,60,0.48,30,12,22
1289,734,25,0.36,25,18,46,0.578804347826087,766,808,523,42,5.17647058823529,306,1840,1291,0.31,390,14,502
65,30,6,0.5,6,14,3,0.755555555555556,74,82,51,7,3.90909090909091,27,225,129,0.61,33,10,55
290,2,2,0.5,2,26,14,1.0,117,153,131,25,8.14285714285714,88,288,196,0.32,102,19,65
5,0,1,1.0,1,34,21,0.98046875,122,160,140,22,13.0,70,256,182,0.2,72,26,90
5,0,1,1.0,1,8,2,1.0,8,14,7,3,1.6,8,75,22,2.09,8,3,6
99,2,7,0.285714285714286,7,20,9,0.561926605504587,253,253,214,11,5.61111111111111,127,436,329,0.21,148,16,126
596,324,17,0.588235294117647,17,17,14,0.532258064516129,220,267,239,25,6.36,119,558,320,0.5,140,10,148
130,106,6,0.666666666666667,6,15,16,0.462897526501767,134,157,134,38,6.69230769230769,93,283,214,0.15,108,13,64
168,7,2,0.5,2,19,5,0.75968992248062,50,68,59,17,11.0,40,129,81,0.3,43,15,28
100,56,11,0.636363636363636,11,27,20,0.736526946107784,153,173,149,56,9.77777777777778,97,334,221,0.24,113,19,76
37,9,6,0.666666666666667,6,8,15,0.705547652916074,218,281,183,30,3.20689655172414,135,703,457,0.36,184,6,146
25,9,6,0.5,6,20,15,0.47008547008547,95,122,93,24,7.875,54,234,156,0.33,56,15,68
5,0,1,1.0,1,12,3,0.714285714285714,39,52,44,5,4.33333333333333,34,112,70,0.4,37,10,18
87,20,5,1.0,5,25,9,0.993197278911565,29,41,30,16,8.0,22,146,61,1.3,28,12,19
108,11,7,0.571428571428571,7,19,10,0.4625,84,84,77,14,9.0,29,160,109,0.26,34,16,55
17,3,4,0.75,4,19,20,0.972451790633609,160,194,164,21,8.78571428571429,105,363,256,0.32,131,15,89
342,337,15,0.466666666666667,15,119,28,0.75219512195122,461,474,417,77,24.625,163,1025,557,0.59,168,65,311
18,14,9,0.666666666666667,9,12,16,0.693333333333333,55,77,66,34,7.0,45,150,108,0.2,56,11,32
40,18,5,0.4,5,16,5,1.0,80,102,74,12,4.88888888888889,50,256,142,0.7,55,12,52
208,2,2,0.5,2,19,11,0.985436893203884,71,81,68,12,7.85714285714286,37,206,118,0.47,52,12,44
36,3,5,0.8,5,20,20,0.954954954954955,162,186,156,29,11.75,93,333,234,0.29,101,16,93
800,483,44,0.454545454545455,44,20,52,0.420120898100173,941,977,697,61,7.34408602150538,389,2316,1454,0.46,446,14,588
547,203,12,0.833333333333333,12,14,11,0.726363636363636,379,459,309,21,4.67241379310345,180,1100,682,0.51,212,9,279
1386,541,52,0.403846153846154,52,19,45,0.737559241706161,1408,1409,919,41,5.65771812080537,467,3376,2174,0.45,550,13,942
2476,1973,22,0.318181818181818,22,35,67,0.699615595826469,2267,2374,2054,31,13.1789473684211,1014,3642,2802,0.14,1010,28,1360
169,169,2,0.5,2,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0
66,6,3,0.666666666666667,3,8,1,0.866666666666667,16,19,12,4,2.0,11,60,30,0.77,13,7,8
