CountLineCodeExe,CountLineCode,CountStmt,CountStmtExe,CountSemicolon,RatioCommentToCode,CountLine,MaxNesting_Mean,CountPath_Mean,SumCyclomatic,OWN_LINE,CountLineComment,CountLineCodeDecl,CountStmtDecl,SumCyclomaticStrict,CountPath_Max,CountLineBlank,CountInput_Mean,OWN_COMMIT,CountInput_Max
35,53,35,13,31,0.57,98,0.75,1.5,3,0.683673469387755,30,27,22,3,2,15,4.5,0.0,7
307,425,287,158,236,0.1,568,0.782608695652174,2.04761904761905,39,0.508802816901408,41,165,129,39,8,103,5.85714285714286,0.0,14
31,116,90,31,59,0.09,170,0.36,1.47368421052632,28,0.523529411764706,10,63,59,28,7,39,2.63157894736842,0.0,16
220,678,253,144,175,0.29,975,0.428571428571429,1.55769230769231,72,0.241025641025641,194,452,109,72,16,127,9.82692307692308,0.357142857142857,62
1313,1802,1284,774,1016,0.12,2229,1.78571428571429,42.134328358209,333,0.380439659039928,218,581,510,343,1944,213,8.74626865671642,0.625,60
15,34,18,9,14,0.35,53,0.428571428571429,1.6,10,0.962264150943396,12,14,9,10,6,7,2.0,0.0,7
2531,4719,3172,2059,1937,0.08,6021,0.551181102362205,1.88372093023256,1204,0.325195150307258,374,1239,1113,1270,13,981,1.92005813953488,0.0,13
336,765,449,254,284,0.44,1221,0.520833333333333,6.16129032258065,158,0.238329238329238,338,306,195,164,400,118,5.35483870967742,0.714285714285714,19
241,307,230,163,200,0.14,385,1.27272727272727,7.66666666666667,28,0.592207792207792,44,69,67,28,33,35,5.22222222222222,0.5,16
18,39,27,13,20,0.79,80,0.6,3.33333333333333,6,1.0,31,15,14,6,8,10,3.0,1.0,6
313,520,355,255,226,0.07,624,0.716981132075472,10.76,143,0.3125,39,107,100,159,250,78,3.56,0.0,13
470,710,480,292,337,0.3,1004,1.3953488372093,318.076923076923,135,0.329681274900398,211,206,188,150,11520,85,4.97435897435897,0.6,19
30,73,45,20,29,0.29,111,0.333333333333333,1.5,15,0.351351351351351,21,33,25,15,4,17,4.5,0.0,14
