CountLineCodeDecl,CountPath_Mean,CountStmtDecl,CountLineCode,CountStmt,Added_lines,CountSemicolon,CountLine,CountLineBlank,Del_lines,MaxNesting_Mean,OWN_COMMIT,CountOutput_Max,OWN_LINE,CountInput_Mean,CountLineCodeExe,CountOutput_Mean,CountClassCoupled,CountStmtExe,RatioCommentToCode
44,2.36363636363636,38,161,90,970,67,383,35,233,0.714285714285714,0.285714285714286,14,0.475195822454308,4.45454545454545,72,4.09090909090909,10,52,1.16
48,7.18181818181818,48,370,185,1031,128,513,24,3,2.69230769230769,0.666666666666667,17,0.503891050583658,5.0,204,6.54545454545455,6,137,0.32
25,4.66666666666667,28,77,53,288,45,142,21,4,1.0,0.2,28,0.485915492957746,0.666666666666667,38,10.3333333333333,12,25,0.57
166,7.6875,155,578,333,2546,237,1033,92,359,1.2972972972973,0.346153846153846,23,0.348499515972894,3.3125,283,6.15625,29,178,0.63
23,2.5,21,71,47,233,42,113,15,7,0.75,0.333333333333333,23,0.761061946902655,1.5,45,12.5,15,26,0.38
43,2.7,45,136,89,421,63,209,29,3,1.5,0.5,12,0.937799043062201,2.2,62,5.3,5,44,0.32
54,1.1304347826087,57,153,94,691,67,341,34,9,0.25,0.333333333333333,7,0.392961876832845,2.91304347826087,52,2.73913043478261,6,37,1.01
50,1.25,49,135,82,546,57,273,35,0,0.260869565217391,0.5,8,0.864468864468865,2.15,45,1.8,1,33,0.76
42,2.44444444444444,40,144,84,892,56,433,45,30,0.285714285714286,0.4,13,0.290322580645161,2.38888888888889,57,2.77777777777778,6,44,1.69
25,6.0,24,89,45,453,31,207,19,38,1.66666666666667,0.428571428571429,9,0.893719806763285,2.5,36,4.5,1,21,1.11
20,1.08333333333333,19,64,33,280,19,140,17,0,0.214285714285714,0.5,5,0.792857142857143,1.25,18,3.41666666666667,4,14,0.92
192,2.0125,198,739,415,2723,287,1362,133,8,0.448275862068966,0.375,15,0.610580455547392,2.4,311,2.775,21,217,0.67
24,1.0,24,57,37,235,27,118,13,1,0.0,0.25,9,0.923728813559322,1.5,15,2.0,7,13,0.84
56,1.6,53,190,112,898,75,459,42,0,0.620689655172414,0.333333333333333,14,0.278867102396514,3.88,72,3.4,12,59,1.19
111,2.09090909090909,105,422,221,1420,150,700,59,50,0.761904761904762,0.4,11,0.482857142857143,4.33333333333333,181,3.84848484848485,19,116,0.52
25,1.4,25,73,44,366,29,179,20,6,0.666666666666667,0.5,7,0.605555555555556,1.9,20,1.8,5,19,1.18
16,1.16666666666667,15,44,28,268,20,133,14,0,0.375,0.5,5,0.283582089552239,4.33333333333333,16,4.0,2,13,1.7
115,19.5142857142857,121,499,273,1376,198,685,83,6,0.488372093023256,0.5,28,0.991240875912409,2.11428571428571,215,2.4,5,152,0.21
53,4.51851851851852,55,192,113,847,76,430,47,8,0.620689655172414,0.333333333333333,20,0.804651162790698,4.85185185185185,66,1.77777777777778,1,58,0.99
19,2.0,19,42,28,300,21,99,12,129,0.6,0.222222222222222,9,0.393939393939394,5.33333333333333,17,4.33333333333333,8,9,1.07
66,1.36170212765957,65,307,150,1486,85,743,65,0,0.244897959183673,0.5,10,0.947510094212651,2.78723404255319,102,2.57446808510638,5,85,1.21
16,1.0,16,33,21,176,15,88,8,0,0.0,0.5,5,0.704545454545455,1.2,6,2.4,5,5,1.42
74,4.4375,69,235,130,946,98,457,42,47,0.7,0.6,19,0.671772428884026,4.0,109,5.5,18,61,0.77
32,1.57142857142857,32,80,53,285,42,143,22,31,1.3,0.166666666666667,23,0.517482517482518,3.0,38,5.28571428571429,9,21,0.51
84,1.18518518518519,85,293,210,850,177,453,64,31,0.233333333333333,0.357142857142857,6,0.653421633554084,1.37037037037037,178,3.44444444444444,10,125,0.33
43,1.25,41,107,66,344,55,170,23,1,0.461538461538462,0.333333333333333,10,0.555555555555556,1.25,56,3.5,10,25,0.42
22,1.5,21,59,35,426,25,212,15,15,0.625,0.333333333333333,4,0.924528301886792,3.16666666666667,18,2.66666666666667,8,14,2.34
14,1.0,14,23,19,51,17,50,3,1,0.0,0.5,7,1.0,2.0,10,7.0,8,5,1.04
43,3.22222222222222,40,139,83,581,62,276,24,25,0.692307692307692,0.461538461538462,31,0.286231884057971,3.44444444444444,64,6.44444444444444,22,43,0.81
19,1.54545454545455,23,79,42,484,26,233,19,24,0.428571428571429,0.375,6,0.482905982905983,2.27272727272727,31,1.90909090909091,2,19,1.71
142,4.21428571428571,147,750,387,3162,250,1520,135,263,0.707317073170732,0.391304347826087,28,0.414473684210526,3.74285714285714,331,3.94285714285714,30,240,0.85
30,12.25,31,113,71,337,52,161,20,6,1.2,0.25,10,0.801242236024845,5.125,49,3.5,3,40,0.27
37,4.875,36,117,69,475,48,220,19,53,1.2,0.625,15,1.0,2.125,46,5.75,9,33,0.72
18,1.33333333333333,18,57,32,239,20,127,14,10,0.583333333333333,0.428571428571429,4,0.299212598425197,1.66666666666667,19,2.33333333333333,6,14,0.98
59,1.9375,59,176,111,820,84,332,40,192,0.631578947368421,0.7,17,0.954819277108434,2.0625,72,4.25,13,52,0.66
45,1.61538461538462,52,191,108,800,71,391,67,18,0.3125,0.25,6,0.943734015345269,2.42307692307692,78,2.42307692307692,2,56,0.7
19,1.14285714285714,19,55,34,323,25,135,13,66,0.333333333333333,0.666666666666667,7,0.940740740740741,1.42857142857143,18,3.14285714285714,4,15,1.22
53,6.0,55,223,122,849,79,423,50,3,3.23076923076923,0.333333333333333,18,0.966903073286052,4.90909090909091,102,5.90909090909091,6,67,0.67
8,1.66666666666667,8,26,14,146,8,73,5,0,0.8,0.5,4,0.397260273972603,2.33333333333333,6,2.33333333333333,2,6,1.62
15,1.2,15,41,23,327,17,109,10,109,0.857142857142857,0.333333333333333,7,1.0,2.6,13,2.8,2,8,1.41
37,2.25,40,107,78,280,68,140,9,0,1.375,0.5,18,0.785714285714286,2.0,54,11.75,13,38,0.22
3,1.0,3,5,3,68,2,34,1,0,0.0,0.5,0,0.588235294117647,6.0,0,0.0,0,0,5.6
37,1.2,50,127,79,344,67,172,19,0,0.25,0.5,11,0.808139534883721,0.6,65,4.5,11,29,0.2
21,1.0,23,47,36,88,30,88,9,0,0.0,1.0,12,1.0,1.0,21,4.5,7,13,0.68
102,22.7692307692308,96,471,240,1521,173,737,79,76,2.53333333333333,0.263157894736842,33,0.424694708276798,5.76923076923077,241,11.4615384615385,28,144,0.41
23,2.0,22,65,42,254,36,127,17,0,1.4,0.5,27,0.724409448818898,3.0,32,13.3333333333333,14,20,0.69
17,1.0,17,53,45,203,41,101,16,1,0.0,0.333333333333333,16,0.851485148514851,1.33333333333333,35,10.3333333333333,10,28,0.6
25,1.5,25,91,57,177,45,169,21,5,0.909090909090909,0.75,9,1.0,1.125,43,3.875,10,32,0.63
174,2.08641975308642,184,801,412,4316,264,1587,136,952,0.79,0.315789473684211,17,0.580970384373031,2.93827160493827,345,3.1358024691358,35,228,0.81
132,36.1272727272727,126,442,249,2033,168,1015,95,6,0.375,0.428571428571429,29,0.872906403940887,2.12727272727273,186,2.6,20,123,1.08
34,1.0,38,106,61,452,43,226,23,0,0.0,0.5,5,0.86283185840708,1.93333333333333,47,2.26666666666667,5,23,0.92
22,1.0,20,58,28,303,22,149,15,3,0.0,0.25,6,0.413333333333333,1.0,33,2.75,6,8,1.55
31,2.0,25,79,49,297,38,150,13,4,0.777777777777778,0.285714285714286,15,0.766666666666667,4.66666666666667,35,4.83333333333333,11,24,0.73
30,1.6,30,72,48,250,39,135,20,7,0.0,0.6,14,0.525925925925926,2.2,34,4.8,6,18,0.6
20,1.33333333333333,22,43,29,91,23,74,6,16,0.571428571428571,0.5,10,0.866666666666667,0.333333333333333,17,4.0,10,7,0.58
36,2.58333333333333,44,137,78,675,58,320,43,45,0.263157894736842,0.333333333333333,11,0.9,1.91666666666667,64,3.66666666666667,5,34,1.02
53,4.23076923076923,53,199,115,698,81,344,30,7,1.375,0.4,11,0.959302325581395,2.61538461538462,89,4.15384615384615,5,62,0.58
80,2.375,75,220,134,1081,101,415,34,255,1.42105263157895,0.285714285714286,20,0.409638554216867,3.25,93,4.625,20,59,0.74
62,2.21428571428571,63,200,132,1032,106,360,27,217,0.941176470588235,0.6875,22,0.905555555555556,2.0,98,4.28571428571429,17,69,0.67
33,3.4,27,103,55,403,40,165,14,51,1.85714285714286,0.375,16,0.636363636363636,4.6,46,7.4,9,28,0.48
10,1.25,11,36,19,346,13,144,8,30,0.428571428571429,0.6,5,0.555555555555556,2.25,11,3.25,2,8,2.78
44,1.75,45,108,73,1269,60,203,14,450,0.363636363636364,0.428571428571429,14,0.70935960591133,1.875,50,4.875,17,28,0.75
21,1.0,15,42,21,71,14,70,7,1,0.0,0.666666666666667,2,0.785714285714286,0.0,19,2.0,1,6,0.74
26,1.46153846153846,30,98,70,356,50,178,22,0,0.315789473684211,0.5,8,0.955056179775281,3.07692307692308,63,3.46153846153846,3,40,0.59
8,1.0,8,16,10,96,7,48,4,0,0.0,0.5,3,0.5625,1.5,3,2.0,0,2,1.75
355,2.63333333333333,360,1660,867,8133,534,3650,334,1022,0.666666666666667,0.294117647058824,25,0.509315068493151,10.3222222222222,698,3.48333333333333,57,507,1.0
