OWN_COMMIT,MAJOR_COMMIT,DDEV,CountStmtDecl,COMM,Added_lines,Del_lines,CountLine,ADEV,SumCyclomaticModified,CountLineCode,CountStmt,SumCyclomaticStrict,CountLineCodeDecl,SumCyclomatic,OWN_LINE,CountOutput_Mean,CountClassCoupled,CountLineBlank,CountStmtExe
1.0,1,1,22,2,20,25,134,2,7,52,44,7,22,7,0.955223880597015,4.71428571428571,6,23,22
1.0,1,1,27,2,4,4,140,2,19,100,80,36,27,19,0.992857142857143,12.5,2,24,53
0.5,2,2,93,8,232,203,463,8,65,316,231,77,90,65,0.468682505399568,4.55555555555556,27,45,138
1.0,1,1,22,2,18,23,129,2,7,47,39,7,22,7,1.0,4.14285714285714,5,23,17
0.75,2,2,29,4,24,31,103,4,6,61,53,6,29,6,0.514563106796116,4.8,7,19,24
1.0,1,1,15,2,3,4,59,2,7,30,22,7,15,7,0.694915254237288,2.42857142857143,1,10,7
1.0,1,1,5,2,7,7,32,2,2,6,5,2,5,2,0.71875,0.0,1,5,0
0.666666666666667,2,2,18,3,58,4,54,3,8,19,18,8,18,8,0.925925925925926,1.0,1,8,0
1.0,1,1,36,1,76,76,241,1,26,143,90,29,36,26,1.0,10.0,4,35,54
1.0,1,1,9,2,8,10,49,2,2,16,13,2,9,2,0.530612244897959,6.0,2,8,4
1.0,1,1,17,3,34,37,69,3,7,38,30,7,17,7,1.0,2.14285714285714,2,12,13
1.0,1,1,3,2,4,5,33,2,1,7,5,1,3,1,0.424242424242424,2.0,0,2,2
1.0,1,1,7,2,3,4,39,2,2,8,7,2,7,2,0.769230769230769,1.0,2,4,0
0.5,3,3,100,8,380,412,317,8,18,234,201,18,108,18,0.65615141955836,7.27272727272727,14,54,101
1.0,1,1,43,2,48,57,146,2,9,91,80,9,43,9,0.506849315068493,5.375,10,25,37
1.0,1,1,4,2,2,3,34,2,1,5,4,1,4,1,0.5,1.0,1,4,0
1.0,1,1,7,2,5,6,53,2,4,8,7,4,7,4,0.358490566037736,0.0,0,8,0
1.0,1,1,22,2,5,4,134,2,7,46,38,7,22,7,0.955223880597015,3.85714285714286,5,27,16
1.0,1,1,28,2,20,27,134,2,22,97,74,23,27,22,0.738805970149254,6.75,0,13,46
1.0,1,1,22,2,13,13,109,2,12,63,50,12,22,12,0.651376146788991,2.0,0,17,28
0.5,3,3,110,8,801,805,433,8,26,301,270,26,103,26,0.787528868360277,9.0625,15,106,160
1.0,1,1,26,1,25,25,131,1,17,27,26,17,26,17,1.0,0.0588235294117647,0,20,0
1.0,1,1,6,2,8,5,29,2,2,7,6,2,6,2,1.0,0.5,0,6,0
1.0,1,1,8,3,16,26,46,3,2,14,11,2,8,2,0.521739130434783,2.0,1,6,3
0.5,2,2,76,2,92,74,367,2,52,244,188,57,71,52,0.411444141689373,7.30769230769231,0,50,112
1.0,1,1,8,3,16,26,46,3,2,14,11,2,8,2,0.521739130434783,1.5,1,6,3
0.666666666666667,2,2,35,3,167,173,210,3,30,170,150,33,32,30,1.0,6.42857142857143,1,20,115
1.0,1,1,34,1,76,76,212,1,23,126,78,26,33,23,1.0,9.0,4,29,44
1.0,1,1,19,2,7,7,63,2,3,30,25,3,19,3,0.777777777777778,4.5,0,7,6
1.0,1,1,28,3,32,32,196,3,11,110,95,11,28,11,0.928571428571429,11.4285714285714,5,25,67
1.0,1,1,27,4,26,24,111,4,10,62,48,10,27,10,0.738738738738739,5.0,1,17,21
1.0,1,1,37,1,104,0,104,1,16,72,58,16,36,16,1.0,3.75,6,11,21
1.0,1,1,36,3,17,22,142,3,22,90,67,22,35,22,0.753521126760563,2.33333333333333,4,20,31
1.0,1,1,67,5,53,63,216,5,28,137,111,28,58,28,0.712962962962963,4.23529411764706,5,29,44
1.0,1,1,8,3,16,26,49,3,2,17,14,2,8,2,1.0,3.5,1,6,6
1.0,1,1,8,3,16,26,46,3,2,14,11,2,8,2,0.521739130434783,1.5,1,6,3
1.0,1,1,15,2,3,6,52,2,6,29,25,6,13,6,0.942307692307692,2.33333333333333,3,6,10
1.0,1,1,171,4,63,57,897,4,125,775,586,126,166,125,0.910813823857302,5.91228070175439,10,87,415
1.0,1,1,53,4,39,39,186,4,23,140,116,24,50,23,0.752688172043011,5.77777777777778,3,26,63
1.0,1,1,23,3,25,24,65,3,4,39,34,4,23,4,0.615384615384615,4.25,4,7,11
1.0,1,1,20,2,9,11,71,2,7,36,30,7,19,7,0.690140845070423,2.0,5,15,10
1.0,1,1,33,1,230,0,230,1,12,124,92,12,33,12,1.0,4.66666666666667,0,27,59
1.0,1,1,12,1,1,2,73,1,9,43,33,10,12,9,0.780821917808219,2.28571428571429,0,9,21
0.8,2,2,23,5,50,40,127,5,22,74,50,22,23,22,0.440944881889764,1.66666666666667,2,20,27
1.0,1,1,12,2,7,9,49,2,3,23,19,3,12,3,0.73469387755102,8.0,0,7,7
1.0,1,1,32,4,82,67,176,4,18,111,90,18,32,18,1.0,5.66666666666667,1,24,58
1.0,1,1,3,1,1,2,31,1,1,7,5,1,3,1,0.774193548387097,2.0,0,3,2
1.0,1,1,79,4,208,209,404,4,57,293,209,57,82,57,0.51980198019802,3.44827586206897,6,32,130
1.0,1,1,9,3,4,9,54,3,2,19,16,2,9,2,1.0,4.0,1,8,7
1.0,1,1,19,2,4,4,118,2,5,39,33,5,19,5,1.0,4.6,3,25,14
0.714285714285714,2,2,181,7,348,332,892,7,124,585,467,138,181,124,0.635650224215247,5.29824561403509,12,68,286
0.8,2,2,143,5,142,137,625,5,133,497,341,149,133,133,0.6768,2.88157894736842,12,83,198
1.0,1,1,3,1,2,2,28,1,1,4,3,1,3,1,0.714285714285714,0.0,1,2,0
1.0,1,1,3,2,2,3,27,2,1,4,3,1,3,1,0.407407407407407,0.0,1,2,0
1.0,1,1,28,2,20,17,115,2,1,72,70,1,28,1,0.826086956521739,20.0,3,21,42
1.0,1,1,25,4,35,45,130,4,11,72,53,11,26,11,0.646153846153846,6.0,0,10,28
1.0,1,1,10,1,1,2,53,1,4,25,20,4,10,4,0.679245283018868,2.5,1,7,10
1.0,1,1,5,3,5,11,34,3,1,8,6,1,5,1,0.676470588235294,2.0,1,5,1
1.0,1,1,42,4,101,113,218,4,34,134,94,39,42,34,0.541284403669725,4.0625,12,37,52
1.0,1,1,34,2,9,9,118,2,5,66,60,5,34,5,0.932203389830508,4.0,9,22,26
1.0,1,1,12,2,3,4,75,2,7,47,37,7,12,7,0.88,6.66666666666667,2,9,25
1.0,1,1,8,3,6,9,41,3,4,18,13,4,8,4,0.51219512195122,1.75,0,7,5
0.75,2,2,46,4,86,132,167,4,13,113,102,13,44,13,0.48502994011976,10.5,5,24,56
1.0,1,1,52,2,20,24,150,2,17,100,81,17,52,17,0.826666666666667,2.84615384615385,0,23,29
0.666666666666667,2,2,9,3,3,4,48,3,3,17,13,3,9,3,0.625,2.0,3,7,4
1.0,1,1,40,3,59,59,110,3,13,79,62,13,31,13,1.0,3.07692307692308,4,15,22
1.0,1,1,19,1,36,18,74,1,3,45,39,4,20,3,0.513513513513513,5.33333333333333,0,10,20
1.0,1,1,53,4,20,19,166,4,21,124,105,21,52,21,0.843373493975904,3.8125,1,23,52
1.0,1,1,16,2,7,10,60,2,7,35,28,7,15,7,1.0,3.0,0,6,12
1.0,1,1,40,4,55,56,142,4,16,89,73,16,39,16,1.0,4.55555555555556,16,32,33
0.5,2,2,11,4,102,29,73,4,8,31,22,10,11,8,0.657534246575342,1.4,1,8,11
1.0,1,1,49,3,9,9,240,3,6,129,122,6,49,6,0.9375,8.83333333333333,1,47,73
0.75,2,2,27,4,38,22,104,4,12,72,55,13,27,12,0.528846153846154,7.75,12,15,28
1.0,1,1,24,3,31,29,119,3,20,73,52,22,24,20,0.571428571428571,2.46666666666667,4,19,28
1.0,1,1,38,4,21,21,154,4,8,83,71,10,38,8,0.805194805194805,8.0,7,31,33
1.0,1,1,20,3,49,45,86,3,11,37,27,11,21,11,1.0,0.818181818181818,3,17,7
1.0,1,1,5,1,1,2,29,1,1,8,6,1,5,1,0.96551724137931,1.0,2,2,1
0.666666666666667,2,2,20,3,18,21,91,3,10,56,42,10,20,10,0.802197802197802,4.16666666666667,2,13,22
0.8,2,2,20,5,12,17,67,5,7,39,33,7,19,7,0.761194029850746,2.75,0,9,13
1.0,1,1,30,4,31,37,102,4,7,65,54,7,30,7,0.490196078431373,4.83333333333333,8,16,24
0.666666666666667,2,2,81,6,89,67,280,6,55,197,139,55,81,55,0.446428571428571,2.37037037037037,25,60,58
1.0,1,1,11,2,3,4,46,2,3,19,15,3,11,3,0.782608695652174,3.0,1,6,4
1.0,1,1,35,2,19,21,121,2,16,81,62,16,35,16,0.84297520661157,3.66666666666667,3,14,27
0.833333333333333,2,2,49,6,91,84,212,6,27,147,103,27,51,27,0.471698113207547,3.44444444444444,11,32,54
0.666666666666667,2,2,33,3,46,48,142,3,20,97,73,20,31,20,1.0,4.0,5,29,40
0.571428571428571,3,3,85,7,240,234,306,7,48,244,190,49,82,48,0.526143790849673,3.5,4,30,105
1.0,1,1,13,2,6,5,64,2,6,14,13,6,13,6,0.90625,0.666666666666667,0,11,0
1.0,1,1,17,3,13,14,53,3,9,18,17,9,17,9,0.622641509433962,0.333333333333333,3,12,0
1.0,1,1,6,1,1,2,40,1,1,13,11,1,6,1,0.525,7.0,1,5,5
1.0,1,1,58,3,25,31,175,3,19,132,111,19,55,19,0.817142857142857,5.4,4,16,53
1.0,1,1,27,2,11,12,90,2,14,56,41,14,27,14,1.0,1.0,0,18,14
1.0,1,1,8,3,16,26,46,3,2,14,11,2,8,2,0.521739130434783,1.5,1,6,3
1.0,1,1,8,2,4,5,37,2,3,14,10,3,8,3,1.0,1.0,0,7,2
1.0,1,1,34,2,21,24,121,2,6,77,67,6,34,6,0.487603305785124,8.25,15,22,33
1.0,1,1,14,1,1,2,56,1,2,29,26,2,14,2,0.875,7.5,0,5,12
1.0,1,1,15,2,11,8,70,2,3,24,20,3,15,3,0.842857142857143,3.33333333333333,3,6,5
0.833333333333333,2,2,47,6,33,37,165,6,25,117,88,26,43,25,0.6,2.47058823529412,6,24,41
1.0,1,1,3,1,1,2,27,1,1,7,5,1,3,1,0.407407407407407,2.0,0,1,2
1.0,1,1,14,2,6,7,54,2,3,30,26,3,14,3,1.0,5.66666666666667,1,8,12
1.0,1,1,17,2,5,4,115,2,7,32,24,7,17,7,0.947826086956522,1.14285714285714,4,22,7
1.0,1,1,12,2,10,11,73,2,9,13,12,9,12,9,0.726027397260274,0.888888888888889,0,11,0
