CountLine,OWN_LINE,CountLineCode,CountLineComment,CountSemicolon,CountStmt,MAJOR_LINE,SumCyclomatic,CountStmtExe,CountLineCodeExe,CountLineBlank,CountLineCodeDecl,CountStmtDecl,SumCyclomaticModified,SumCyclomaticStrict,CountClassCoupled,RatioCommentToCode,CountInput_Mean,CountOutput_Mean,CountInput_Max
279,0.756272401433692,42,186,40,41,3,0,0,39,52,41,41,0,0,0,4.43,0.0,0.0,0
714,0.969187675070028,355,254,132,210,4,84,145,168,106,86,65,82,99,11,0.72,2.76315789473684,2.76315789473684,17
31,1.0,12,16,1,10,0,8,0,0,3,10,10,8,8,0,1.33,0.25,1.0,1
81,1.0,30,33,24,35,0,10,15,15,18,21,20,10,11,4,1.1,1.55555555555556,2.22222222222222,4
45,1.0,4,34,2,3,0,1,0,0,7,3,3,1,1,1,8.5,10.0,1.0,10
125,1.0,10,108,8,9,0,6,0,0,7,9,9,6,6,1,10.8,0.0,1.0,0
67,0.91044776119403,31,18,13,19,0,5,7,7,18,12,12,5,6,1,0.58,2.6,1.6,5
325,1.0,177,126,83,109,0,25,44,99,29,90,65,25,25,7,0.71,1.0,4.0,2
355,1.0,226,68,168,178,0,9,148,197,61,32,30,9,9,6,0.3,0.333333333333333,5.33333333333333,2
221,0.624434389140271,81,77,67,70,3,0,9,70,65,68,61,0,0,2,0.95,0.0,0.0,0
159,0.949685534591195,57,81,23,35,2,11,19,19,21,16,16,11,12,6,1.42,3.0,2.5,6
437,0.933638443935927,201,173,73,94,1,20,44,90,63,73,50,20,20,14,0.86,4.11111111111111,5.88888888888889,7
280,1.0,113,103,63,86,0,22,45,61,64,43,41,22,22,2,0.91,2.625,4.875,5
67,0.552238805970149,34,23,22,27,0,4,7,13,10,21,20,4,4,7,0.68,0.75,2.75,2
3519,0.867291844273941,2623,527,1796,2067,7,294,1506,2159,391,618,561,294,304,20,0.2,3.18181818181818,12.6883116883117,35
287,0.979020979020979,172,80,78,98,1,19,70,88,35,42,28,19,21,10,0.47,9.25,9.75,16
248,0.971774193548387,130,107,66,80,1,14,33,59,26,49,47,14,14,13,0.82,5.625,4.125,12
79,0.987341772151899,41,28,24,29,1,4,13,21,13,20,16,4,4,5,0.68,2.0,4.25,4
443,0.979638009049774,295,96,160,203,2,43,144,174,59,59,59,43,47,14,0.33,8.75,7.5,18
104,0.923076923076923,26,60,9,14,1,4,4,5,18,12,10,4,5,4,2.31,1.33333333333333,2.0,3
330,1.0,154,151,82,117,0,34,72,100,26,45,45,34,37,3,0.98,6.91666666666667,3.33333333333333,13
43,1.0,5,34,3,4,0,2,0,0,4,4,4,2,2,1,6.8,2.5,1.0,3
114,0.947368421052632,47,43,20,27,0,6,9,11,24,20,18,6,6,10,0.91,1.6,2.2,4
3345,0.925859491778774,1880,1077,1032,1371,6,372,981,1366,424,404,390,341,434,21,0.57,6.61654135338346,4.89473684210526,35
849,0.862190812720848,493,203,226,317,5,90,156,230,156,190,161,90,93,43,0.41,3.14583333333333,3.5,14
74,0.918918918918919,11,54,8,9,0,0,0,7,9,9,9,0,0,0,4.91,0.0,0.0,0
510,0.984313725490196,283,162,148,175,2,26,83,152,81,106,92,26,26,25,0.57,4.66666666666667,6.66666666666667,14
440,0.981735159817352,304,69,131,154,3,20,90,216,79,87,64,20,20,11,0.23,11.375,8.25,20
189,0.968253968253968,75,84,37,46,1,8,22,33,30,30,24,8,8,6,1.12,2.0,4.8,3
326,0.380368098159509,181,79,58,103,1,44,48,50,66,85,55,44,44,12,0.44,0.232558139534884,1.48837209302326,6
139,1.0,63,52,24,37,0,14,20,25,24,17,17,14,14,6,0.83,2.2,3.8,4
