Del_lines,Added_lines,ADEV,COMM,MaxNesting_Mean,CountClassCoupled,CountInput_Mean,CountOutput_Mean,MaxInheritanceTree,CountLineBlank,OWN_COMMIT,CountPath_Mean,CountStmt,CountDeclMethodPrivate,CountLineCodeDecl,PercentLackOfCohesion,CountStmtExe,CountLineComment,CountLineCode,OWN_LINE
0,0,0,0,0.75,5,2.23076923076923,3.38461538461538,4,16,0.0,1.38461538461538,56,0,30,91,25,19,81,0.689655172413793
0,0,0,0,0.0,5,2.22222222222222,2.11111111111111,3,13,0.0,1.0,28,0,17,33,11,21,38,0.694444444444444
0,0,0,0,0.2,4,2.85714285714286,1.42857142857143,3,8,0.0,1.0,23,0,15,57,8,24,31,0.698412698412698
0,0,0,0,0.6,1,2.33333333333333,1.33333333333333,2,4,0.0,1.33333333333333,13,0,9,0,4,21,18,0.906976744186046
0,0,0,0,0.0,1,2.0,2.0,2,7,0.0,1.0,12,0,9,0,3,32,15,0.377358490566038
3,3,1,1,0.733333333333333,0,5.38461538461539,3.23076923076923,1,28,1.0,3.15384615384615,97,1,35,50,63,151,121,0.684385382059801
9,16,3,3,0.0,2,0.4,0.6,3,7,0.666666666666667,1.0,14,0,12,100,2,22,20,0.469387755102041
283,283,4,4,1.5,10,2.90909090909091,4.81818181818182,3,16,0.75,2.09090909090909,82,1,37,75,40,24,101,1.0
48,63,6,6,1.22222222222222,7,2.57142857142857,4.71428571428571,2,13,1.0,2.28571428571429,54,2,28,71,24,51,69,0.661654135338346
1,60,2,2,0.3,5,2.57142857142857,2.57142857142857,6,8,1.0,1.28571428571429,31,0,17,75,11,7,44,1.0
0,0,0,0,1.0,8,4.5,5.5,1,25,0.0,1.75,79,0,45,69,37,50,100,0.982142857142857
126,16,2,2,1.42857142857143,2,3.4,4.6,1,14,1.0,1076.2,76,2,18,0,57,24,97,0.896296296296296
35,14,1,1,1.15384615384615,2,6.4,2.1,2,12,1.0,1.4,36,1,19,73,15,24,46,0.585365853658537
271,272,3,3,2.1,3,2.875,4.125,3,12,0.666666666666667,3.875,93,5,28,75,58,23,100,1.0
0,0,0,0,0.875,7,3.33333333333333,3.66666666666667,1,13,0.0,1.66666666666667,33,2,19,58,14,59,47,0.608333333333333
0,0,0,0,0.0,0,0.0,1.0,4,2,0.0,1.0,6,0,6,0,1,5,20,1.0
0,0,0,0,0.0,1,2.5,3.0,2,6,0.0,1.0,13,0,10,0,3,31,16,0.423076923076923
0,0,0,0,0.642857142857143,3,3.5,2.66666666666667,1,55,0.0,1.66666666666667,59,0,22,69,37,69,113,0.863247863247863
1,1,1,1,0.0,1,1.0,2.33333333333333,2,6,1.0,1.0,8,0,5,0,3,32,12,0.72
0,0,0,0,0.0,1,0.0,1.0,2,2,0.0,1.0,5,0,4,0,1,1,6,1.0
0,0,0,0,0.0,2,1.5,1.5,3,13,0.0,1.0,6,0,4,0,2,47,9,1.0
6,0,2,2,0.0,1,0.0,2.0,4,16,1.0,1.0,66,0,45,0,21,42,88,0.965753424657534
0,203,1,1,0.52,0,2.09090909090909,3.36363636363636,2,26,1.0,1.63636363636364,133,2,62,90,70,15,164,1.0
0,0,0,0,0.235294117647059,3,2.30769230769231,2.07692307692308,1,35,0.0,1.30769230769231,69,1,35,81,34,69,90,1.0
0,0,0,0,0.0,0,2.0,1.5,2,4,0.0,1.0,7,0,5,0,2,21,10,0.628571428571429
0,0,0,0,0.0,2,0.0,0.5,3,5,0.0,1.0,8,0,6,100,2,24,11,0.925
14,36,8,8,0.208333333333333,4,5.18181818181818,1.86363636363636,3,25,0.5,1.13636363636364,68,0,36,89,32,27,88,0.564285714285714
0,0,0,0,0.0,0,1.5,2.0,3,6,0.0,1.0,9,0,6,0,3,46,11,0.796875
0,0,0,0,0.0,1,2.16666666666667,1.16666666666667,1,12,0.0,1.0,15,0,12,75,3,247,19,0.809352517985611
0,0,0,0,0.0,0,2.5,2.0,1,4,0.0,1.0,10,0,8,0,2,21,13,0.631578947368421
0,24,1,1,0.0,1,0.0,2.0,2,2,1.0,1.0,6,0,5,0,1,15,7,1.0
0,0,0,0,0.0,0,1.0,2.0,3,1,0.0,1.0,4,0,3,0,1,15,6,0.590909090909091
0,0,0,0,0.0,1,1.75,3.0,3,7,0.0,1.0,19,0,9,12,10,0,24,0.903225806451613
0,0,0,0,0.0,3,0.0,0.5,1,12,0.0,1.0,13,0,13,0,0,20,14,0.782608695652174
0,0,0,0,1.0,3,4.0,8.0,1,19,0.0,9.0,34,0,16,0,18,46,42,0.94392523364486
2,2,1,1,1.25,0,3.66666666666667,4.0,1,72,1.0,27.1666666666667,73,0,27,83,46,81,143,0.949152542372881
0,0,0,0,0.166666666666667,0,1.33333333333333,1.0,1,9,0.0,1.0,10,0,7,66,3,19,14,0.595238095238095
0,0,0,0,1.0,0,1.0,3.0,4,13,0.0,2.0,8,0,4,0,4,40,13,1.0
0,0,0,0,0.0,0,1.0,1.0,2,15,0.0,1.0,7,0,5,0,2,42,10,0.985074626865672
0,0,0,0,0.375,0,4.16666666666667,1.5,1,11,0.0,1.66666666666667,29,0,12,16,17,21,32,0.9375
0,0,0,0,0.0,1,1.0,6.0,2,8,0.0,1.0,18,0,11,0,8,0,23,1.0
0,0,0,0,0.722222222222222,4,1.875,2.25,2,39,0.0,1.9375,85,0,42,84,43,21,119,0.972222222222222
1,2,1,1,0.0,5,3.22222222222222,2.0,3,11,1.0,1.0,30,0,22,44,12,21,51,0.686746987951807
1,61,2,2,0.625,5,2.6,3.0,6,6,1.0,1.6,34,0,20,83,13,7,47,1.0
5,5,2,2,0.0,1,1.71428571428571,2.78571428571429,2,16,1.0,1.0,30,1,17,100,13,20,44,0.4625
8,15,1,1,0.7,7,8.57142857142857,1.85714285714286,1,10,1.0,1.57142857142857,26,0,17,0,9,59,38,0.467289719626168
0,0,0,0,0.0,0,2.0,0.5,1,4,0.0,1.0,4,0,4,0,0,39,5,0.916666666666667
317,820,8,8,0.777777777777778,20,3.28169014084507,2.69014084507042,6,88,0.875,2.50704225352113,249,0,94,0,155,25,406,1.0
0,0,0,0,0.0,2,3.5,1.5,3,10,0.0,1.0,21,0,13,61,8,21,28,0.728813559322034
0,52,1,1,0.5,1,2.0,1.5,3,7,1.0,1.25,13,0,7,0,6,18,27,1.0
0,0,0,0,0.0,1,0.0,1.0,5,2,0.0,1.0,7,0,7,0,0,16,8,0.615384615384615
0,8,2,2,0.266666666666667,0,5.61538461538461,1.38461538461538,1,16,1.0,1.15384615384615,39,0,19,64,19,23,53,0.815217391304348
0,0,0,0,0.8,0,1.66666666666667,2.0,4,7,0.0,1.66666666666667,18,0,11,33,7,3,24,0.705882352941177
0,0,0,0,0.0,4,1.0,8.0,4,22,0.0,1.0,16,0,10,0,6,44,18,0.892857142857143
