COMM,ADEV,CountClassCoupled,Del_lines,MAJOR_COMMIT,Added_lines,CountLineCodeExe,CountSemicolon,CountLineCode,DDEV,CountStmt,CountLine,CountStmtExe,CountLineComment,AvgLine,CountOutput_Max,CountLineCodeDecl,CountOutput_Mean,CountStmtDecl,CountLineBlank
5,5,15,17,2,76,58,66,124,2,83,178,33,34,11,24,68,5.25,50,20
2,2,2,0,2,66,13,20,29,2,23,66,8,31,14,7,18,6.0,15,6
3,3,6,7,3,10,54,52,109,3,77,203,46,69,9,7,39,2.35714285714286,31,26
1,1,0,1,1,1,0,1,1,1,1,164,0,148,0,0,1,0.0,1,15
1,1,0,0,1,4,3,5,11,1,8,42,2,27,5,2,6,2.0,6,4
1,1,7,0,1,99,25,37,49,1,44,99,17,34,53,19,28,19.0,27,16
8,8,24,11,3,23,305,294,433,3,341,626,150,148,26,31,218,11.5,191,45
4,4,9,9,2,19,123,122,227,2,160,318,78,43,10,22,100,4.6,82,49
1,1,1,0,1,2,16,24,55,1,36,142,12,70,6,3,30,1.72727272727273,24,17
3,3,2,0,3,516,76,75,198,3,121,260,58,21,4,6,88,2.36111111111111,63,41
3,3,5,6,2,12,36,33,66,2,44,126,16,44,15,7,32,4.2,28,16
7,7,17,8,2,25,67,75,108,2,85,146,38,23,21,36,53,11.25,47,16
1,1,1,0,1,105,29,34,60,1,46,105,21,35,9,4,27,3.0,25,10
12,12,19,55,3,99,183,133,298,3,187,474,118,146,24,41,97,7.5625,69,33
3,3,2,1,2,112,37,36,74,2,57,107,32,20,10,7,22,4.66666666666667,25,13
3,3,5,11,3,35,113,113,180,3,133,246,60,38,11,11,93,4.8,73,30
4,4,8,3,2,283,48,63,106,2,81,144,28,22,7,9,58,4.22222222222222,53,16
1,1,1,0,1,4,2,4,12,1,8,46,2,28,4,2,7,1.66666666666667,6,6
1,1,2,118,1,0,42,38,75,1,53,118,29,33,10,9,27,3.42857142857143,24,10
1,1,0,0,1,3,22,22,42,1,32,69,17,20,7,5,15,2.4,15,8
3,3,7,8,1,157,47,40,109,1,66,150,28,20,6,8,45,3.35294117647059,38,21
1,1,7,0,1,268,92,104,196,1,144,268,67,41,8,14,93,3.63157894736842,77,31
0,0,0,0,0,0,0,1,0,0,1,200,0,179,0,0,0,0.0,1,21
1,1,9,0,1,5,19,29,47,1,33,77,11,19,7,11,30,6.0,22,11
3,3,12,2,2,7,79,73,159,2,100,230,41,37,8,21,71,2.82352941176471,59,34
0,0,0,0,0,0,1,2,8,0,4,28,1,17,3,1,5,1.0,3,3
2,2,19,1,1,264,100,117,177,1,141,261,68,51,18,38,84,8.0,73,33
3,3,0,5,1,31,49,49,104,1,77,200,41,72,6,7,39,3.21052631578947,36,24
1,1,0,0,1,4,1,3,7,1,5,29,1,19,3,1,4,1.0,4,3
5,5,12,28,2,41,49,50,89,2,66,157,30,57,18,18,37,10.5,36,11
1,1,0,0,1,3,13,19,44,1,29,75,13,19,3,5,21,1.875,16,12
4,4,17,4,2,10,59,80,108,2,86,173,43,40,21,27,50,10.25,43,25
2,2,11,0,2,12,65,65,127,2,91,179,50,40,14,12,48,5.5,41,12
2,2,2,2,2,8,169,158,234,2,189,298,107,36,16,7,86,4.6,82,31
3,3,7,4,2,6,72,69,135,2,96,221,41,59,10,12,59,5.0,55,27
1,1,2,0,1,5,20,17,38,1,22,75,6,37,18,8,28,8.0,16,9
1,1,0,0,1,3,1,4,10,1,5,32,1,20,1,2,7,1.33333333333333,4,2
2,2,10,346,1,5,164,164,251,1,204,346,108,51,17,16,98,6.21428571428571,96,45
1,1,13,0,1,2,122,111,221,1,169,353,86,102,11,29,81,6.14285714285714,83,30
7,7,22,23,3,47,88,105,168,3,129,221,45,27,14,30,92,7.55555555555556,84,27
1,1,2,0,1,2,36,44,88,1,62,129,32,25,5,6,38,3.25,30,16
1,1,0,0,1,3,5,12,18,1,14,42,2,20,7,3,13,3.0,12,4
2,2,8,3,1,5,49,64,82,1,72,121,37,19,23,22,38,11.6666666666667,35,20
15,15,22,49,3,97,110,107,182,3,129,268,52,49,17,26,92,8.7,77,38
0,0,3,0,0,0,36,47,70,0,56,148,20,62,24,10,40,7.66666666666667,36,16
0,0,0,0,0,0,0,1,1,0,1,367,0,344,0,0,1,0.0,1,22
2,2,2,5,2,2,0,15,22,2,16,96,0,62,6,1,21,0.375,16,12
14,14,22,32,4,52,168,164,263,4,192,371,74,59,22,23,144,8.8,118,52
0,0,2,0,0,0,17,18,29,0,26,67,9,33,15,10,16,7.0,17,5
0,0,3,0,0,0,17,31,59,0,40,105,11,33,8,7,39,2.6,29,13
0,0,6,0,0,0,40,52,83,0,65,188,27,94,15,9,43,3.0,38,11
7,7,26,61,4,62,275,239,375,4,290,553,182,103,22,60,104,8.90476190476191,108,77
1,1,0,0,1,3,0,4,5,1,5,60,0,51,8,1,5,1.0,5,4
61,61,78,639,4,1323,702,573,1210,8,815,1766,513,393,15,50,389,5.58510638297872,302,168
1,1,11,0,1,5,152,132,198,1,151,336,80,98,22,15,76,5.07692307692308,71,40
1,1,3,75,1,150,352,275,583,1,406,707,286,44,9,16,135,3.03389830508475,120,92
1,1,1,0,1,2,16,34,67,1,46,125,14,38,3,3,38,1.78571428571429,32,20
1,1,0,0,1,99,24,23,45,1,31,99,14,47,14,4,19,3.75,17,7
4,4,10,4,2,11,135,148,205,2,171,259,71,35,15,12,111,6.53846153846154,100,19
1,1,1,0,1,4,0,5,7,1,6,49,0,35,6,1,6,0.5,6,7
3,3,6,118,1,239,35,45,75,1,58,121,33,31,9,8,30,4.85714285714286,25,16
1,1,0,0,1,5,12,12,26,1,19,75,8,43,10,4,12,2.75,11,6
1,1,5,0,1,5,31,34,59,1,50,137,19,65,22,7,27,5.25,31,13
5,5,15,33,2,333,66,68,101,2,76,160,35,31,18,19,46,7.2,41,28
4,4,25,5,2,43,192,190,322,2,235,431,117,52,15,25,142,8.2,118,57
3,3,4,2,3,6,21,21,48,3,33,84,13,31,40,14,25,14.0,20,5
7,7,13,66,3,147,72,94,214,3,133,362,51,88,5,14,115,2.5,82,60
3,3,15,152,2,157,326,329,451,2,367,533,226,26,15,21,174,8.03703703703704,141,59
0,0,2,0,0,0,39,48,88,0,71,151,40,43,5,8,36,3.0,31,20
1,1,5,0,1,118,17,38,78,1,51,118,15,18,3,11,49,2.09090909090909,36,22
5,5,3,14,2,34,32,36,103,2,54,259,22,152,6,8,58,1.82352941176471,32,28
1,1,7,0,1,5,23,30,38,1,32,86,14,39,33,7,22,7.0,18,9
3,3,14,20,2,16,77,57,128,2,76,266,37,107,17,17,57,4.6,39,31
1,1,4,0,1,2,31,42,85,1,60,198,27,91,7,12,41,3.33333333333333,33,22
10,10,22,39,3,112,191,189,375,3,241,535,95,100,10,34,202,3.95,146,60
2,2,0,6,1,8,0,5,6,1,6,47,0,39,6,1,6,1.0,6,2
1,1,13,0,1,2,17,28,52,1,31,88,3,25,4,6,44,4.0,28,11
1,1,0,0,1,5,7,8,18,1,13,62,5,39,7,3,8,1.75,8,5
3,3,10,10,2,10,110,123,157,2,135,238,70,44,24,20,69,10.5714285714286,65,37
1,1,0,0,1,3,0,2,6,1,2,29,0,19,0,1,5,1.0,2,4
3,3,1,2,2,16,16,23,45,2,33,96,12,39,4,6,22,2.22222222222222,21,12
0,0,5,0,0,0,19,25,39,0,30,79,8,30,20,14,26,7.5,22,10
1,1,2,138,1,0,30,31,70,1,45,138,21,52,8,5,32,2.9,24,16
1,1,4,0,1,5,32,37,64,1,45,101,16,19,5,13,34,4.57142857142857,29,18
1,1,4,0,1,4,17,15,38,1,24,104,11,56,12,12,17,4.2,13,10
10,10,17,38,4,382,69,91,129,4,104,171,35,22,28,38,76,14.6666666666667,69,20
1,1,3,0,1,2,0,8,9,1,9,49,0,35,4,1,9,1.0,9,5
3,3,3,2,2,16,17,23,52,2,34,96,13,29,3,6,27,2.2,21,15
4,4,7,16,2,34,52,59,82,2,65,113,40,19,13,19,32,4.6,25,12
4,4,26,1215,2,235,656,589,914,2,684,1199,409,117,17,31,316,4.93421052631579,275,168
1,1,5,0,1,2,34,40,79,1,58,159,25,62,7,18,37,4.09090909090909,33,18
15,15,14,174,4,403,277,273,399,4,311,507,192,38,16,19,141,8.28,119,71
1,1,9,0,1,5,246,186,373,1,257,513,115,99,16,16,151,6.19047619047619,142,41
2,2,0,5,1,6,56,60,65,1,61,262,0,152,0,0,65,0.0,61,45
3,3,14,14,3,20,125,118,206,3,149,286,79,58,25,18,81,9.5,70,22
11,11,9,253,5,603,301,259,488,5,358,921,220,350,13,34,156,4.37254901960784,138,83
10,10,21,41,5,50,215,181,348,5,247,526,152,142,18,23,104,6.91304347826087,95,36
15,15,21,120,5,260,618,468,952,5,660,1366,401,301,20,39,300,6.37037037037037,259,121
5,5,20,23,4,45,348,290,564,4,394,808,250,197,22,32,152,7.31034482758621,144,47
1,1,0,0,1,2,38,44,76,1,59,110,33,24,8,7,30,2.85714285714286,26,10
0,0,8,0,0,0,24,26,51,0,36,90,18,32,20,9,20,7.5,18,7
1,1,0,39,1,0,4,6,14,1,10,39,3,20,3,3,7,2.33333333333333,7,5
1,1,4,0,1,5,35,42,75,1,53,115,20,19,4,7,39,3.3,33,21
1,1,0,0,1,46,0,4,6,1,5,43,0,32,5,1,5,1.0,5,5
1,1,4,0,1,233,74,64,115,1,81,233,39,101,29,18,50,5.16666666666667,42,23
1,1,8,0,1,188,65,65,109,1,83,188,41,60,20,12,48,5.57142857142857,42,19
9,9,20,632,5,89,1,81,131,5,82,626,0,440,9,1,130,0.708333333333333,82,55
6,6,22,208,2,295,204,222,310,2,254,459,156,89,19,16,115,6.10526315789474,98,60
3,3,1,1,2,146,23,35,48,2,43,74,16,16,9,6,28,5.33333333333333,27,10
2,2,11,18,2,326,334,185,554,2,366,624,254,29,15,7,106,5.0,112,41
8,8,16,20,4,46,303,263,509,4,372,956,224,349,16,21,161,6.17073170731707,148,99
1,1,2,114,1,0,38,37,78,1,51,114,24,22,6,7,31,2.9,27,14
4,4,2,356,2,979,136,152,226,2,188,313,103,50,14,11,90,3.93333333333333,85,37
1,1,4,0,1,5,21,25,32,1,27,62,16,23,25,7,14,7.0,11,7
1,1,4,0,1,5,45,42,84,1,52,136,27,34,42,17,32,10.5,25,20
6,6,18,15,3,26,128,124,199,3,143,298,67,53,17,19,94,5.75,76,46
1,1,1,0,1,3,1,4,8,1,6,32,1,19,3,3,5,3.0,5,5
1,1,2,0,1,4,107,109,209,1,148,456,70,216,14,9,93,3.80769230769231,78,33
5,5,21,5,3,16,110,110,206,3,154,327,77,105,16,17,93,5.73333333333333,77,20
8,8,14,47,3,251,125,128,198,3,150,302,75,79,19,15,92,6.90909090909091,75,25
1,1,0,0,1,2,4,9,16,1,13,42,4,21,4,4,9,2.5,9,5
3,3,3,2,2,18,27,31,68,2,43,115,19,33,6,6,27,2.4,24,14
