CountLineCodeExe,CountStmtExe,CountStmt,CountLineCode,CountLine,CountSemicolon,CountLineBlank,SumCyclomatic,RatioCommentToCode,SumCyclomaticStrict,CountLineComment,CountLineCodeDecl,SumCyclomaticModified,CountStmtDecl,OWN_LINE,CountInput_Mean,CountInput_Max,MINOR_LINE,MaxNesting_Mean,CountPath_Max
0,0,5,8,64,4,5,4,6.38,4,51,7,4,5,0.546875,33.75,76,3,0.0,1
17,14,38,56,131,25,17,12,1.04,12,58,29,12,24,0.564885496183206,1.66666666666667,5,2,0.0,1
0,0,4,5,31,3,5,1,4.2,1,21,4,1,4,1.0,2.0,2,1,0.0,1
37,23,42,61,116,32,16,9,0.64,10,39,19,9,19,0.853448275862069,9.66666666666667,15,2,1.2,7
5,5,13,25,52,7,7,6,0.8,6,20,14,6,8,0.884615384615385,1.0,1,2,0.0,1
17,11,30,44,73,24,8,5,0.48,5,21,25,5,19,1.0,3.0,4,1,0.6,3
28,21,36,46,83,26,9,9,0.61,10,28,14,9,15,0.518072289156627,3.66666666666667,5,2,2.4,13
0,0,4,5,31,3,3,1,4.6,1,23,4,1,4,0.967741935483871,31.0,31,1,0.0,1
5,1,65,81,190,63,26,1,1.19,1,96,69,1,64,1.0,4.0,4,1,1.0,1
0,0,3,4,35,2,1,1,7.5,1,30,3,1,3,0.771428571428571,1.0,1,2,0.0,1
35,13,35,53,98,31,15,3,0.57,3,30,27,3,22,0.683673469387755,4.5,7,2,0.75,2
307,158,287,425,568,236,103,39,0.1,39,41,165,39,129,0.508802816901408,5.85714285714286,14,2,0.782608695652174,8
21,18,44,65,155,29,19,14,1.09,14,71,32,14,26,0.896774193548387,1.71428571428571,5,2,0.0,1
79,61,121,184,238,87,33,31,0.11,34,21,80,31,60,1.0,3.47826086956522,6,1,0.37037037037037,6
0,0,6,7,45,5,5,4,4.71,4,33,6,4,6,0.755555555555556,0.75,1,2,0.0,1
35,20,40,63,104,30,12,9,0.46,9,29,30,9,20,0.721153846153846,3.0,5,2,0.714285714285714,4
7,6,18,25,58,13,10,6,1.0,6,25,15,6,12,0.76271186440678,1.2,3,2,0.375,2
111,78,145,190,378,99,43,38,0.76,45,145,69,38,67,0.867724867724868,5.55555555555556,11,1,2.36363636363636,19
253,183,356,514,751,238,118,126,0.23,134,120,181,126,173,0.205059920106525,6.7012987012987,71,6,0.482352941176471,24
0,0,4,5,31,3,3,1,4.6,1,23,4,1,4,0.967741935483871,27.0,27,1,0.0,1
36,36,78,107,240,51,30,26,0.96,26,103,45,26,42,0.779166666666667,3.42307692307692,13,2,0.0,1
20,14,33,49,96,26,11,6,0.73,8,36,27,6,19,0.760416666666667,5.33333333333333,8,3,0.8,3
31,19,54,87,125,39,17,12,0.24,13,21,49,12,35,0.96,2.875,7,1,0.666666666666667,4
2,1,7,15,37,5,5,1,1.13,1,17,12,1,6,1.0,3.0,3,1,0.0,1
31,31,90,116,170,59,39,28,0.09,28,10,63,28,59,0.523529411764706,2.63157894736842,16,3,0.36,7
13,9,20,28,57,15,8,4,0.75,4,21,13,4,11,0.701754385964912,2.0,2,2,1.0,5
46,19,40,73,114,34,11,15,0.41,15,30,35,5,21,0.526315789473684,10.0,25,2,0.8,12
118,83,175,241,364,125,65,50,0.24,52,58,92,50,92,1.0,2.48837209302326,12,1,0.297872340425532,8
220,144,253,678,975,175,127,72,0.29,72,194,452,72,109,0.241025641025641,9.82692307692308,62,4,0.428571428571429,16
2,2,7,10,43,4,7,2,2.6,2,26,5,2,5,1.0,1.5,2,1,0.0,1
1313,774,1284,1802,2229,1016,213,333,0.12,343,218,581,259,510,0.380439659039928,8.74626865671642,60,5,1.78571428571429,1944
0,0,5,6,45,4,4,3,5.83,3,35,5,3,5,0.755555555555556,1.0,1,2,0.0,1
50,34,84,88,118,56,17,25,0.15,25,13,53,25,50,1.0,1.24,6,1,0.0,1
20,0,20,20,64,20,11,0,1.55,0,31,20,0,20,1.0,0.0,0,1,0.0,0
12,12,28,39,82,17,13,10,0.77,10,30,16,10,16,0.682926829268293,2.3,4,3,0.0,1
25,25,53,74,139,34,30,18,0.47,18,35,30,18,28,0.920863309352518,2.22222222222222,10,2,0.0,1
19,14,46,82,127,32,16,11,0.35,12,29,53,11,32,1.0,2.0,4,1,0.416666666666667,2
208,118,252,353,460,181,67,61,0.12,81,42,151,61,134,0.997826086956522,2.58823529411765,5,1,1.0,42
13,10,26,38,66,20,7,5,0.55,5,21,21,5,16,1.0,2.66666666666667,3,1,0.8,2
15,9,18,34,53,14,7,10,0.35,10,12,14,6,9,0.962264150943396,2.0,7,1,0.428571428571429,6
3,3,9,15,48,6,6,2,1.8,2,27,9,2,6,0.5625,2.0,3,2,0.0,1
2531,2059,3172,4719,6021,1937,981,1204,0.08,1270,374,1239,1209,1113,0.325195150307258,1.92005813953488,13,6,0.551181102362205,13
2,2,6,9,14,3,4,2,0.11,2,1,4,2,4,1.0,2.0,2,1,0.0,1
2,2,8,12,38,5,5,2,1.75,2,21,7,2,6,1.0,2.0,2,1,0.0,1
53,35,69,96,194,48,26,19,0.8,19,77,35,19,34,0.829896907216495,3.92307692307692,7,3,0.6,4
4,3,12,19,52,7,9,4,1.26,4,24,11,4,9,0.884615384615385,1.25,2,2,0.0,1
85,61,112,151,278,81,31,30,0.64,39,96,52,30,51,0.737410071942446,3.78571428571429,12,3,0.9375,108
52,31,76,116,167,55,23,17,0.24,17,28,57,17,45,1.0,2.6,6,1,0.785714285714286,4
4,4,14,19,73,10,9,3,2.37,3,45,11,3,10,1.0,2.33333333333333,3,1,1.0,1
9,9,22,30,80,13,4,8,1.53,8,46,13,8,13,0.9875,2.25,5,1,0.0,1
