CountLine,CountLineCodeDecl,SumCyclomaticModified,SumCyclomatic,CountLineCode,CountLineCodeExe,COMM,ADEV,CountStmtExe,Del_lines,CountStmt,SumCyclomaticStrict,CountStmtDecl,CountSemicolon,CountOutput_Max,SumEssential,CountOutput_Mean,DDEV,CountLineBlank,CountDeclClassMethod
23,11,2,2,18,6,1,1,3,1,13,2,10,10,8,1,8.0,1,5,0
184,42,24,25,121,67,7,7,49,10,88,27,39,64,15,13,6.71428571428571,3,26,7
325,74,65,65,213,117,13,13,114,486,175,69,61,111,12,46,4.69565217391304,4,41,1
41,7,1,1,11,3,0,0,2,0,9,1,7,7,2,1,2.0,0,3,0
42,5,2,2,10,2,0,0,2,0,7,2,5,4,2,2,1.5,0,2,0
16,2,0,0,3,0,0,0,0,0,2,0,2,1,0,0,0.0,0,1,0
68,13,6,6,30,10,0,0,10,0,23,6,13,16,6,6,2.33333333333333,0,8,0
81,14,6,6,29,8,1,1,8,10,22,6,14,15,3,6,1.83333333333333,1,9,0
77,13,5,5,26,7,0,0,7,0,20,5,13,14,4,5,2.0,0,8,0
37,10,4,4,29,16,0,0,14,0,24,4,10,19,6,4,3.25,0,8,0
185,41,26,26,116,65,4,4,56,12,100,33,44,73,15,10,6.75,2,34,0
26,10,5,5,23,5,0,0,6,0,17,5,11,8,2,4,1.25,0,3,0
14,7,1,1,10,1,1,1,1,1,8,1,7,6,1,1,1.0,1,4,0
33,12,9,9,13,0,1,1,0,0,12,9,12,11,1,9,1.0,1,9,0
174,38,27,27,60,17,3,3,12,12,49,27,37,41,4,27,1.2,2,18,2
71,11,4,4,21,5,0,0,5,0,16,4,11,11,3,4,2.0,0,7,0
130,39,18,18,73,59,1,1,43,1,85,25,42,67,3,3,1.66666666666667,1,5,3
80,47,30,30,48,45,0,0,45,0,92,30,47,61,2,30,1.5,0,2,0
24,18,14,14,19,0,0,0,0,0,18,14,18,17,1,14,0.785714285714286,0,5,0
58,11,4,4,21,5,0,0,5,0,16,4,11,11,3,4,2.0,0,8,0
150,33,22,22,89,49,1,1,43,0,76,23,33,50,9,13,4.5,1,21,0
34,2,0,0,3,0,0,0,0,0,2,0,2,1,0,0,0.0,0,1,0
275,90,29,29,196,117,8,8,65,22,151,31,86,123,18,17,6.23529411764706,3,48,1
590,116,85,111,387,222,14,14,136,112,223,120,87,142,17,53,4.88636363636364,6,64,5
86,21,13,13,61,36,2,2,35,3,56,15,21,43,20,1,20.0,1,12,0
47,7,1,1,10,1,1,1,1,1,8,1,7,6,1,1,1.0,1,3,0
52,9,2,2,14,6,0,0,2,0,11,2,9,8,2,2,1.5,0,3,0
78,14,6,6,28,9,1,1,9,1,23,6,14,16,3,5,2.0,1,8,0
34,2,0,0,3,0,0,0,0,0,2,0,2,1,0,0,0.0,0,1,0
78,11,4,4,21,5,1,1,5,5,16,4,11,11,3,4,1.75,1,7,0
212,40,30,30,140,79,7,7,58,17,96,31,38,67,11,18,5.33333333333333,4,26,1
50,9,2,2,15,4,6,6,3,16,11,2,8,8,5,2,4.0,2,3,2
33,2,0,0,3,0,2,2,0,33,2,0,2,1,0,0,0.0,1,2,0
93,37,10,10,64,22,5,5,14,4,46,10,32,35,8,8,4.375,3,20,1
