COMM,RatioCommentToCode,Added_lines,OWN_LINE,CountLineCodeDecl,ADEV,CountClassCoupled,CountLine,CountSemicolon,DDEV,CountOutput_Max,Del_lines,CountLineCodeExe,CountStmtDecl,CountLineCode,CountLineComment,CountStmt,CountOutput_Mean,CountLineBlank,CountStmtExe
7,1.16,970,0.475195822454308,44,7,10,383,67,6,14,233,72,38,161,187,90,4.09090909090909,35,52
4,0.94,136,0.590909090909091,13,4,4,65,21,3,13,4,17,13,31,29,24,13.0,5,11
3,0.32,1031,0.503891050583658,48,3,6,513,128,2,17,3,204,48,370,119,185,6.54545454545455,24,137
2,0.67,134,0.537313432835821,22,2,3,67,16,2,7,0,19,13,36,24,19,5.0,7,6
2,9.57,156,0.628205128205128,6,2,1,77,5,2,1,0,0,6,7,67,6,1.0,3,0
2,1.2,100,0.62,7,2,1,50,9,2,3,0,7,9,20,24,12,2.0,6,3
5,0.57,288,0.485915492957746,25,5,12,142,45,5,28,4,38,28,77,44,53,10.3333333333333,21,25
3,1.05,179,0.764044943820225,13,3,4,89,16,2,7,1,15,13,37,39,22,3.66666666666667,13,9
1,3.25,36,0.361111111111111,3,1,1,35,3,1,4,0,2,3,8,26,5,4.0,1,2
3,0.96,117,0.741379310344828,16,3,1,58,19,3,6,1,14,16,25,24,21,6.0,9,5
3,0.48,204,0.821782178217822,9,3,1,101,46,3,5,2,44,9,58,28,50,4.33333333333333,15,41
1,2.58,47,0.638297872340426,6,1,1,47,3,1,1,0,0,6,12,31,6,1.0,4,0
2,0.9,172,0.581395348837209,20,2,6,85,20,2,6,0,15,19,40,36,26,2.75,10,7
2,2.05,142,0.788732394366197,8,2,0,70,7,2,2,0,4,8,21,43,12,1.25,6,4
2,1.12,240,0.891666666666667,16,2,1,120,13,2,3,0,9,16,49,55,25,1.09090909090909,16,9
4,4.43,177,0.617283950617284,7,4,0,81,5,4,1,15,1,7,14,62,8,1.0,5,1
5,1.0,126,0.637931034482759,13,5,9,57,17,3,8,7,10,13,27,27,20,5.0,3,7
2,4.4,58,0.448275862068966,3,2,0,29,2,2,0,0,0,3,5,22,3,0.0,2,0
4,2.04,160,0.7875,12,4,2,80,12,3,5,1,5,12,24,49,16,2.66666666666667,7,4
4,7.4,89,0.302325581395349,3,4,2,43,2,3,1,3,0,3,5,37,3,1.0,1,0
3,1.06,163,0.518518518518518,11,3,0,81,14,3,4,1,12,11,35,37,20,2.33333333333333,9,9
2,2.25,90,0.533333333333333,7,2,3,44,7,2,7,0,3,7,12,27,9,7.0,5,2
2,2.75,68,0.647058823529412,4,2,0,34,2,2,1,0,1,4,8,22,4,1.0,4,0
3,1.21,300,0.38255033557047,27,3,8,149,30,3,9,2,29,27,62,75,38,5.0,12,11
26,0.63,2546,0.348499515972894,166,26,29,1033,237,9,23,359,283,155,578,363,333,6.15625,92,178
2,3.38,74,0.918918918918919,4,2,0,37,2,2,1,0,0,4,8,27,4,1.0,2,0
2,2.17,86,0.558139534883721,6,2,1,43,6,2,4,0,3,6,12,26,8,4.0,5,2
2,2.5,76,0.605263157894737,5,2,0,38,4,2,2,0,2,5,10,25,6,2.0,3,1
5,0.36,190,0.963636363636364,31,5,9,110,39,3,10,9,37,32,77,28,47,4.33333333333333,5,15
3,1.27,337,0.574850299401198,19,3,1,167,24,2,9,3,24,19,66,84,37,2.88888888888889,17,18
2,5.82,166,0.421686746987952,10,2,2,82,9,2,1,0,0,10,11,64,10,0.5,7,0
2,2.31,120,0.8,8,2,2,60,7,2,2,0,3,8,16,37,10,2.0,7,2
2,0.7,266,0.43609022556391,21,2,7,133,21,2,7,0,29,18,71,50,37,5.0,12,19
2,1.22,90,0.711111111111111,10,2,4,45,12,2,7,0,6,10,18,22,14,7.0,5,4
