dataset,balancing_method,scaler_type,model,model_label,F1_Score,Precision,Recall,Exactitud,Error,ROC_AUC,PR_AUC,training_time_seconds,TP,TN,FP,FN,P,N,Total,TP_Rate,FP_Rate,Sensibilidad,Especificidad,Accuracy_sklearn,classification_report,confusion_matrix,best_hyperparameters,timestamp
activemq-5.0.0,unbalanced,standard,svm,SVM,0.6415094339622641,0.723404255319149,0.576271186440678,0.8992042440318302,0.10079575596816977,0.8140390150303806,0.637259592874687,0.033962,34,305,13,25,59,318,377,0.576271186440678,0.040880503144654086,0.576271186440678,0.9591194968553459,0.8992042440318302,"{""No-Buggy"": {""precision"": 0.9242424242424242, ""recall"": 0.9591194968553459, ""f1-score"": 0.941358024691358, ""support"": 318.0}, ""Buggy"": {""precision"": 0.723404255319149, ""recall"": 0.576271186440678, ""f1-score"": 0.6415094339622641, ""support"": 59.0}, ""accuracy"": 0.8992042440318302, ""macro avg"": {""precision"": 0.8238233397807866, ""recall"": 0.7676953416480119, ""f1-score"": 0.791433729326811, ""support"": 377.0}, ""weighted avg"": {""precision"": 0.8928115171695508, ""recall"": 0.8992042440318302, ""f1-score"": 0.8944321179194309, ""support"": 377.0}}","[[305, 13], [25, 34]]","{""C"": 1000, ""gamma"": 0.001, ""kernel"": ""rbf""}",2025-11-28T13:28:49.448204
activemq-5.0.0,unbalanced,standard,naive_bayes_gaussian,Naive Bayes Gaussiano,0.5619834710743802,0.5483870967741935,0.576271186440678,0.8594164456233422,0.14058355437665782,0.84847031233344,0.5878578417438703,0.000926,34,290,28,25,59,318,377,0.576271186440678,0.0880503144654088,0.576271186440678,0.9119496855345912,0.8594164456233422,"{""No-Buggy"": {""precision"": 0.9206349206349206, ""recall"": 0.9119496855345912, ""f1-score"": 0.9162717219589257, ""support"": 318.0}, ""Buggy"": {""precision"": 0.5483870967741935, ""recall"": 0.576271186440678, ""f1-score"": 0.5619834710743802, ""support"": 59.0}, ""accuracy"": 0.8594164456233422, ""macro avg"": {""precision"": 0.734511008704557, ""recall"": 0.7441104359876346, ""f1-score"": 0.7391275965166529, ""support"": 377.0}, ""weighted avg"": {""precision"": 0.862378629898096, ""recall"": 0.8594164456233422, ""f1-score"": 0.8608260805738112, ""support"": 377.0}}","[[290, 28], [25, 34]]","{""var_smoothing"": 0.0001}",2025-11-28T13:28:49.835261
activemq-5.0.0,unbalanced,standard,decision_tree,Árbol de Decisión,0.5871559633027523,0.64,0.5423728813559322,0.8806366047745358,0.11936339522546419,0.851055324592261,0.6151837867610039,0.009367,32,300,18,27,59,318,377,0.5423728813559322,0.05660377358490566,0.5423728813559322,0.9433962264150944,0.8806366047745358,"{""No-Buggy"": {""precision"": 0.9174311926605505, ""recall"": 0.9433962264150944, ""f1-score"": 0.9302325581395349, ""support"": 318.0}, ""Buggy"": {""precision"": 0.64, ""recall"": 0.5423728813559322, ""f1-score"": 0.5871559633027523, ""support"": 59.0}, ""accuracy"": 0.8806366047745358, ""macro avg"": {""precision"": 0.7787155963302752, ""recall"": 0.7428845538855133, ""f1-score"": 0.7586942607211435, ""support"": 377.0}, ""weighted avg"": {""precision"": 0.8740135789550533, ""recall"": 0.8806366047745358, ""f1-score"": 0.876541526056325, ""support"": 377.0}}","[[300, 18], [27, 32]]","{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 20}",2025-11-28T13:28:50.121548
activemq-5.0.0,unbalanced,robust,svm,SVM,0.45,0.4426229508196721,0.4576271186440678,0.8249336870026526,0.17506631299734748,0.7088796503571048,0.3841244188371389,0.030094,27,284,34,32,59,318,377,0.4576271186440678,0.1069182389937107,0.4576271186440678,0.8930817610062893,0.8249336870026526,"{""No-Buggy"": {""precision"": 0.8987341772151899, ""recall"": 0.8930817610062893, ""f1-score"": 0.8958990536277602, ""support"": 318.0}, ""Buggy"": {""precision"": 0.4426229508196721, ""recall"": 0.4576271186440678, ""f1-score"": 0.45, ""support"": 59.0}, ""accuracy"": 0.8249336870026526, ""macro avg"": {""precision"": 0.670678564017431, ""recall"": 0.6753544398251785, ""f1-score"": 0.6729495268138801, ""support"": 377.0}, ""weighted avg"": {""precision"": 0.8273533752063423, ""recall"": 0.8249336870026526, ""f1-score"": 0.8261164431130711, ""support"": 377.0}}","[[284, 34], [32, 27]]","{""C"": 10, ""gamma"": 0.001, ""kernel"": ""linear""}",2025-11-28T13:28:50.428229
activemq-5.0.0,unbalanced,robust,naive_bayes_gaussian,Naive Bayes Gaussiano,0.2626728110599078,0.152,0.9661016949152542,0.15119363395225463,0.8488063660477454,0.8103613687240167,0.5328951332268637,0.000909,57,0,318,2,59,318,377,0.9661016949152542,1.0,0.9661016949152542,0.0,0.15119363395225463,"{""No-Buggy"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 318.0}, ""Buggy"": {""precision"": 0.152, ""recall"": 0.9661016949152542, ""f1-score"": 0.2626728110599078, ""support"": 59.0}, ""accuracy"": 0.15119363395225463, ""macro avg"": {""precision"": 0.076, ""recall"": 0.4830508474576271, ""f1-score"": 0.1313364055299539, ""support"": 377.0}, ""weighted avg"": {""precision"": 0.023787798408488065, ""recall"": 0.15119363395225463, ""f1-score"": 0.04110794655844711, ""support"": 377.0}}","[[0, 318], [2, 57]]","{""var_smoothing"": 1e-05}",2025-11-28T13:28:50.698564
activemq-5.0.0,unbalanced,robust,decision_tree,Árbol de Decisión,0.5871559633027523,0.64,0.5423728813559322,0.8806366047745358,0.11936339522546419,0.851055324592261,0.6151837867610039,0.009062,32,300,18,27,59,318,377,0.5423728813559322,0.05660377358490566,0.5423728813559322,0.9433962264150944,0.8806366047745358,"{""No-Buggy"": {""precision"": 0.9174311926605505, ""recall"": 0.9433962264150944, ""f1-score"": 0.9302325581395349, ""support"": 318.0}, ""Buggy"": {""precision"": 0.64, ""recall"": 0.5423728813559322, ""f1-score"": 0.5871559633027523, ""support"": 59.0}, ""accuracy"": 0.8806366047745358, ""macro avg"": {""precision"": 0.7787155963302752, ""recall"": 0.7428845538855133, ""f1-score"": 0.7586942607211435, ""support"": 377.0}, ""weighted avg"": {""precision"": 0.8740135789550533, ""recall"": 0.8806366047745358, ""f1-score"": 0.876541526056325, ""support"": 377.0}}","[[300, 18], [27, 32]]","{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 20}",2025-11-28T13:28:50.977363
activemq-5.0.0,csbboost,standard,svm,SVM,0.2706422018348624,0.15649867374005305,1.0,0.15649867374005305,0.843501326259947,0.8459918985182817,0.4383901717970041,0.036473,59,0,318,0,59,318,377,1.0,1.0,1.0,0.0,0.15649867374005305,"{""No-Buggy"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 318.0}, ""Buggy"": {""precision"": 0.15649867374005305, ""recall"": 1.0, ""f1-score"": 0.2706422018348624, ""support"": 59.0}, ""accuracy"": 0.15649867374005305, ""macro avg"": {""precision"": 0.07824933687002653, ""recall"": 0.5, ""f1-score"": 0.1353211009174312, ""support"": 377.0}, ""weighted avg"": {""precision"": 0.02449183488239557, ""recall"": 0.15649867374005305, ""f1-score"": 0.042355145645243716, ""support"": 377.0}}","[[0, 318], [0, 59]]","{""C"": 0.01, ""gamma"": 1, ""kernel"": ""rbf""}",2025-11-28T13:28:51.322848
activemq-5.0.0,csbboost,standard,naive_bayes_gaussian,Naive Bayes Gaussiano,0.5426356589147286,0.5,0.5932203389830508,0.843501326259947,0.15649867374005305,0.8404754290587357,0.5802881612369762,0.00098,35,283,35,24,59,318,377,0.5932203389830508,0.11006289308176101,0.5932203389830508,0.889937106918239,0.843501326259947,"{""No-Buggy"": {""precision"": 0.9218241042345277, ""recall"": 0.889937106918239, ""f1-score"": 0.9056, ""support"": 318.0}, ""Buggy"": {""precision"": 0.5, ""recall"": 0.5932203389830508, ""f1-score"": 0.5426356589147286, ""support"": 59.0}, ""accuracy"": 0.843501326259947, ""macro avg"": {""precision"": 0.7109120521172638, ""recall"": 0.741578722950645, ""f1-score"": 0.7241178294573642, ""support"": 377.0}, ""weighted avg"": {""precision"": 0.8558091913702381, ""recall"": 0.843501326259947, ""f1-score"": 0.8487965620052228, ""support"": 377.0}}","[[283, 35], [24, 35]]","{""var_smoothing"": 0.0001}",2025-11-28T13:28:51.593489
activemq-5.0.0,csbboost,standard,decision_tree,Árbol de Decisión,0.6376811594202898,0.5569620253164557,0.7457627118644068,0.8673740053050398,0.13262599469496023,0.8803165973776784,0.6245835929004253,0.013115,44,283,35,15,59,318,377,0.7457627118644068,0.11006289308176101,0.7457627118644068,0.889937106918239,0.8673740053050398,"{""No-Buggy"": {""precision"": 0.9496644295302014, ""recall"": 0.889937106918239, ""f1-score"": 0.9188311688311688, ""support"": 318.0}, ""Buggy"": {""precision"": 0.5569620253164557, ""recall"": 0.7457627118644068, ""f1-score"": 0.6376811594202898, ""support"": 59.0}, ""accuracy"": 0.8673740053050398, ""macro avg"": {""precision"": 0.7533132274233285, ""recall"": 0.817849909391323, ""f1-score"": 0.7782561641257293, ""support"": 377.0}, ""weighted avg"": {""precision"": 0.88820702409622, ""recall"": 0.8673740053050398, ""f1-score"": 0.8748315652363629, ""support"": 377.0}}","[[283, 35], [15, 44]]","{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 8, ""min_samples_split"": 20}",2025-11-28T13:28:51.873190
activemq-5.0.0,csbboost,robust,svm,SVM,0.2706422018348624,0.15649867374005305,1.0,0.15649867374005305,0.843501326259947,0.8218740006395907,0.36463875454594036,0.043915,59,0,318,0,59,318,377,1.0,1.0,1.0,0.0,0.15649867374005305,"{""No-Buggy"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 318.0}, ""Buggy"": {""precision"": 0.15649867374005305, ""recall"": 1.0, ""f1-score"": 0.2706422018348624, ""support"": 59.0}, ""accuracy"": 0.15649867374005305, ""macro avg"": {""precision"": 0.07824933687002653, ""recall"": 0.5, ""f1-score"": 0.1353211009174312, ""support"": 377.0}, ""weighted avg"": {""precision"": 0.02449183488239557, ""recall"": 0.15649867374005305, ""f1-score"": 0.042355145645243716, ""support"": 377.0}}","[[0, 318], [0, 59]]","{""C"": 0.01, ""gamma"": 1, ""kernel"": ""rbf""}",2025-11-28T13:28:52.227100
