dataset,balancing_method,scaler_type,model_label,TP,FP,FN,TN,F1_Score,Precision,Recall,Especificidad,Error,ROC_AUC,PR_AUC
activemq-5.0.0,unbalanced,standard,SVM,34,13,25,305,0.6415094339622641,0.723404255319149,0.576271186440678,0.9591194968553459,0.10079575596816977,0.8140390150303806,0.637259592874687
activemq-5.0.0,unbalanced,standard,Naive Bayes Gaussiano,34,28,25,290,0.5619834710743802,0.5483870967741935,0.576271186440678,0.9119496855345912,0.14058355437665782,0.84847031233344,0.5878578417438703
activemq-5.0.0,unbalanced,standard,Árbol de Decisión,32,18,27,300,0.5871559633027523,0.64,0.5423728813559322,0.9433962264150944,0.11936339522546419,0.851055324592261,0.6151837867610039
activemq-5.0.0,unbalanced,robust,SVM,27,34,32,284,0.45,0.4426229508196721,0.4576271186440678,0.8930817610062893,0.17506631299734748,0.7088796503571048,0.3841244188371389
activemq-5.0.0,unbalanced,robust,Naive Bayes Gaussiano,57,318,2,0,0.2626728110599078,0.152,0.9661016949152542,0.0,0.8488063660477454,0.8103613687240167,0.5328951332268637
activemq-5.0.0,unbalanced,robust,Árbol de Decisión,32,18,27,300,0.5871559633027523,0.64,0.5423728813559322,0.9433962264150944,0.11936339522546419,0.851055324592261,0.6151837867610039
activemq-5.0.0,csbboost,standard,SVM,59,318,0,0,0.2706422018348624,0.15649867374005305,1.0,0.0,0.843501326259947,0.8459918985182817,0.4383901717970041
activemq-5.0.0,csbboost,standard,Naive Bayes Gaussiano,35,35,24,283,0.5426356589147286,0.5,0.5932203389830508,0.889937106918239,0.15649867374005305,0.8404754290587357,0.5802881612369762
activemq-5.0.0,csbboost,standard,Árbol de Decisión,44,35,15,283,0.6376811594202898,0.5569620253164557,0.7457627118644068,0.889937106918239,0.13262599469496023,0.8803165973776784,0.6245835929004253
activemq-5.0.0,csbboost,robust,SVM,59,318,0,0,0.2706422018348624,0.15649867374005305,1.0,0.0,0.843501326259947,0.8218740006395907,0.36463875454594036
activemq-5.0.0,csbboost,robust,Naive Bayes Gaussiano,52,255,7,63,0.28415300546448086,0.16938110749185667,0.8813559322033898,0.19811320754716982,0.6949602122015915,0.7686280780300607,0.4058431331039022
activemq-5.0.0,csbboost,robust,Árbol de Decisión,44,35,15,283,0.6376811594202898,0.5569620253164557,0.7457627118644068,0.889937106918239,0.13262599469496023,0.8803165973776784,0.6245835929004253
