dataset,balancing_method,scaler_type,model_name,Recall,F2_Score,Precision,Exactitud,F1_Score,Sensibilidad,Especificidad,Error,TP_Rate,FP_Rate,MCC,BER,ROC_AUC,TP,TN,FP,FN
activemq-5.0.0,unbalanced,standard,svm,0.4915254237288136,0.506993006993007,0.58,0.8647214854111406,0.5321100917431193,0.4915254237288136,0.9339622641509434,0.13527851458885942,0.4915254237288136,0.0660377358490566,0.4557930355708263,0.28725615606012145,0.8523611555271292,29,297,21,30
activemq-5.0.0,unbalanced,standard,naive_bayes_gaussian,0.576271186440678,0.5704697986577181,0.5483870967741935,0.8594164456233422,0.5619834710743802,0.576271186440678,0.9119496855345912,0.14058355437665782,0.576271186440678,0.0880503144654088,0.47852516999116945,0.2558895640123654,0.84847031233344,34,290,28,25
activemq-5.0.0,unbalanced,standard,decision_tree,0.6779661016949152,0.6644518272425249,0.6153846153846154,0.883289124668435,0.6451612903225806,0.6779661016949152,0.9213836477987422,0.11671087533156499,0.6779661016949152,0.07861635220125786,0.5764822218621193,0.20032512525317125,0.8849536296770069,40,293,25,19
activemq-5.0.0,unbalanced,robust,svm,0.9661016949152542,0.4672131147540984,0.15240641711229946,0.15384615384615385,0.2632794457274827,0.9661016949152542,0.0031446540880503146,0.8461538461538461,0.9661016949152542,0.9968553459119497,-0.12575921531350504,0.5153768254983477,0.863394094446221,57,1,317,2
activemq-5.0.0,unbalanced,robust,naive_bayes_gaussian,0.576271186440678,0.5647840531561462,0.5230769230769231,0.8514588859416445,0.5483870967741935,0.576271186440678,0.9025157232704403,0.14854111405835543,0.576271186440678,0.09748427672955975,0.4605193240540167,0.2606065451444408,0.846711438013005,34,287,31,25
activemq-5.0.0,unbalanced,robust,decision_tree,0.6779661016949152,0.6644518272425249,0.6153846153846154,0.883289124668435,0.6451612903225806,0.6779661016949152,0.9213836477987422,0.11671087533156499,0.6779661016949152,0.07861635220125786,0.5764822218621193,0.20032512525317125,0.8849536296770069,40,293,25,19
activemq-5.0.0,csbboost,standard,svm,0.7627118644067796,0.677710843373494,0.46875,0.8275862068965517,0.5806451612903226,0.7627118644067796,0.839622641509434,0.1724137931034483,0.7627118644067796,0.16037735849056603,0.5023293255532296,0.19883274704189313,0.8761859076857478,45,267,51,14
activemq-5.0.0,csbboost,standard,naive_bayes_gaussian,0.5932203389830508,0.5718954248366013,0.5,0.843501326259947,0.5426356589147286,0.5932203389830508,0.889937106918239,0.15649867374005305,0.5932203389830508,0.11006289308176101,0.4514503924259606,0.258421277049355,0.8404754290587357,35,283,35,24
activemq-5.0.0,csbboost,standard,decision_tree,0.711864406779661,0.6287425149700598,0.42857142857142855,0.8063660477453581,0.535031847133758,0.711864406779661,0.8238993710691824,0.19363395225464192,0.711864406779661,0.1761006289308176,0.4438107061642682,0.23211811107557834,0.7975162562626587,42,262,56,17
activemq-5.0.0,csbboost,robust,svm,0.8813559322033898,0.7123287671232876,0.40310077519379844,0.7771883289124668,0.5531914893617021,0.8813559322033898,0.7578616352201258,0.22281167108753316,0.8813559322033898,0.24213836477987422,0.4895167674424915,0.18039121628824217,0.8624080588423408,52,241,77,7
activemq-5.0.0,csbboost,robust,naive_bayes_gaussian,0.9661016949152542,0.4672131147540984,0.15240641711229946,0.15384615384615385,0.2632794457274827,0.9661016949152542,0.0031446540880503146,0.8461538461538461,0.9661016949152542,0.9968553459119497,-0.12575921531350504,0.5153768254983477,0.757914934441957,57,1,317,2
activemq-5.0.0,csbboost,robust,decision_tree,0.711864406779661,0.6306306306306306,0.4329896907216495,0.8090185676392573,0.5384615384615384,0.711864406779661,0.8270440251572327,0.1909814323607427,0.711864406779661,0.17295597484276728,0.44790886881283165,0.23054578403155312,0.7694542159684468,42,263,55,17
activemq-5.0.0,hcbou,standard,svm,0.711864406779661,0.6441717791411042,0.4666666666666667,0.8275862068965517,0.5637583892617449,0.711864406779661,0.8490566037735849,0.1724137931034483,0.711864406779661,0.1509433962264151,0.47805632714021323,0.21953949472337708,0.8843406886259461,42,270,48,17
activemq-5.0.0,hcbou,standard,naive_bayes_gaussian,0.559322033898305,0.55,0.515625,0.8488063660477454,0.5365853658536586,0.559322033898305,0.9025157232704403,0.15119363395225463,0.559322033898305,0.09748427672955975,0.44695813425344255,0.26908112141562734,0.8145720072486943,33,287,31,26
activemq-5.0.0,hcbou,standard,decision_tree,0.711864406779661,0.6481481481481481,0.4772727272727273,0.8328912466843501,0.5714285714285714,0.711864406779661,0.8553459119496856,0.16710875331564987,0.711864406779661,0.14465408805031446,0.4871844649521945,0.21639484063532666,0.7836051593646732,42,272,46,17
activemq-5.0.0,hcbou,robust,svm,0.6610169491525424,0.5769230769230769,0.38235294117647056,0.7798408488063661,0.484472049689441,0.6610169491525424,0.8018867924528302,0.22015915119363394,0.6610169491525424,0.19811320754716982,0.378585367416912,0.26854812919731375,0.8584106172049889,39,255,63,20
activemq-5.0.0,hcbou,robust,naive_bayes_gaussian,0.9661016949152542,0.46798029556650245,0.15281501340482573,0.15649867374005305,0.2638888888888889,0.9661016949152542,0.006289308176100629,0.843501326259947,0.9661016949152542,0.9937106918238994,-0.09790520528365267,0.5138044984543226,0.7990619336957681,57,2,316,2
activemq-5.0.0,hcbou,robust,decision_tree,0.711864406779661,0.6481481481481481,0.4772727272727273,0.8328912466843501,0.5714285714285714,0.711864406779661,0.8553459119496856,0.16710875331564987,0.711864406779661,0.14465408805031446,0.4871844649521945,0.21639484063532666,0.7836051593646732,42,272,46,17
activemq-5.0.0,smote,standard,svm,0.711864406779661,0.6382978723404256,0.45161290322580644,0.8196286472148541,0.5526315789473685,0.711864406779661,0.839622641509434,0.18037135278514588,0.711864406779661,0.16037735849056603,0.46480869000490554,0.2242564758554525,0.8648864726574993,42,267,51,17
activemq-5.0.0,smote,standard,naive_bayes_gaussian,0.5932203389830508,0.5718954248366013,0.5,0.843501326259947,0.5426356589147286,0.5932203389830508,0.889937106918239,0.15649867374005305,0.5932203389830508,0.11006289308176101,0.4514503924259606,0.258421277049355,0.8330668372241765,35,283,35,24
activemq-5.0.0,smote,standard,decision_tree,0.7457627118644068,0.6707317073170732,0.4782608695652174,0.8328912466843501,0.5827814569536424,0.7457627118644068,0.8490566037735849,0.16710875331564987,0.7457627118644068,0.1509433962264151,0.5031625218165526,0.20259034218100413,0.7974096578189959,44,270,48,15
activemq-5.0.0,smote,robust,svm,0.711864406779661,0.6158357771260997,0.4,0.7877984084880637,0.5121951219512195,0.711864406779661,0.8018867924528302,0.21220159151193635,0.711864406779661,0.19811320754716982,0.4164024852723213,0.24312440038375438,0.8594233024197847,42,255,63,17
activemq-5.0.0,smote,robust,naive_bayes_gaussian,0.8983050847457628,0.5590717299578059,0.22268907563025211,0.493368700265252,0.3569023569023569,0.8983050847457628,0.41823899371069184,0.506631299734748,0.8983050847457628,0.5817610062893082,0.23838442704362137,0.3417279607717727,0.8078030060761113,53,133,185,6
activemq-5.0.0,smote,robust,decision_tree,0.7457627118644068,0.6707317073170732,0.4782608695652174,0.8328912466843501,0.5827814569536424,0.7457627118644068,0.8490566037735849,0.16710875331564987,0.7457627118644068,0.1509433962264151,0.5031625218165526,0.20259034218100413,0.7974096578189959,44,270,48,15
