dataset,balancing_method,scaler_type,model_name,Recall,F2_Score,Precision,Exactitud,F1_Score,Sensibilidad,Especificidad,Error,TP_Rate,FP_Rate,MCC,BER,ROC_AUC,TP,TN,FP,FN
groovy-1_6_BETA_1,unbalanced,standard,svm,0.35714285714285715,0.36764705882352944,0.4166666666666667,0.9030303030303031,0.38461538461538464,0.35714285714285715,0.9536423841059603,0.09696969696969697,0.35714285714285715,0.046357615894039736,0.33348518069173383,0.34460737937559127,0.7218543046357615,5,144,7,9
groovy-1_6_BETA_1,unbalanced,standard,naive_bayes_gaussian,0.2857142857142857,0.28169014084507044,0.26666666666666666,0.8727272727272727,0.27586206896551724,0.2857142857142857,0.9271523178807947,0.12727272727272726,0.2857142857142857,0.0728476821192053,0.20633303351382223,0.3935666982024598,0.6908703878902555,4,140,11,10
groovy-1_6_BETA_1,unbalanced,standard,decision_tree,0.2857142857142857,0.2898550724637681,0.3076923076923077,0.8848484848484849,0.2962962962962963,0.2857142857142857,0.9403973509933775,0.11515151515151516,0.2857142857142857,0.059602649006622516,0.2338739953945137,0.3869441816461684,0.6854304635761589,4,142,9,10
groovy-1_6_BETA_1,unbalanced,robust,svm,0.14285714285714285,0.14705882352941177,0.16666666666666666,0.8666666666666667,0.15384615384615385,0.14285714285714285,0.9337748344370861,0.13333333333333333,0.14285714285714285,0.06622516556291391,0.08222922263631793,0.4616840113528855,0.6915799432355724,2,141,10,12
groovy-1_6_BETA_1,unbalanced,robust,naive_bayes_gaussian,0.9285714285714286,0.29545454545454547,0.07926829268292683,0.07878787878787878,0.14606741573033707,0.9285714285714286,0.0,0.9212121212121213,0.9285714285714286,1.0,-0.25644989865985146,0.5357142857142857,0.5179754020813624,13,0,151,1
groovy-1_6_BETA_1,unbalanced,robust,decision_tree,0.2857142857142857,0.2898550724637681,0.3076923076923077,0.8848484848484849,0.2962962962962963,0.2857142857142857,0.9403973509933775,0.11515151515151516,0.2857142857142857,0.059602649006622516,0.2338739953945137,0.3869441816461684,0.6854304635761589,4,142,9,10
groovy-1_6_BETA_1,csbboost,standard,svm,0.2857142857142857,0.2777777777777778,0.25,0.8666666666666667,0.26666666666666666,0.2857142857142857,0.9205298013245033,0.13333333333333333,0.2857142857142857,0.07947019867549669,0.1942141517076882,0.39687795648060553,0.7322611163670766,4,139,12,10
groovy-1_6_BETA_1,csbboost,standard,naive_bayes_gaussian,0.2857142857142857,0.28169014084507044,0.26666666666666666,0.8727272727272727,0.27586206896551724,0.2857142857142857,0.9271523178807947,0.12727272727272726,0.2857142857142857,0.0728476821192053,0.20633303351382223,0.3935666982024598,0.6937086092715232,4,140,11,10
groovy-1_6_BETA_1,csbboost,standard,decision_tree,0.6428571428571429,0.5357142857142857,0.32142857142857145,0.8545454545454545,0.42857142857142855,0.6428571428571429,0.8741721854304636,0.14545454545454545,0.6428571428571429,0.12582781456953643,0.38382068061011637,0.2414853358561968,0.7689214758751183,9,132,19,5
groovy-1_6_BETA_1,csbboost,robust,svm,0.6428571428571429,0.4787234042553192,0.23684210526315788,0.793939393939394,0.34615384615384615,0.6428571428571429,0.8079470198675497,0.20606060606060606,0.6428571428571429,0.19205298013245034,0.29836422637147614,0.2745979186376537,0.8008514664143803,9,122,29,5
groovy-1_6_BETA_1,csbboost,robust,naive_bayes_gaussian,0.9285714285714286,0.29545454545454547,0.07926829268292683,0.07878787878787878,0.14606741573033707,0.9285714285714286,0.0,0.9212121212121213,0.9285714285714286,1.0,-0.25644989865985146,0.5357142857142857,0.6835383159886471,13,0,151,1
groovy-1_6_BETA_1,csbboost,robust,decision_tree,0.6428571428571429,0.5357142857142857,0.32142857142857145,0.8545454545454545,0.42857142857142855,0.6428571428571429,0.8741721854304636,0.14545454545454545,0.6428571428571429,0.12582781456953643,0.38382068061011637,0.2414853358561968,0.7689214758751183,9,132,19,5
groovy-1_6_BETA_1,hcbou,standard,svm,0.5,0.45454545454545453,0.3333333333333333,0.8727272727272727,0.4,0.5,0.9072847682119205,0.12727272727272726,0.5,0.09271523178807947,0.3405334407698614,0.29635761589403975,0.7653736991485336,7,137,14,7
groovy-1_6_BETA_1,hcbou,standard,naive_bayes_gaussian,0.7142857142857143,0.4032258064516129,0.14705882352941177,0.6242424242424243,0.24390243902439024,0.7142857142857143,0.6158940397350994,0.37575757575757573,0.7142857142857143,0.3841059602649007,0.18692294193038542,0.3349101229895932,0.7071901608325449,10,93,58,4
groovy-1_6_BETA_1,hcbou,standard,decision_tree,0.42857142857142855,0.375,0.25,0.8424242424242424,0.3157894736842105,0.42857142857142855,0.8807947019867549,0.15757575757575756,0.42857142857142855,0.11920529801324503,0.24451757478947303,0.3453169347209083,0.6561021759697258,6,133,18,8
