dataset,balancing_method,scaler_type,model_name,Recall,F2_Score,Precision,Exactitud,F1_Score,Sensibilidad,Especificidad,Error,TP_Rate,FP_Rate,MCC,BER,ROC_AUC,TP,TN,FP,FN
hbase-0.94.0,unbalanced,standard,svm,0.36363636363636365,0.39408866995073893,0.5925925925925926,0.8160377358490566,0.4507042253521127,0.36363636363636365,0.9345238095238095,0.18396226415094338,0.36363636363636365,0.06547619047619048,0.3627127856774534,0.35091991341991347,0.7670454545454546,16,157,11,28
hbase-0.94.0,unbalanced,standard,naive_bayes_gaussian,0.5681818181818182,0.5387931034482759,0.44642857142857145,0.7641509433962265,0.5,0.5681818181818182,0.8154761904761905,0.2358490566037736,0.5681818181818182,0.18452380952380953,0.3529140387470401,0.3081709956709957,0.7563582251082251,25,137,31,19
hbase-0.94.0,unbalanced,standard,decision_tree,0.4772727272727273,0.481651376146789,0.5,0.7924528301886793,0.4883720930232558,0.4772727272727273,0.875,0.20754716981132076,0.4772727272727273,0.125,0.3584353997987322,0.32386363636363635,0.7343073593073592,21,147,21,23
hbase-0.94.0,unbalanced,robust,svm,0.0,0.0,0.0,0.7924528301886793,0.0,0.0,1.0,0.20754716981132076,0.0,0.0,0.0,0.5,0.6250000000000001,0,168,0,44
hbase-0.94.0,unbalanced,robust,naive_bayes_gaussian,1.0,0.5684754521963824,0.20853080568720378,0.21226415094339623,0.34509803921568627,1.0,0.005952380952380952,0.7877358490566038,1.0,0.9940476190476191,0.03523144612071956,0.49702380952380953,0.72754329004329,44,1,167,0
hbase-0.94.0,unbalanced,robust,decision_tree,0.4772727272727273,0.481651376146789,0.5,0.7924528301886793,0.4883720930232558,0.4772727272727273,0.875,0.20754716981132076,0.4772727272727273,0.125,0.3584353997987322,0.32386363636363635,0.744724025974026,21,147,21,23
hbase-0.94.0,csbboost,standard,svm,0.4318181818181818,0.4398148148148148,0.475,0.7830188679245284,0.4523809523809524,0.4318181818181818,0.875,0.2169811320754717,0.4318181818181818,0.125,0.3180298262768625,0.34659090909090906,0.7624458874458875,19,147,21,25
hbase-0.94.0,csbboost,standard,naive_bayes_gaussian,0.4772727272727273,0.4585152838427948,0.39622641509433965,0.7405660377358491,0.4329896907216495,0.4772727272727273,0.8095238095238095,0.25943396226415094,0.4772727272727273,0.19047619047619047,0.26860765467512676,0.3566017316017316,0.7453327922077922,21,136,32,23
hbase-0.94.0,csbboost,standard,decision_tree,0.75,0.7142857142857143,0.6,0.8443396226415094,0.6666666666666666,0.75,0.8690476190476191,0.15566037735849056,0.75,0.13095238095238096,0.5727615632273043,0.19047619047619047,0.8136498917748917,33,146,22,11
hbase-0.94.0,csbboost,robust,svm,0.9545454545454546,0.5932203389830508,0.23595505617977527,0.3490566037735849,0.3783783783783784,0.9545454545454546,0.19047619047619047,0.6509433962264151,0.9545454545454546,0.8095238095238095,0.1602744689496504,0.4274891774891775,0.7164502164502164,42,32,136,2
hbase-0.94.0,csbboost,robust,naive_bayes_gaussian,0.9772727272727273,0.5584415584415584,0.20574162679425836,0.21226415094339623,0.33992094861660077,0.9772727272727273,0.011904761904761904,0.7877358490566038,0.9772727272727273,0.9880952380952381,-0.03715995996878581,0.5054112554112554,0.7068452380952381,43,2,166,1
