route,balancing,dataset,scaler,model,TP,TN,FP,FN,P,N,Total,Error,Exactitud,TP_Rate,FP_Rate,Precision,Recall,Sensibilidad,Especificidad,F1_Score,Accuracy_sklearn,cv_best_score
fs,csbboost,activemq-5.0.0,robust,decision_tree,35,268,50,24,59,318,377,0.1962864721485411,0.8037135278514589,0.5932203389830508,0.15723270440251572,0.4117647058823529,0.5932203389830508,0.5932203389830508,0.8427672955974843,0.4861111111111111,0.8037135278514589,0.8993157894736843
fs,csbboost,activemq-5.0.0,robust,naive_bayes_gaussian,57,0,318,2,59,318,377,0.8488063660477454,0.15119363395225463,0.9661016949152542,1.0,0.152,0.9661016949152542,0.9661016949152542,0.0,0.2626728110599078,0.15119363395225463,0.9160877192982456
fs,csbboost,activemq-5.0.0,robust,svm,58,110,208,1,59,318,377,0.5543766578249337,0.44562334217506633,0.9830508474576272,0.6540880503144654,0.21804511278195488,0.9830508474576272,0.9830508474576272,0.34591194968553457,0.3569230769230769,0.44562334217506633,0.9801929824561404
nofs,csbboost,activemq-5.0.0,robust,decision_tree,43,266,52,16,59,318,377,0.18037135278514588,0.8196286472148541,0.7288135593220338,0.16352201257861634,0.45263157894736844,0.7288135593220338,0.7288135593220338,0.8364779874213837,0.5584415584415584,0.8196286472148541,0.9086315789473683
nofs,csbboost,activemq-5.0.0,robust,naive_bayes_gaussian,57,1,317,2,59,318,377,0.8461538461538461,0.15384615384615385,0.9661016949152542,0.9968553459119497,0.15240641711229946,0.9661016949152542,0.9661016949152542,0.0031446540880503146,0.2632794457274827,0.15384615384615385,0.9240877192982456
nofs,csbboost,activemq-5.0.0,robust,svm,59,0,318,0,59,318,377,0.843501326259947,0.15649867374005305,1.0,1.0,0.15649867374005305,1.0,1.0,0.0,0.2706422018348624,0.15649867374005305,1.0
fs,csbboost,activemq-5.0.0,standard,decision_tree,35,267,51,24,59,318,377,0.1989389920424403,0.8010610079575596,0.5932203389830508,0.16037735849056603,0.4069767441860465,0.5932203389830508,0.5932203389830508,0.839622641509434,0.4827586206896552,0.8010610079575596,0.9006315789473686
fs,csbboost,activemq-5.0.0,standard,naive_bayes_gaussian,37,287,31,22,59,318,377,0.14058355437665782,0.8594164456233422,0.6271186440677966,0.09748427672955975,0.5441176470588235,0.6271186440677966,0.6271186440677966,0.9025157232704403,0.5826771653543307,0.8594164456233422,0.6657368421052632
fs,csbboost,activemq-5.0.0,standard,svm,58,70,248,1,59,318,377,0.6604774535809018,0.3395225464190981,0.9830508474576272,0.779874213836478,0.1895424836601307,0.9830508474576272,0.9830508474576272,0.22012578616352202,0.3178082191780822,0.3395225464190981,0.9789298245614034
nofs,csbboost,activemq-5.0.0,standard,decision_tree,43,266,52,16,59,318,377,0.18037135278514588,0.8196286472148541,0.7288135593220338,0.16352201257861634,0.45263157894736844,0.7288135593220338,0.7288135593220338,0.8364779874213837,0.5584415584415584,0.8196286472148541,0.9086315789473683
nofs,csbboost,activemq-5.0.0,standard,naive_bayes_gaussian,35,283,35,24,59,318,377,0.15649867374005305,0.843501326259947,0.5932203389830508,0.11006289308176101,0.5,0.5932203389830508,0.5932203389830508,0.889937106918239,0.5426356589147286,0.843501326259947,0.5742807017543861
nofs,csbboost,activemq-5.0.0,standard,svm,59,0,318,0,59,318,377,0.843501326259947,0.15649867374005305,1.0,1.0,0.15649867374005305,1.0,1.0,0.0,0.2706422018348624,0.15649867374005305,1.0
fs,hcbou,activemq-5.0.0,robust,decision_tree,39,274,44,20,59,318,377,0.16976127320954906,0.830238726790451,0.6610169491525424,0.13836477987421383,0.46987951807228917,0.6610169491525424,0.6610169491525424,0.8616352201257862,0.5492957746478874,0.830238726790451,0.8857543859649123
fs,hcbou,activemq-5.0.0,robust,naive_bayes_gaussian,57,0,318,2,59,318,377,0.8488063660477454,0.15119363395225463,0.9661016949152542,1.0,0.152,0.9661016949152542,0.9661016949152542,0.0,0.2626728110599078,0.15119363395225463,0.9920350877192983
fs,hcbou,activemq-5.0.0,robust,svm,44,259,59,15,59,318,377,0.1962864721485411,0.8037135278514589,0.7457627118644068,0.18553459119496854,0.42718446601941745,0.7457627118644068,0.7457627118644068,0.8144654088050315,0.5432098765432098,0.8037135278514589,0.9680526315789472
nofs,hcbou,activemq-5.0.0,robust,decision_tree,42,272,46,17,59,318,377,0.16710875331564987,0.8328912466843501,0.711864406779661,0.14465408805031446,0.4772727272727273,0.711864406779661,0.711864406779661,0.8553459119496856,0.5714285714285714,0.8328912466843501,0.90440350877193
